lemma_id,lemma,sense_num,type,ipa,pos,gender,entry,entry_str,gloss
16303,lúka,X.5,sense,\N,\N,\N,"<div class=""oldnorse bodytext"">with preps.:</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">~ aptr, <i>to shut</i>, with <span class=""p"">acc.</span> or <span class=""p"">dat.</span> (~ aptr hurðina or hurðinni);</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">~ <span class=""p"">e-u</span> í sundr, <i>to open</i> (lúk heill munni í sundr);</div><div class=""oldnorse bodytext"" style=""margin-left=50px""><span class=""p"">impers.</span>, er í sundr lauk firðinum, <i>when the fjord opened</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">~ upp, <i>to open</i>, with <span class=""p"">dat.</span> or <span class=""p"">acc.</span> (~ upp hurðinni or hurðina);</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">~ upp augum, <i>to open the eyes</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px""><i>to declare, make known</i> (en er jarl hafði því upp lokit, at hann mundi fylgja þeim);</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">~ uppgørð, <i>to deliver a judgement</i> (of an umpire);</div><div class=""oldnorse bodytext"" style=""margin-left=50px""><span class=""p"">impers.</span>, lýkr <span class=""p"">e-u</span> upp, <i>it opens</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">~ vel (illa) við <span class=""p"">e-n</span>, <i>to behave well (ill), deal fairly (unfairly) with a person</i> (Bolli fekk Sigríði gjaforð göfugt ok lauk vel við hana);</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">~ við, <i>to end</i> (má vera, at svá lúki við, at þér þykki alkeypt);</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">~ yfir, <span class=""p"">impers.</span>, <i>to come to an end, to a final issue</i> (skal nú yfir ~ með oss);</div>","with preps.:\n~ aptr, to shut, with acc. or dat. (~ aptr hurðina or hurðinni);\n~ e-u í sundr, to open (lúk heill munni í sundr);\nimpers., er í sundr lauk firðinum, when the fjord opened;\n~ upp, to open, with dat. or acc. (~ upp hurðinni or hurðina);\n~ upp augum, to open the eyes;\nto declare, make known (en er jarl hafði því upp lokit, at hann mundi fylgja þeim);\n~ uppgørð, to deliver a judgement (of an umpire);\nimpers., lýkr e-u upp, it opens;\n~ vel (illa) við e-n, to behave well (ill), deal fairly (unfairly) with a person (Bolli fekk Sigríði gjaforð göfugt ok lauk vel við hana);\n~ við, to end (má vera, at svá lúki við, at þér þykki alkeypt);\n~ yfir, impers., to come to an end, to a final issue (skal nú yfir ~ með oss);",\N
16303,lúka,X.6,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><span class=""p"">refl.</span>, ~st, <i>to be shut</i> (ok þegar laukst hurðin á hæla honum);</div><div class=""oldnorse bodytext"" style=""margin-left=50px""><i>to come to an end, to end</i> (hér lýkst sjá bók);</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">~st upp, <i>to open</i> (fjallit laukst upp norðan).</div>","refl., ~st, to be shut (ok þegar laukst hurðin á hæla honum);\nto come to an end, to end (hér lýkst sjá bók);\n~st upp, to open (fjallit laukst upp norðan).",\N
16304,lús,\N,main,[luːs],n.,f.,"<div class=""oldnorse bodytext"">(<span class=""p"">pl.</span> lýss), <i>louse</i> (sárt bítr soltin ~; lýss ok kleggjar).</div>","(pl. lýss), louse (sárt bítr soltin ~; lýss ok kleggjar).",louse
16305,lúsugr,\N,main,[luːsuɣr],adj.,\N,"<div class=""oldnorse bodytext""><i>lousy</i> (verjan var öll lúsug).</div>",lousy (verjan var öll lúsug).,lousy
16306,lúta,\N,main,[luːta],v.,\N,"<div class=""oldnorse bodytext"">(lýt; laut, lutum; lotinn), </div>","(lýt; laut, lutum; lotinn),","to lout, bow down"
16306,lúta,X.1,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>to lout, bow down</i> (konungr laut þá allt niðr at jörðu);</div>","to lout, bow down (konungr laut þá allt niðr at jörðu);",\N
16306,lúta,X.2,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>to bow to</i> in homage or worship (Erlingr laut konungi ok heilsaði honum);</div>",to bow to in homage or worship (Erlingr laut konungi ok heilsaði honum);,\N
16306,lúta,X.3,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>to give away, yield</i>; hinir lægri verða at l., <i>the weaker has to yield</i>;</div>","to give away, yield; hinir lægri verða at l., the weaker has to yield;",\N
16306,lúta,X.4,sense,\N,\N,\N,"<div class=""oldnorse bodytext"">with preps., l. at <span class=""p"">e-u</span>, <i>to bear upon, have reference to</i> (þat sem at lýtr þess manns lofi); <i>to bow for a thing</i>; l. at litlu, <i>to be thankful for little</i>; l. til <span class=""p"">e-s</span>, <i>to belong to, bear upon</i> (þetta efni lýtr til lofs herra Guðmundi); <i>to pay homage, show deference, to</i> (lutu allir til hans); l. undir <span class=""p"">e-n</span>, <i>to be subject to</i> (þeir ætluðu engan guð vera þann, er þeir áttu undir at l.).</div>","with preps., l. at e-u, to bear upon, have reference to (þat sem at lýtr þess manns lofi); to bow for a thing; l. at litlu, to be thankful for little; l. til e-s, to belong to, bear upon (þetta efni lýtr til lofs herra Guðmundi); to pay homage, show deference, to (lutu allir til hans); l. undir e-n, to be subject to (þeir ætluðu engan guð vera þann, er þeir áttu undir at l.).",\N
16307,lútr,\N,main,[luːtr],adj.,\N,"<div class=""oldnorse bodytext""><i>louting, bent down, stooping</i>.</div>","louting, bent down, stooping.","louting, bent down, stooping"
