lemma_id,lemma,sense_num,type,ipa,pos,gender,entry,entry_str,gloss
1,a,\N,main,[a],\N,\N,"<div class=""oldnorse bodytext"">a negative suffix to verbs, <i>not</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">era útmakligt, <i>at it is not unmeet that</i>.</div>","a negative suffix to verbs, not;\nera útmakligt, at it is not unmeet that.",not
2,abbadis,\N,main,[abːadis],n.,f.,"<div class=""oldnorse bodytext"">(<span class=""p"">pl.</span> -ar), <i>abbess</i>.</div>","(pl. -ar), abbess.",abbess
3,abbast,\N,main,[abːast],v. refl.,\N,"<div class=""oldnorse bodytext"">(að), <i>to be angry, to quarrel</i> (~ við <span class=""p"">e-n</span>, upp á <span class=""p"">e-n</span>).</div>","(að), to be angry, to quarrel (~ við e-n, upp á e-n).","to be angry, to quarrel"
4,abbindi,\N,main,[abːindi],\N,\N,\N,\N,\N
5,afbindi,\N,main,[avbindi],n.,n.,"<div class=""oldnorse bodytext""><i>constipation</i>.</div>",constipation.,constipation
6,aðal,\N,main,[aðal],n.,n.,"<div class=""oldnorse bodytext""><i>nature, disposition</i>.</div>","nature, disposition.","nature, disposition"
7,aðalakkeri,\N,main,[aðalakːɛri],n.,n.,"<div class=""oldnorse bodytext""><i>sheet-anchor</i>.</div>",sheet-anchor.,sheet-anchor
8,aðalborinn,\N,main,[aðalbɔrinː],pp.,\N,"<div class=""oldnorse bodytext""><i>of noble birth</i>, = <span class=""ref"">óðalborinn</span>.</div>","of noble birth, = óðalborinn.",of noble birth
9,aðalból,\N,main,[aðalboːl],n.,n.,"<div class=""oldnorse bodytext""><i>manor</i>.</div>",manor.,manor
10,aðalfestr,\N,main,[aðalvɛstr],n.,f.,"<div class=""oldnorse bodytext"">see<span class=""ref"">alaðsfestr</span>.</div>",see alaðsfestr.,see alaðsfestr.
11,aðalfylking,\N,main,[aðalvylkinɣ],n.,f.,"<div class=""oldnorse bodytext""><i>the main body of troops, centre</i>.</div>","the main body of troops, centre.","the main body of troops, centre"
12,aðalhaf,\N,main,[aðalhav],n.,n.,"<div class=""oldnorse bodytext""><i>the high sea</i>.</div>",the high sea.,the high sea
13,aðalhenda,\N,main,[aðalhɛnda],\N,\N,\N,\N,\N
14,alhending,\N,main,[alhɛndinɣ],n.,f.,"<div class=""oldnorse bodytext""><span class=""ref"">alhenda</span>.</div>",alhenda.,alhenda.
15,aðalhending,\N,main,[aðalhɛndinɣ],n.,f.,"<div class=""oldnorse bodytext""><i>full</i> or <i>perfect rhyme</i>, as <i>góð: blóð</i> (opposed to <span class=""ref"">skothending</span>).</div>","full or perfect rhyme, as góð: blóð (opposed to skothending).",full
16,aðalhendr,\N,main,[aðalhɛndr],adj.,\N,"<div class=""oldnorse bodytext""><i>with perfect rhymes</i>.</div>",with perfect rhymes.,with perfect rhymes
17,aðalkelda,\N,main,[aðalkɛlda],n.,f.,"<div class=""oldnorse bodytext""><i>chief well</i>.</div>",chief well.,chief well
18,aðalkirkja,\N,main,[aðalkirkja],n.,f.,"<div class=""oldnorse bodytext""><i>chief part of a church</i>, opp. to <span class=""ref"">forkirkja</span>.</div>","chief part of a church, opp. to forkirkja.",chief part of a church
19,aðalliga,\N,main,[aðalːiɣa],adv.,\N,"<div class=""oldnorse bodytext""><i>completely, quite</i>.</div>","completely, quite.","completely, quite"
20,aðalmerki,\N,main,[aðalmɛrki],n.,n.,"<div class=""oldnorse bodytext""><i>chief banner</i>.</div>",chief banner.,chief banner
21,aðalritning,\N,main,[aðalritninɣ],n.,f.,"<div class=""oldnorse bodytext""><i>chief writing</i>.</div>",chief writing.,chief writing
22,aðalskáli,\N,main,[aðalskaːli],n.,m.,"<div class=""oldnorse bodytext""><i>the main hall</i>, opp. to <span class=""ref"">forskáli</span>, <span class=""ref"">forhús</span>.</div>","the main hall, opp. to forskáli, forhús.",the main hall
23,aðaltré,\N,main,[aðaltreː],n.,n.,"<div class=""oldnorse bodytext""><i>trunk of a tree</i>.</div>",trunk of a tree.,trunk of a tree
24,aðaltroll,\N,main,[aðaltrɔlː],n.,n.,"<div class=""oldnorse bodytext""><i>downright ogre</i>.</div>",downright ogre.,downright ogre
25,aðaltúlkr,\N,main,[aðaltuːlkr],n.,m.,"<div class=""oldnorse bodytext""><i>chief spokesman</i>.</div>",chief spokesman.,chief spokesman
26,aðal-,\N,main,[aðal],\N,\N,"<div class=""oldnorse bodytext"">in <span class=""p"">compds.</span>, <i>chief, head, principal</i>.</div>","in compds., chief, head, principal.","chief, head, principal"
27,aðild,\N,main,[aðild],n.,f.,"<div class=""oldnorse bodytext""><i>chief defendantship or prosecutorship</i>.</div>",chief defendantship or prosecutorship.,chief defendantship or prosecutorship
28,aðildarmaðr,\N,main,[aðildarmaðr],n.,m.,"<div class=""oldnorse bodytext""><span class=""ref"">aðili</span>.</div>",aðili.,aðili.
29,aðili,\N,main,[aðili],n.,m.,"<div class=""oldnorse bodytext"">(-ja, -jar, later -a, -ar), <i>chief defendant</i> (<span class=""ref"">varnar~</span>) or <i>prosecutor</i> (<span class=""ref"">sóknar~</span>, <span class=""ref"">sakar~</span>).</div>","(-ja, -jar, later -a, -ar), chief defendant (varnar~) or prosecutor (sóknar~, sakar~).",chief defendant
30,aðrir,\N,main,[aðrir],\N,\N,\N,\N,\N
31,öðrum,\N,main,[œðrum],\N,\N,\N,\N,\N
32,önnur,\N,main,[œnːur],\N,\N,"<div class=""oldnorse bodytext"">from <span class=""ref"">annarr</span>, <i>other</i>.</div>","from annarr, other.",other
33,af,\N,main,[av],prep.,\N,"<div class=""oldnorse bodytext""><span class=""p"">dat.</span></div>",dat.,"off, from"
33,af,I,sense,\N,\N,\N,"<div class=""oldnorse bodytext"">Of place:</div>",Of place:,\N
33,af,I.1,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>off, from</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">G. hljóp af hesti sínum, <i>G. jumped off his horse</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">ganga af mótinu, <i>to go away from the meeting</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">Flosi kastaði af sér skikkjunni, <i>threw off his cloak</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">Gizzur gekk af útsuðri at gerðinu, <i>from the south-west</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">hann hafði leyst af sér skúa sína, <i>he had taken off his shoes</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">Steinarr vildi slíta hann af sér, <i>throw him off</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">tók Gísli þá af sér vápnin, <i>took off his arms</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">bréf af Magnúsi konungi, <i>a letter from king Magnus</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">land af landi, <i>from one land to the other</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">hverr af öðrum, <i>one after another, in succession</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">vil ek þú vinnir af þér skuldina, <i>work off the debt</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">muntu enga sætt af mér fá, <i>no peace at my hand</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">rísa af dauða, <i>to rise from the dead</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">vakna af draumi, <i>to awaken from a dream</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">lúka upp af hrossi, <i>to open a gate from off a horse</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">vindr stóð af landi, <i>the wind blew from the land</i>;</div>","off, from;\nG. hljóp af hesti sínum, G. jumped off his horse;\nganga af mótinu, to go away from the meeting;\nFlosi kastaði af sér skikkjunni, threw off his cloak;\nGizzur gekk af útsuðri at gerðinu, from the south-west;\nhann hafði leyst af sér skúa sína, he had taken off his shoes;\nSteinarr vildi slíta hann af sér, throw him off;\ntók Gísli þá af sér vápnin, took off his arms;\nbréf af Magnúsi konungi, a letter from king Magnus;\nland af landi, from one land to the other;\nhverr af öðrum, one after another, in succession;\nvil ek þú vinnir af þér skuldina, work off the debt;\nmuntu enga sætt af mér fá, no peace at my hand;\nrísa af dauða, to rise from the dead;\nvakna af draumi, to awaken from a dream;\nlúka upp af hrossi, to open a gate from off a horse;\nvindr stóð af landi, the wind blew from the land;",\N
33,af,I.2,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>out of</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">verða tekinn af heimi, <i>to be taken out of the world</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">gruflar hón af læknum, <i>she scrambles out of the brook</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">Otradalr var mjök af vegi, <i>far out of the way</i>.</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">Connected with út; föstudaginn fór út herrinn af borginni, <i>marched out of the town</i>.</div>","out of;\nverða tekinn af heimi, to be taken out of the world;\ngruflar hón af læknum, she scrambles out of the brook;\nOtradalr var mjök af vegi, far out of the way.\nConnected with út; föstudaginn fór út herrinn af borginni, marched out of the town.",\N
33,af,II,sense,\N,\N,\N,"<div class=""oldnorse bodytext"">Of time; <i>past, beyond</i>:</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">af ómagaaldri, <i>able to support oneself, of age</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">ek em nú af léttasta skeiði, <i>no longer in the prime of life</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">þá er sjau vikur eru af sumri, <i>when seven weeks of summer are past</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">var mikit af nótt, <i>much of the night was past</i>.</div>","Of time; past, beyond:\naf ómagaaldri, able to support oneself, of age;\nek em nú af léttasta skeiði, no longer in the prime of life;\nþá er sjau vikur eru af sumri, when seven weeks of summer are past;\nvar mikit af nótt, much of the night was past.",\N
33,af,III,sense,\N,\N,\N,"<div class=""oldnorse bodytext"">In various other relations:</div>",In various other relations:,\N
33,af,III.1,sense,\N,\N,\N,"<div class=""oldnorse bodytext"">þiggja lið af <span class=""p"">e-m</span>, <i>to receive help from one</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">hafa umboð af <span class=""p"">e-m</span>, <i>to be another’s deputy</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">vera góðs (ills) maklegr af <span class=""p"">e-m</span>, <i>to deserve good (bad) of one</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">féll þar lið mart af Eyvindi, <i>many of Eyvind’s men fell there</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">þá eru þeir útlagir ok af goðorði sínu, <i>have forfeited their</i><span class=""ref"">goðorð</span>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">þá skalt þú af allri fjárheimtunni, <i>forfeit all the claim</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">ek skal stefna þér af konunni, <i>summon thee to give up</i>;</div>","þiggja lið af e-m, to receive help from one;\nhafa umboð af e-m, to be another’s deputy;\nvera góðs (ills) maklegr af e-m, to deserve good (bad) of one;\nféll þar lið mart af Eyvindi, many of Eyvind’s men fell there;\nþá eru þeir útlagir ok af goðorði sínu, have forfeited their goðorð;\nþá skalt þú af allri fjárheimtunni, forfeit all the claim;\nek skal stefna þér af konunni, summon thee to give up;",\N
33,af,III.2,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>off, of</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">höggva fót, hönd, af <span class=""p"">e-m</span>, <i>to cut off one’s foot, hand</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">vil ek, at þú takir slíkt sem þér líkar af varningi, <i>whatever you like of the stores</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">þar lá forkr einn ok brotit af endanum, <i>with the point broken off</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px""><span class=""p"">absol.</span>, beit hann höndina af, <i>bit the hand off</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">fauk af höfuðit, <i>the head flew off</i>;</div>","off, of;\nhöggva fót, hönd, af e-m, to cut off one’s foot, hand;\nvil ek, at þú takir slíkt sem þér líkar af varningi, whatever you like of the stores;\nþar lá forkr einn ok brotit af endanum, with the point broken off;\nabsol., beit hann höndina af, bit the hand off;\nfauk af höfuðit, the head flew off;",\N
33,af,III.3,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>of, among</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">hinn efniligasti maðr af ungum mönnum, <i>the most promising of the young men</i>;</div>","of, among;\nhinn efniligasti maðr af ungum mönnum, the most promising of the young men;",\N
33,af,III.4,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>with</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">hláða, (ferma) skip af <span class=""p"">e-u</span>, <i>to load (freight) a ship with</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">fylla heiminn af sínu kyni, <i>to fill the world with his offspring</i>;</div>","with;\nhláða, (ferma) skip af e-u, to load (freight) a ship with;\nfylla heiminn af sínu kyni, to fill the world with his offspring;",\N
33,af,III.5,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>of</i> (= <span class=""ref"">ór</span> which is more frequent);</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">húsit var gert af timbr stokkum, <i>was built of trunks of trees</i>;</div>","of (= ór which is more frequent);\nhúsit var gert af timbr stokkum, was built of trunks of trees;",\N
33,af,III.6,sense,\N,\N,\N,"<div class=""oldnorse bodytext"">fig., eigi vita menn hvat af honum er orðit, <i>what has become of him</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">hvat hefir þú gert af Gunnari, <i>what hast thou done with Gunnar?</i>;</div>","fig., eigi vita menn hvat af honum er orðit, what has become of him;\nhvat hefir þú gert af Gunnari, what hast thou done with Gunnar?;",\N
33,af,III.7,sense,\N,\N,\N,"<div class=""oldnorse bodytext"">denoting parentage, descent, origin;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">ok eru af þeim komnir Gilsbekkingar, <i>are descended from them</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">kominn af Trójumönnum, <i>descended from the Trojans</i>;</div>","denoting parentage, descent, origin;\nok eru af þeim komnir Gilsbekkingar, are descended from them;\nkominn af Trójumönnum, descended from the Trojans;",\N
33,af,III.8,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>by, of</i> (after passive);</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">ek em sendr hingat af Starkaði, <i>sent hither by</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">ástsæll af landsmónnum, <i>beloved of</i>;</div>","by, of (after passive);\nek em sendr hingat af Starkaði, sent hither by;\nástsæll af landsmónnum, beloved of;",\N
33,af,III.9,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>on account of, by reason of, by</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">úbygðr at frosti ok kulda, <i>because of frost and cold</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">ómáli af áverkum, <i>speechless from wounds</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">af ástæld hans, <i>by his popularity</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">af því, <i>therefore</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">af hví, <i>wherefor why</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">af því at, <i>because</i>;</div>","on account of, by reason of, by;\núbygðr at frosti ok kulda, because of frost and cold;\nómáli af áverkum, speechless from wounds;\naf ástæld hans, by his popularity;\naf því, therefore;\naf hví, wherefor why;\naf því at, because;",\N
33,af,III.10,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>by means of, by</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">framfœra <span class=""p"">e-n</span> af verkum sínum, <i>by means of his own labour</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">af sínu fé, <i>by one’s own means</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px""><span class=""p"">absol.</span>, hann fekk af hina mestu sœmd, <i>derived great honour from it</i>;</div>","by means of, by;\nframfœra e-n af verkum sínum, by means of his own labour;\naf sínu fé, by one’s own means;\nabsol., hann fekk af hina mestu sœmd, derived great honour from it;",\N
33,af,III.11,sense,\N,\N,\N,"<div class=""oldnorse bodytext"">with adjectives, <i>in regard to</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">mildr af fé, <i>liberal of money</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">góðr af griðum, <i>merciful</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">fastr af drykk, <i>close (stingy) in regard to drink</i>;</div>","with adjectives, in regard to;\nmildr af fé, liberal of money;\ngóðr af griðum, merciful;\nfastr af drykk, close (stingy) in regard to drink;",\N
33,af,III.12,sense,\N,\N,\N,"<div class=""oldnorse bodytext"">used <span class=""p"">absol.</span> with a verb, <i>off away</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">hann bað hann þá róa af fjörðinn, <i>to row the firth off</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">ok er þeir höfðu af fjörðung, <i>when they had covered one forth of the way</i>;</div><div class=""oldnorse bodytext"" style=""margin-left=50px"">sofa af nóttina, <i>to sleep the night away</i>.</div>","used absol. with a verb, off away;\nhann bað hann þá róa af fjörðinn, to row the firth off;\nok er þeir höfðu af fjörðung, when they had covered one forth of the way;\nsofa af nóttina, to sleep the night away.",\N
34,afar,\N,main,[avar],adv.,\N,"<div class=""oldnorse bodytext""><span class=""p"">a.</span> or another <span class=""p"">adv.</span>, <i>very, exceedingly</i> (~ auðigr, ~ breiðr, ~ vel, ~ illa).</div>","a. or another adv., very, exceedingly (~ auðigr, ~ breiðr, ~ vel, ~ illa).","very, exceedingly"
35,afarkostalaust,\N,main,[avarkɔstalɒust],adv.,\N,"<div class=""oldnorse bodytext""><i>on fair terms</i>.</div>",on fair terms.,on fair terms
36,afarkostr,\N,main,[avarkɔstr],n.,m.,"<div class=""oldnorse bodytext""><i>hard terms</i>.</div>",hard terms.,hard terms
37,afarligr,\N,main,[avarliɣr],adj.,\N,"<div class=""oldnorse bodytext""><i>immense, huge</i>.</div>","immense, huge.","immense, huge"
38,afarmenni,\N,main,[avarmɛnːi],n.,n.,"<div class=""oldnorse bodytext""><i>an outstanding man</i>.</div>",an outstanding man.,an outstanding man
39,afarorð,\N,main,[avarɔrð],n.,n.,"<div class=""oldnorse bodytext""><i>overbearing word</i>.</div>",overbearing word.,overbearing word
40,afarúðigr,\N,main,[avaruːðiɣr],\N,\N,\N,\N,\N
41,ofrkappsfullr,\N,main,[ɔvrkapːsfulːr],adj.,\N,"<div class=""oldnorse bodytext""><i>overbearing</i>.</div>",overbearing.,overbearing
42,afaryrði,\N,main,[avaryrði],n.,n.,"<div class=""oldnorse bodytext""><span class=""p"">pl.</span><i>proud speech</i>.</div>",pl. proud speech.,proud speech
43,afauðit,\N,main,[avɒuðit],pp.,\N,"<div class=""oldnorse bodytext""><span class=""p"">n.</span>, <span class=""p"">e-m</span> verðr ~ um <span class=""p"">e-t</span>, <i>one has bad luck (fails) in a thing</i>.</div>","n., e-m verðr ~ um e-t, one has bad luck (fails) in a thing.",one has bad luck (fails) in a thing
44,afblómga,\N,main,[avbloːmɣa],v.,\N,"<div class=""oldnorse bodytext"">(að), <i>to deprive of flowers</i>; fig., ~ frægð <span class=""p"">e-s</span>, <i>to detract from one’s fame</i>.</div>","(að), to deprive of flowers; fig., ~ frægð e-s, to detract from one’s fame.",to deprive of flowers
45,afboð,\N,main,[avbɔð],n.,n.,"<div class=""oldnorse bodytext""><i>threats, high words</i>.</div>","threats, high words.","threats, high words"
46,afbragð,\N,main,[avbraɣð],n.,n.,"<div class=""oldnorse bodytext""><i>paragon</i> (~ annarra manna); in genitive as a prefix to nouns, <i>surpassing, excellent</i> (~s vænleikr, ~s maðr).</div>","paragon (~ annarra manna); in genitive as a prefix to nouns, surpassing, excellent (~s vænleikr, ~s maðr).",paragon
47,afbragðligr,\N,main,[avbraɣðliɣr],\N,\N,\N,\N,\N
48,yfirbæriligr,\N,main,[yvirbɛːriliɣr],adj.,\N,"<div class=""oldnorse bodytext""><i>surpassing</i>.</div>",surpassing.,surpassing
49,afbrigð,\N,main,[avbriɣð],n.,n.,\N,\N,\N
50,afbrigðartré,\N,main,[avbriɣðartreː],n.,n.,"<div class=""oldnorse bodytext""><i>tree of transgression</i>.</div>",tree of transgression.,tree of transgression
51,afbrigði,\N,main,[avbriɣði],n.,n.,"<div class=""oldnorse bodytext""><i>alteration</i>;</div>",alteration;,alteration
51,afbrigði,X.2,sense,\N,\N,\N,"<div class=""oldnorse bodytext"">= <span class=""ref"">afbrigð</span>.</div>",= afbrigð.,\N
52,afbrot,\N,main,[avbrɔt],n.,n.,"<div class=""oldnorse bodytext""><i>offence, transgressi on</i>.</div>","offence, transgressi on.","offence, transgressi on"
53,afbrugðning,\N,main,[avbruɣðninɣ],n.,f.,"<div class=""oldnorse bodytext""><i>deviation</i>.</div>",deviation.,deviation
54,afbrúðigr,\N,main,[avbruːðiɣr],adj.,\N,"<div class=""oldnorse bodytext""><i>jealous</i>.</div>",jealous.,jealous
55,afbrýða,\N,main,[avbryːða],v.,\N,"<div class=""oldnorse bodytext"">(-dda, -ddr), <i>to be jealous</i>.</div>","(-dda, -ddr), to be jealous.",to be jealous
56,afbrýði,\N,main,[avbryːði],n.,n.,"<div class=""oldnorse bodytext""><i>jealousy</i>.</div>",jealousy.,jealousy
57,afburðar,\N,main,[avburðar],\N,\N,"<div class=""oldnorse bodytext""><span class=""p"">gen.</span> from <span class=""ref"">afburðr</span>, used as an intensive before adjectives and adverbs, <i>very, exceedingly</i> (~ digr, ~ vænn, ~ sterkliga, ~ vel).</div>","gen. from afburðr, used as an intensive before adjectives and adverbs, very, exceedingly (~ digr, ~ vænn, ~ sterkliga, ~ vel).","very, exceedingly"
58,afburðarmaðr,\N,main,[avburðarmaðr],n.,m.,"<div class=""oldnorse bodytext""><i>man of mark</i>.</div>",man of mark.,man of mark
59,afburðarsamr,\N,main,[avburðarsamr],adj.,\N,"<div class=""oldnorse bodytext""><i>given to distinguish oneself</i>.</div>",given to distinguish oneself.,given to distinguish oneself
60,afburðarskip,\N,main,[avburðarskip],n.,n.,"<div class=""oldnorse bodytext""><i>first-rate ship</i>.</div>",first-rate ship.,first-rate ship
61,afburðr,\N,main,[avburðr],n.,m.,"<div class=""oldnorse bodytext""><i>superiority</i>; kvað honum eigi annat vænna til afburðar, <i>to get the better of it</i>; ok vilda ek, at hón yrði eigi með minnum afburðum, <i>less glorious</i>.</div>","superiority; kvað honum eigi annat vænna til afburðar, to get the better of it; ok vilda ek, at hón yrði eigi með minnum afburðum, less glorious.",superiority
62,afdalr,\N,main,[avdalr],n.,m.,"<div class=""oldnorse bodytext""><i>a remote, an out-of-the-way, valley</i>.</div>","a remote, an out-of-the-way, valley.","a remote, an out-of-the-way, valley"
63,afdeilingr,\N,main,[avdɛilinɣr],n.,m.,"<div class=""oldnorse bodytext""><i>part, portion, share</i>.</div>","part, portion, share.","part, portion, share"
64,afdráttr,\N,main,[avdraːtːr],n.,m.,"<div class=""oldnorse bodytext""><i>diminution, deduction</i>;</div>","diminution, deduction;","diminution, deduction"
64,afdráttr,X.2,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>subtraction</i>.</div>",subtraction.,\N
65,afdrif,\N,main,[avdriv],n.,n.,"<div class=""oldnorse bodytext""><span class=""p"">pl.</span><i>destiny, fate</i> (líkligr til stórra ~a).</div>","pl. destiny, fate (líkligr til stórra ~a).","destiny, fate"
66,afdrykkja,\N,main,[avdrykːja],n.,f.,"<div class=""oldnorse bodytext""><span class=""ref"">ofdrykkja</span>.</div>",ofdrykkja.,ofdrykkja.
67,afdœma,\N,main,[avdœːma],v.,\N,"<div class=""oldnorse bodytext"">(-da, -dr), </div>","(-da, -dr),",to take away from one by judicial decision
67,afdœma,X.1,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>to take away from one by judicial decision</i> (~ <span class=""p"">e-n</span><span class=""p"">e-u</span>);</div>",to take away from one by judicial decision (~ e-n e-u);,\N
67,afdœma,X.2,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>to prohibit</i>.</div>",to prohibit.,\N
68,afeggja,\N,main,[avɛgːja],v.,\N,"<div class=""oldnorse bodytext"">(að), <i>to dissuade</i>.</div>","(að), to dissuade.",to dissuade
69,afeigna,\N,main,[avɛiɣna],v.,\N,"<div class=""oldnorse bodytext"">(að), <i>to dispossess (~</i><span class=""p"">e-m</span><span class=""p"">e-t</span>).</div>","(að), to dispossess (~ e-m e-t).",to dispossess (~
70,afeista,\N,main,[avɛista],v.,\N,"<div class=""oldnorse bodytext"">(að), <i>to castrate</i>.</div>","(að), to castrate.",to castrate
71,aferfa,\N,main,[avɛrva],v.,\N,"<div class=""oldnorse bodytext"">(-ða, -ðr), <i>to disinherit</i>.</div>","(-ða, -ðr), to disinherit.",to disinherit
72,afeyringr,\N,main,[avɐyrinɣr],n.,m.,"<div class=""oldnorse bodytext""><i>one whose ears have been cut off</i>.</div>",one whose ears have been cut off.,one whose ears have been cut off
73,affall,\N,main,[afːalː],n.,n.,"<div class=""oldnorse bodytext""><i>diminution, abatement</i>; selja <span class=""p"">e-t</span> með afföllum, <i>to sell at a discount</i>.</div>","diminution, abatement; selja e-t með afföllum, to sell at a discount.","diminution, abatement"
74,affaradagr,\N,main,[afːaradaɣr],n.,m.,"<div class=""oldnorse bodytext""><i>the last day of a feast</i>; ~ jóla, <i>Twelth Night</i>.</div>","the last day of a feast; ~ jóla, Twelth Night.",the last day of a feast
75,affarakveld,\N,main,[afːarakvɛld],n.,n.,"<div class=""oldnorse bodytext""><i>the last evening of a feast</i>.</div>",the last evening of a feast.,the last evening of a feast
76,affara-,\N,main,[afːara],\N,\N,"<div class=""oldnorse bodytext""><span class=""p"">gen.</span><span class=""p"">pl.</span> from ‘afför’, <i>departure</i>; hence <span class=""ref"">affaradagr</span>, <span class=""ref"">affarakveld</span>.</div>","gen. pl. from ‘afför’, departure; hence affaradagr, affarakveld.",departure
77,affeðrast,\N,main,[afːɛðrast],v.,\N,"<div class=""oldnorse bodytext"">(að), <i>to degenerate</i>.</div>","(að), to degenerate.",to degenerate
78,afferma,\N,main,[afːɛrma],v.,\N,"<div class=""oldnorse bodytext"">(-da, -dr), <i>to unload</i> (~ skip).</div>","(-da, -dr), to unload (~ skip).",to unload
79,affletta,\N,main,[afːlɛtːa],v.,\N,"<div class=""oldnorse bodytext"">(-tta, -ttr), <i>to strip</i> (~ <span class=""p"">e-n</span><span class=""p"">e-u</span>).</div>","(-tta, -ttr), to strip (~ e-n e-u).",to strip
80,afflutningr,\N,main,[afːlutninɣr],n.,m.,"<div class=""oldnorse bodytext""><i>depreciation</i>;</div>",depreciation;,depreciation
80,afflutningr,X.2,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>dissuasion</i>.</div>",dissuasion.,\N
81,afflytja,\N,main,[afːlytja],v.,\N,"<div class=""oldnorse bodytext"">(see<span class=""ref"">flytja</span>), </div>","(see flytja),",to disparage
81,afflytja,X.1,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>to disparage</i> (~ fyrir <span class=""p"">e-m</span>);</div>",to disparage (~ fyrir e-m);,\N
