eng_abbrev,source_abbrev,full_language_name,wikt_lang_key,lang_index,Glottolog_lang
MLG,"mnd.,mndd.",Middle Low German,Middle_Low_German,771,Middle Low German [midd1318][gml]-l-
MWel.,"mc.,mcymr,mcymr.,mkmyr.,mkymr.,mykmr.","Middle Welsh,Welsh","Middle_Welsh,Welsh","315,317","Middle Welsh [midd1363],Welsh [wels1247][cym]-l-"
LMHD,spätmhd.,Late Middle High German,,563,Middle-Modern High German [midd1349]
ENHG,"frühnhd.,frühneuhochd.",Early New High German,"New_High_German,German","563,617","Middle-Modern High German [midd1349],German [stan1295][deu]-l-"
MInd.,mind.,Middle Indic,,1120,Middle-Modern Indo-Aryan [midd1375]
Mod.Ind.,nind.,Modern Indic,,1120,Middle-Modern Indo-Aryan [midd1375]
Mod.Ind.dial.,neuind. dial.,Modern Indic (dialectal),,1120,Middle-Modern Indo-Aryan [midd1375]
NHG,"nhd,nhd.",Modern High German,New_High_German,565,Modern High German [mode1258]
NHG.dial.,"nhd. dial.,nhd. mdartl.",Modern High German (dialectal),New_High_German,565,Modern High German [mode1258]
NHG.tech.,nhd. fachspr.,Modern High German (technical language),New_High_German,565,Modern High German [mode1258]
Myc.Gk.,myk.,Mycenean Greek,Mycenaean_Greek,1036,Mycenaean Greek [myce1242]
Mys.,mys.,Mysian,,1098,Mysian [mysi1239][yms]
Nep.,nep.,Nepalese,,1560,Nepali [nepa1254][npi]-l-
Nord.,nord.,Nordic,,360,North Germanic [nort3160]
PN,urnord.,Proto-Norse,Proto-Norse,360,North Germanic [nort3160]
NFris.,nordfries.,Northern Frisian,,1003,Northern Frisian [nort2626][frr]-l-
NUmbr.,"nordhumbr.,northumbr.",Northumbrian,Northumbrian_Old_English,985,Northumbrian [nort3320]
Aetol.,ätol.,Aetolian,Ancient_Greek,1028,Northwestern Ancient Greek [nort3269]
Delph.,delph.,Delphic Greek,Doric_Greek,1028,Northwestern Ancient Greek [nort3269]
El.,"el.,eleisch",Eleic Greek,Ancient_Greek,1028,Northwestern Ancient Greek [nort3269]
Epid.,epid.,Epidamnian Greek,Ancient_Greek,1028,Northwestern Ancient Greek [nort3269]
Epir.,epir.,Epirean Greek,Ancient_Greek,1028,Northwestern Ancient Greek [nort3269]
Loc.,"lok.,lokr.",Locrian Greek,Ancient_Greek,1028,Northwestern Ancient Greek [nort3269]
Phoc.,phok.,Phocian Greek,Ancient_Greek,1028,Northwestern Ancient Greek [nort3269]
Med.,med.,Medean,"Old_Median, Middle_Median",2105,Northwestern Iranian [nort3177]
Norw.,"neunorw.,nnorw.,norw,norw.,norweg.","Modern Norwegian,Norwegian",Norwegian,448,Norwegian [norw1258][nor]-l-
Norw.dial.,"nnorw. dial.,norw. dial.,norw. mdartl.,norw. Mdarten",Norwegian (dialectal),Norwegian,448,Norwegian [norw1258][nor]-l-
ONorw.,anorw.,Old Norwegian,Norwegian,448,Norwegian [norw1258][nor]-l-
WNorw.,westnorw.,West Norwegian,Norwegian,448,Norwegian [norw1258][nor]-l-
Nur.,nur.,Nuristani,,2665,Nuristani [nuri1243]
Nuri.,"n?rist?n?.,nuristani.",Nuristani,,2665,Nuristani [nuri1243]
Waig.,waigali.,Waigali,Waigali,2682,Nuristani Kalasha [waig1243][wbk]-l-
OProv.,aprov.,Old Occitan,Old_Occitan,2941,Occitan [occi1239][oci]-l-
Prov.,prov.,Provençal,Occitan,2941,Occitan [occi1239][oci]-l-
OBret.,"abr.,abret.",Old Breton,Old_Breton,327,Old Breton [oldb1248]
OBrit.,"abrit.,altbritann.",Old Breton,Old_Breton,327,Old Breton [oldb1248]
OCorn.,"acorn.,akorn.",Old Cornish,Old_Cornish,333,Old Cornish [oldc1252][oco]-l-
OCz.,"ač.,ačech,ačech.,atschech.",Old Czech,Old_Czech,271,Old Czech [oldc1253]
ODan.,"adän.,altdän.,älterdän.",Old Danish,Old_Danish,432,Old Danish [oldd1239]
ODu.,altndl.,Old Dutch,Old_Dutch,696,Old Dutch [oldd1238]
LOE,spätags.,Late Old English,,982,Old English {ca. 450-1100} [olde1238][ang]-l-
OE,"ags,ags.,agsl.",Old English,Old_English,982,Old English {ca. 450-1100} [olde1238][ang]-l-
OEng.,ae.,Old English,Old_English,982,Old English {ca. 450-1100} [olde1238][ang]-l-
OFranc.,afränk.,Old Franconian,,697,Old Frankish [fran1264][frk]
OFrank.,fränk.,Old Frankish,,697,Old Frankish [fran1264][frk]
OLF,"andfränk.,andfrk.,andl.,anfränk.,anfrk.",Old Low Franconian,,697,Old Frankish [fran1264][frk]
Sal.frank.,"salfr.,sal-fränk.",Salian Frankish,,697,Old Frankish [fran1264][frk]
OFr.,"afr.,afrz.",Old French,Old_French,2899,Old French {842-ca. 1400} [oldf1239][fro]-l-
OFris.,"afries,afries.,altfries.",Old Frisian,Old_Frisian,1020,Old Frisian [oldf1241][ofs]-l-
WAFris.,awfries.,West Old Frisian,,1020,Old Frisian [oldf1241][ofs]-l-
LOHG,"spätahd.,spät-ahd.",Late Old High German,,640,Old High German {ca. 750-1050} [oldh1241][goh]-l-
OHG,"ahd,ahd.",Old High German,Old_High_German,640,Old High German {ca. 750-1050} [oldh1241][goh]-l-
OIr.,"""air.,air,air.,altgal.",Old Irish,Old_Irish,340,Old Irish {8-9th century} [oldi1246]
OLat.,"alat.,altlat.",Old Latin,Old_Latin,3122,Old Latin [oldl1238][qbb]-l-
Praenest.,"prÃ¤nestin.,praen.,prän.-lat.,pränestin.",Praenestine,Old_Latin,3122,Old Latin [oldl1238][qbb]-l-
OLith.,"alit.,altlit.",Old Lithuanian,Old_Lithuanian,135,Old Lithuanian [oldl1240][olt]
LON,spätanord.,Late Old Norse,,455,Old Norse [oldn1244][non]-l-
N,n.,Norse,Old_Norse,455,Old Norse [oldn1244][non]-l-
OIce.,"ais.,aisl,aisl.",Old Icelandic,Old_Norse,455,Old Norse [oldn1244][non]-l-
OIce.poet.,aisl. poet.,Old Icelandic (poetic),Old_Norse,455,Old Norse [oldn1244][non]-l-
ON,"ahn.,altn.,an,.,An.,an.,anord,anord.,altnord.",Old Norse,Old_Norse,455,Old Norse [oldn1244][non]-l-
WON,awnord.,West Old Norse,Old_Norse,455,Old Norse [oldn1244][non]-l-
OPers.,"ap.,apers,apers.,ар.",Old Persian,Old_Persian,2664,Old Persian {ca. 600-400 B.C.} [oldp1254][peo]-l-
OPol.,"apoln.,altpoln.",Old Polish,Old_Polish,284,Old Polish [oldp1256]
OPruss.,"?pr.,apr,apr.,apreuß.,аpr.",Old Prussian,Old_Prussian,140,Old Prussian [prus1238][prg]-l-
Pruss.,"pr.,preuß.",Prussian,Old_Prussian,140,Old Prussian [prus1238][prg]-l-
RCS,"r.-ksl.,r.-ksl. ,russ -ksl.,russ.-ksl.,russ.-ksl. ,russ-ksl.",Russian Church Slavonic,,"150, 182","Old Russian [oldr1238][orv]-l-, Church Slavic [chur1257][chu]-l-"
RussCS,russ.ksl.,Russian Church Slavonic,,"150, 182","Old Russian [oldr1238][orv]-l-, Church Slavic [chur1257][chu]-l-"
OSax.,"as,as.,asäch.,asächs.",Old Saxon,Old_Saxon,772,Old Saxon [olds1250][osx]-l-
OSwed.,"aschw.,aschwed.,ashwed.",Old Swedish,Old_Swedish,416,Old Swedish [olds1252]
OWel.,"acymr,acymr.,akymr.",Old Welsh,Old_Welsh,316,Old Welsh [oldw1241]
PRun.N,urnord.-run.,Proto-Runic Norse,Proto-Norse,459,Older Runic [olde1239]-l-
Run.,"run.,runeninschr.,runisch",Runic Germanic,Proto-Norse,459,Older Runic [olde1239]-l-
Osc.,"osk,osk.",Oscan,Oscan,3128,Oscan [osca1245][osc]-l-
Sabell.,sabell.,Sabellic,"Oscan, Umbrian, South_Picene",3128,Oscan [osca1245][osc]-l-
Oss.,"oss.,osset.",Ossetic,Ossetian,2400,Ossetic [osse1245]
Oss.cauc.,osset.-kaukas,Ossetic (Caucasus),,2400,Ossetic [osse1245]
Paelig.,"pael.,päl.,pälig.,pälign.",Paelignian,Paelignian,3132,Paelignian [pael1234]
MIran.,miran.,Middle Iranian,Middle_Persian,2663,Pahlavi [pahl1241][pal]-l-
MPers.,"mp.,mpers.",Middle Persian,Middle_Persian,2663,Pahlavi [pahl1241][pal]-l-
Pahl.,"pahl.,pehl.",Middle Persian,Middle_Persian,2663,Pahlavi [pahl1241][pal]-l-
Pahl.paz.,pehl. paz.,Middle Persian (Pāzand),Middle_Persian,2663,Pahlavi [pahl1241][pal]-l-
Prak.,"pkt.,prakr.,prākr.,prakrit",Prakrit,Prakrit,1208,Paisaci Prakrit [pais1238][qpp]-l-
Pal.,"pal.,pali,pāli","Palaic,Pali","Palaic,Pali","19,1639","Palaic [pala1331][plq]-l-,Pali [pali1273][pli]-l-"
Pannon.,pannon.,Pannonian,Pannonian_Rusyn,172,Pannonian Ruthenian [pann1240][rsk]
Para.,parāčī,Parachi,Parachi,2426,Parachi [para1299][prc]-l-
MParth.,mparth.,Middle Parthian,,2395,Parthian [part1239][xpr]-l-
Parth.,parth.,Parthian,Parthian,2395,Parthian [part1239][xpr]-l-
Dard.dial.,dard. pāšai (dial.),Dardic (PaÂšai dialect),Pashayi,2032,Pashayi [pash1270]
Dard.Pash,"pāšai(dial.,dard.pāšai(dial.)",Dardic (PaÂšai dialect),Pashayi,2032,Pashayi [pash1270]
Afgh.,"afgh.,afghan.",Pashto,Pashto,2430,Pashto [pash1269]
Pash.,"pashto,pāšto.",Pashto,Pashto,2430,Pashto [pash1269]
NPhryg.,"neuphryg.,nphryg.",Neo-Phrygian,Phrygian,1097,Phrygian [phry1239][xpg]-l-
OPhryg.,aphryg.,Old Phrygian,Phrygian,1097,Phrygian [phry1239][xpg]-l-
Phryg.,phryg.,Phrygian,Phrygian,1097,Phrygian [phry1239][xpg]-l-
Pied.,piem.,Piedmontese,,2783,Piemontese [piem1238][pms]-l-
Polab.,polab.,Polabian,,279,Polabian [pola1255][pox]-l-
Pol.,"poln,poln.,polonis.",Polish,Polish,281,Polish [poli1260][pol]-l-
Pol.dial.,poln. dial.,Polish (dialect),Polish,281,Polish [poli1260][pol]-l-
Rhen.,"rhein.,rheinländ.",Rhenish German,,548,Rhenish Franconian [rhin1244]
PRoman.,vorrom.,Proto-Romance,,2700,Romance [roma1334]
Roman.,"rom.,roman.",Romance,,2700,Romance [roma1334]
Romani,zigeun.,Romani,,1741,Romani [roma1329][rom]
Rom.,rum.,Romanian,Romanian,2708,Romanian [roma1327][ron]-l-
(O)Russ.,(a)russ.,(Old) Russian,Russian,151,Russian [russ1263][rus]-l-
