eng_abbrev,source_abbrev,full_language_name,wikt_lang_key,lang_index,Glottolog_lang
Flem.,fläm.,Flemish,Flemish,673,Western Flemish [vlaa1240][vls]-l-
WFlem.,"westf.,westfläm.,west-fläm.,westflämisch,wfläm.",West Flemish,West_Flemish,673,Western Flemish [vlaa1240][vls]-l-
WFris.,wfries.,West Frisian,,673,Western Flemish [vlaa1240][vls]-l-
WPhal.,"westfäl,westfäl.,wfäl.",Westphalian German,,755,Westphalic [west2356][wep]-l-
Yagh.,ya?nob?.,Yaghnobi,Yagnobi,2419,Yagnobi [yagn1238][yai]-l-
Anat.lang.,"kleinas.,kleinasiat.",Language from Anatolia,,,
Aquit.,aquitan.,Aquitanian,,,
Aram.,aram.,Aramaic,Aramaic,,Aramaic [aram1259]
Balk.illyr.,balkanillyr.,Illyrian (Balkan),Illyrian,,Illyrian [illy1234]
Basq.,bask.,Basque,Basque,,Basque [basq1248]
Egypt.,ägypt.,Egyptian,,,Egyptian (Ancient) [egyp1246]
EIran.,ostiran.,Eastern Iranian,,,
Eston.,estn.,Estonian,Estonian,,Estonian [esto1258]
Etrusc.,etrusk.,Etruscan,Etruscan,,Etruscan [etru1241]
Finn.,"finn,finn.",Finnish,Finnish,,Finnish [finn1318]
Hisp.,"hispan.,hisp.","Hispania,Hispanic",,,
Iber.,iber.,Iberian,Iberian,,Iberian [iber1250]
Illyr.,"ill.,illyr.,illyr. (?).",Illyrian,Illyrian,,Illyrian [illy1234]
Illyr.dial.,illyr. dial.,Illyrian (dial.),Illyrian,,Illyrian [illy1234]
Komi,syrj.,Komi,,,Komi [komi1267]
Lang.,"langob.,langobard.",Langobardic,,,
Saa.,lapp.,Saami,,,Saami [saam1281]
Lemn.,lemn.,Lemnian,,,Lemnian [lemn1237]
LGk.,spätgr.,Late Greek,Ancient_Greek,1043,Koineic Greek [koin1234]
Mari,tscherem.,Mari,,,Mari [mari1278]
Mit.,mitanni.,Mitanni,,,
Mordv.,mordw.,Mordvinic,,,Mordvin [mord1256]
NIllyr.,"nordillyr.,nordillyr.?",North Illyrian,Illyrian,,Illyrian [illy1234]
OChin.,altchin.,Old Chinese,,,Old Chinese [oldc1244]
OIllyr.,altillyr.,Old Illyrian,,,Illyrian [illy1234]
Paeon.,"paion.,päon.",Paeonian,Paeonian,,
Poet., poet.,poetic,Ancient_Greek,,
SIllyr.,südillyr.,Illyrian (Southern),Illyrian,,Illyrian [illy1234]
Turk.,turk.,Turkish,Turkish,,Turkish [nucl1301]
Turk.tatar,turko-tatar.,Turco-Tatar,Tatar,,Turkic [turk1311]
Tyrrh.,tyrs.,Tyrrhenian,,,"Etruscan [etru1241], Raetic [raet1238], Lemnian [lemn1237]"
Udm.,wotj.,Udmurt,,,Udmurt [udmu1245]
Urart.,urart.,Urartian,Urartian,,Urartian [urar1245]
,,,,,
,,,,,
Pras.,prasun,Prasun,,,
Hern.,hernikisch,Hernican Oscan,,,
Grmc.Lat.,lat.-germ.,Germanic Latin,,,
Pruss.Lith.,preuß.-lit.,Prussian Lithuanian,,,
Celt.Grmc.,kelto-germ.,Celto-Germanic,,,
