orig_lang_abbrev_raw,count
hom. ion. att. ,1
hom. ion. dor. ,1
hom. kypr. ,1
hom. lesb. dor. ,1
hom. poet.,1
hom. thess.,1
hom.-att. ,1
illyr. (messap.) ,1
abret. mbret.,1
ion. altatt.,1
ion. ark. hellen. ,1
ion. att. lesb. ,1
ion. dor. ark. ,1
ion. ep.,1
ion. ep. ,1
ion. äol. kret. ,1
ir. cymr. ,1
abret. nbret.,1
iran. av.,1
isl. aschwed.,1
umbr. päl. marruc. ,1
isl. norw. ,1
isl. norw. dial. ,1
isl.-norw.,1
acorn. bret. ,1
kelt.-ill.,1
kelt.-lat. ,1
kleinas. maked. kret.,1
klr. bulg. serb. ,1
kret. kyren. ,1
acorn. mcorn. ,1
kypr. lak.,1
lad. eng.,1
lak. tar. ,1
lak. ätol. kret.,1
lat. osk.,1
lat. umbr.,1
lat. umbr. ,1
lat. vlat.,1
lat.-fal.,1
lesb. dor.,1
lesb. ion. ,1
lesb. thess. ark.,1
lesb. thess. hom. ,1
lesb.-thess. ,1
acorn. mcorn. bret.,1
lett. apr. ,1
acymr. acorn. abret. ,1
acymr. bret.,1
acymr. corn.,1
acymr. corn. ,1
lit. žem. dial.,1
lit.-poln. ,1
maked. (illyr.) ,1
mars. sabin.,1
mars.-lat.,1
mbg. russ.-ksl. ,1
acymr. corn. bret.,1
mbret. nbret. ,1
mcymr. bret.,1
mcymr. bret. ,1
mcymr. corn. bret. ,1
mcymr. cymr.,1
mcymr. nc.,1
mcymr. ncymr.,1
md. mnd.,1
md. mnd. ,1
acymr. mcymr. ,1
mengl. mnd. ,1
mengl. mnl.,1
mengl. nd. ndl. ,1
mengl. ndd. ,1
afr. as. ahd. ,1
acorn. abret.,1
messap. illyr.,1
mhd. (md.) ,1
mhd. ags.,1
mhd. bair.,1
afries. as.,1
afries. as. ,1
afries. as. ahd. ,1
mhd. mnl.,1
afries. as. ahd. mhd.,1
mhd. nengl. ,1
afries. asächs.,1
mhd. nhd. alem.,1
ags. afries. ahd. ,1
ags. afries. asächs.,1
mir. corn. bret. ,1
ags. ahd. nhd. ,1
mir. cymr. corn. bret. ,1
ags. aisl. nfries. mnd. ahd. mhd.,1
mlat.-rom. ,1
mnd. afr. ,1
ags. as. ahd. mhd. ,1
mnd. afries. ,1
mnd. ags.,1
mnd. ags. ,1
ags. as. ahd. nhd.,1
mnd. engl.,1
ags. asächs. ahd. ,1
mnd. md. ,1
mnd. mengl.,1
mnd. mengl. ,1
ags. engl. ,1
ags. engl. afries. asächs.,1
ags. mhd. ,1
mnd. mnl. ,1
ags. mnd.,1
mnd. nd. ,1
mnd. nd. ags. ,1
mnd. nd. nhd. ,1
mnd. ndl. ,1
mnd. nhd.,1
ags. mnd. ahd. ,1
mnd. nhd. dial. ,1
mnd. nnd.,1
ags. mnd. ahd. aisl.,1
mnd. norw.,1
mnd. westfäl. ,1
mndd. ndl.,1
ahd. (bair.) ,1
ahd. ags. aisl. ,1
mndl. holl. ,1
mndl. mengl.,1
mndl. mnd.,1
ahd. ags. anord.,1
mndl. ndd.,1
mndl. nndl. ,1
mnl. hess.,1
ahd. aisl. ,1
mnl. mnd. ,1
mnl. nnd.,1
mnl. nnl.,1
mp. np. ,1
mpers. np. ,1
mpers. npers.,1
mpers. npers. ,1
mys.-phryg. ,1
nbret. corn.,1
ncorn. bret.,1
ahd. anord. ,1
ahd. as. afries.,1
acorn. bret.,1
nd. nl.,1
nd. nl. ,1
nd. ostfries ndl. ,1
ndd. mengl.,1
ndd. ndl. ,1
ahd. as. ags. aksl. ,1
ahd. as. aisl. ,1
ndl. ndd. fries.,1
ndl. nhd. ,1
nhd. (bair.) alem.,1
nhd. (eig. nd.) mnd. mengl. ,1
ahd. as. anord. ,1
ahd. as. mhd.,1
nhd. (süddt.) ,1
ahd. asächs.,1
nhd. bair. schweiz.,1
nhd. bair. schweiz. ,1
nhd. fränk.,1
ahd. asächs. ,1
ahd. bair. ,1
nhd. mnd.,1
ahd. mhd. as.,1
nhd. nl. ,1
nhd. obd. ,1
nhd. schwäb.,1
ahd. mhd. as. mnd. aisl. ags.,1
nhd. steir.,1
nhd. südd.,1
ahd. mhd. nhd.,1
nhd. westfäl.,1
nhd. westfäl. ,1
nhd.-bair.-österr.,1
nir. cymr.,1
nisl. norw.,1
nisl. norw. ,1
nld. ndd.,1
norw. (mnd.) ,1
norw. dial. schwed. dial.,1
ahd. ndd. ,1
ahd. nhd. as. ags.,1
norw. isl. ,1
norw. nisl.,1
norw. nisl. ,1
norw. schw. ,1
ai. av. ,1
norw. schwed. dial. ,1
norw. schwed. dän.,1
norw. schwed. mdartl. ,1
ai. av. ap.,1
nsloven. russ. poln. ,1
osk. päl. ,1
ai. av. apers.,1
osk. umbr. ,1
ai. ved. ,1
ostfries. holl. ,1
ostfries. ndl.,1
ostfries. ndl. ,1
poln. kaschub.,1
poln. klr. ,1
air. abret. ,1
poln. russ. ,1
poln. čech.,1
air. acymr.,1
preuß.-lett. ,1
prov. katal.,1
päl. umbr. ,1
russ. dial. čech.,1
russ. klr.,1
russ. ksl.,1
air. cymr.,1
russ. poln.,1
russ. poln. ,1
russ. poln. čech.,1
russ. skr. ,1
russ. čech,1
air. cymr. bret. ,1
air. mcymr. ,1
aisl. ags. ahd. ,1
russ.-serb.-ksl.,1
sabin.-lat.,1
aisl. ags. as. ,1
aisl. ahd. ags. ,1
schwed. isl. norw.,1
aisl. as. ,1
schwed. norw. dial.,1
aisl. aschw. ,1
schwäb.-alem.,1
serb ksl. ,1
serb. bulg. ,1
serb. ksl.,1
aisl. norw. ,1
aisl. schw. ,1
skr. slov. čech.,1
skr. čak. ,1
aisl.-ags. ,1
aksl.  aruss.,1
slav. abg. ,1
sloven. skr. čech.,1
spätmhd. nhd.,1
sylt. fries.,1
thrak.-phryg.,1
aksl. lit.,1
tirol.-kärnt.,1
toch A,1
aksl. russ.,1
alb. gr.,1
alb. sizil.,1
an. as. ,1
toch. AВ,1
anord. ags.,1
anord. ags. ahd.,1
anord. as. ags.,1
toch. АB,1
anord. aschwed. and. ,1
apr. lit. lett.,1
arg.-böot.,1
afries. ags. as. ahd.,1
thrak.-phryg. ,1
äol. böot. lokr. dor. ark. ,1
äol. hom. ,1
äol. ion.,1
äol. lakon.,1
ark. dor.,1
čech. apoln. ,1
ark. dor. ,1
ark. el.,1
ark. kypr. lesb. thess.,1
čech. russ.,1
čech. russ. ,1
čech. slov.,1
čech. slov. ,1
čech.-mähr.,1
tosk. geg.,1
