lemma_id,lang,lemma,sense_num,type,orthography,ipa,pos,gender,etymology,entry,entry_str,gloss,sense_id,h_number,parent_h_number,lemma_normalized,lemma_translit
1263,OCS,нагость,\N,main,нагость,\N,n.,\N,From нагъ (nagŭ) + -ость (-ostĭ).,"<div class=""oldchurchslavonic bodytext"">nudity</div>",nudity,nudity,\N,\N,\N,нагость,nagostĭ
1264,OCS,боуѥсть,\N,main,боуѥсть,\N,n.,\N,From боуи (bui) + -ость (-ostĭ).,"<div class=""oldchurchslavonic bodytext"">stupidity, ignorance, thoughtlessness</div>","stupidity, ignorance, thoughtlessness","stupidity, ignorance, thoughtlessness",\N,\N,\N,боуѥсть,bujestĭ
1265,OCS,боуи,\N,main,боуи,\N,adj.,\N,\N,"<div class=""oldchurchslavonic bodytext"">stupid</div>",stupid,stupid,\N,\N,\N,боуи,bui
1266,OCS,мьдлость,\N,main,мьдлость,\N,n.,\N,"From мьдлъ (mĭdlŭ) + -ость (-ostĭ), from Proto-Slavic *mъdьlь.","<div class=""oldchurchslavonic bodytext"">sluggishness, slowness</div>","sluggishness, slowness","sluggishness, slowness",\N,\N,\N,мьдлость,mĭdlostĭ
1266,OCS,мьдлость,2,sense,мьдлость,\N,\N,\N,\N,"<div class=""oldchurchslavonic bodytext"">laziness</div>",laziness,laziness,568,n1266.0,\N,мьдлость,\N
1267,OCS,бъдрость,\N,main,бъдрость,\N,n.,\N,"From Proto-Slavic *bъdrostь, from *bъ̀drъ (“alert, cheerful”) + *-ostь. Equivalent to бъдръ (bŭdrŭ) + -ость (-ostĭ).","<div class=""oldchurchslavonic bodytext"">briskness</div>",briskness,briskness,\N,\N,\N,бъдрость,bŭdrostĭ
1268,OCS,мръзость,\N,main,мръзость,\N,n.,\N,From мръзъкъ (mrŭzŭkŭ) + -ость (-ostĭ).,"<div class=""oldchurchslavonic bodytext"">abomination</div>",abomination,abomination,\N,\N,\N,мръзость,mrŭzostĭ
1269,OCS,мръзъкъ,\N,main,мръзъкъ,\N,adj.,\N,\N,"<div class=""oldchurchslavonic bodytext"">abominable</div>",abominable,abominable,\N,\N,\N,мръзъкъ,mrŭzŭkŭ
1270,OCS,мрьтвост,\N,main,мрьтвост,\N,n.,\N,\N,"<div class=""oldchurchslavonic bodytext"">dying</div>",dying,dying,\N,\N,\N,мрьтвост,mrĭtvost
1271,OCS,милость,\N,main,милость,\N,n.,\N,"From милъ (milŭ) + -ость (-ostĭ), from Proto-Slavic *milostь.","<div class=""oldchurchslavonic bodytext"">mercy</div>",mercy,mercy,\N,\N,\N,милость,milostĭ
