global_index,file_part,entry_uid,entry_id,headword,pos,gender,page_start,page_end,senses_json,translations_json,etymologies_json,citations_json,biblio_json,gramgrp_json,xrefs_json,has_sense,has_tr,has_etym,has_cit,has_xref,sense_count,tr_count,etym_count,cit_count
49644,10,1,n49644,Ιι,,τό,,,"[""The ι'subscript' of modern texts was said προσγράφεσθαι, cf. D.T. 639.14 , A.D. Pron. 87.10 , Ael.Dion. Fr. 192 (also τὸ ληιστής(disyll.) . .ἔχει προσκείμενον τὸ ῑ Hdn.Gr. 2.946 ), and this mode of writing is found in Papyri, Inscrr., and some medieval Mss. (e.g. cod. A of Plato, saec. ix, which has τῶι = τῷ , etc.); the present mode is found as early as the tenth century, and came into use in the thirteenth. This ι was prob. always pronounced up to ca. 150 B.C., but thereafter dropped in pronunciation, cf. D.T. l.c.; hence called ι ἀνεκφώνητον Choerob. in Theod. 1.143 and freq. omitted in Pap. and Inscrr. (cf. Epigr. ap. Str. 14.1.41 ,= SIG 766 ), later freq. restored in writing, sts. in the wrong place (v.ῥάθυμος). From ca. 150 B.C. (at Argos from ca. 450 B.C.,v. SIG 56.13 )ει was pronounced ι and the sound is written indifferently ει or ι.""]",[],[],"[{""biblio"":"""",""quote"":""ι ἀνεκφώνητον""},{""biblio"":""Choerob. | in Theod. | 1.143"",""quote"":""ι ἀνεκφώνητον Choerob. in Theod. 1.143""}]","[""Choerob. | in Theod. | 1.143""]",{},"[{""type"":""ref"",""target"":"""",""text"":""τῷ""},{""type"":"""",""target"":"""",""text"":""= τῷ""}]",1,0,0,1,1,1,0,0,2
49645,10,2,n49645,θωρᾱκο-ί,,,,,"[""iota demonstrativum, in familiar Att. (not in Trag.), is attached to demonstr. Prons., to strengthen their force, and as it were point out the individual, as οὑτοσί, αὑτηί̈, τουτί, ἐκεινοσί, ὁδί, ταδί, τοσουτονί, τοσονδί, τυννουτοσί, etc.; also with the Particles γε δέ μέν inserted, as τουτογί, τουτοδί, ταυτηνδί, τῃδεδί, τουτουμενί, for τουτί γε, ταυτηνὶ δέ, etc.: also to demonstr. Advs., as οὑτωσί, ὡδί, ἐνθαδί, δευρί, νυνί, and νυνδί for νυνὶ δέ.—Of these forms, such as end in σί are sts. written in codd. with ν ἐφελκυστικόν before a vowel, as οὑτοσίν, ἐκεινοσίν, οὑτωσίν, etc.: such forms are recognized by A.D. Pron. 59.24 , 82.11 , but are not found in best codd., e.g. of Pl. and D. [ῑ with the acute accent; along vowel or diphthong before it is shortd., as αὑτη̆ί, οὑτοῐί.]""]","[""iota demonstrativum""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
49646,10,3,n49646,ἵ,,,,,"[""sui(q.v.), S. Fr. 471 , cj. Wackernagel in Il. 24.608 , Bekk. in Pl. Smp. 175c , 223d : dat.ἵν αὐτῷ,sibi ipsi, Hes. Fr. 11 ;ἱν(enclit.) prob. in Pi. P. 4.36 ; ϝὶν αὐτῷ Leg.Gort. 2.40 . [ῑ S. l.c.,ῐν Pi. l.c.]""]","[""sui"",""sibi ipsi""]",[],"[{""biblio"":"""",""quote"":""ϝὶν αὐτῷ""},{""biblio"":""Leg.Gort. | 2.40"",""quote"":""ϝὶν αὐτῷ Leg.Gort. 2.40""}]","[""Leg.Gort. | 2.40""]",{},[],1,1,0,1,0,1,2,0,2
49647,10,4,n49647,ἷ,,,,,"[""ἷ, Argive,=εἷ, SIG 56.29 (V B.C.), Schwyzer 90.12 ,al., 91.31 (iii B.C.).""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
49648,10,5,n49648,ἴ,,,,,"[""or, before a vowel, Inscr.Cypr. 135.24H.""]","[""or""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
49649,10,6,n49649,ἰά,,ἡ,,,"[""voice, cry, Orac. ap. Hdt. 1.85 , A. Pers. 937 (lyr.); σύριγγος ἰά E. Rh. 553 (lyr.).""]","[""voice, cry""]",[],"[{""biblio"":"""",""quote"":""σύριγγος ἰά""},{""biblio"":""E. | Rh. | 553"",""quote"":""σύριγγος ἰά E. Rh. 553""}]","[""E. | Rh. | 553""]",{},[],1,1,0,1,0,1,1,0,2
49650,10,7,n49650,ἴᾰ,,,,,"[""one, v. εἷς .""]","[""one""]",[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""εἷς""},{""type"":"""",""target"":"""",""text"":""v. εἷς""}]",1,1,0,0,1,1,1,0,0
49651,10,8,n49651,ἰά,,τά,,,"[""arrow, Il. 20.68 .""]","[""arrow""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
49652,10,9,n49652,ἴα,,τά,,,"[""violet, h.Cer. 6 .""]","[""violet,""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
49653,10,10,n49653,ἰάζω,,,,,"[""= ἰωνίζω , Dicaearch. 3.2 , A.D. Adv. 134.31 , Hermog<*> Id. 2.4 .""]",[],"[""Ἰάς""]",[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""ἰωνίζω""},{""type"":"""",""target"":"""",""text"":""= ἰωνίζω""}]",1,0,1,0,1,1,0,1,0
