"9371","idbart","sacrifice, alms","6289","idbart","verbal noun of ad·opair","verbal noun of ad·opair"
"9392","brí","hill, elevation","1694","brí","hill","hill"
"9486","buide","thanks, recognition","1762","buide","yellow","yellow"
"9486","buide","thanks, recognition","1763","buide","yellowness","yellowness"
"9486","buide","thanks, recognition","1764","buide","thanks","thanks"
"9553","bráthre","brother","4326","bráthre","alternative spelling of bráithre","alternative spelling of bráithre"
"9675","indeb","gain, wealth","4090","indeb","wealth","wealth"
"9679","subae","joy","2631","subae","joy, pleasure, happiness, merriment","joy, pleasure, happiness, merriment"
"9680","dubae","sorrow","2635","dubae","gloom, grief","gloom, grief"
"9680","dubae","sorrow","2636","dubae","genitive singular feminine of dub","genitive singular feminine of dub"
"9808","both","being","55","both","alternative form of buith","alternative form of buith"
"9808","both","being","56","both","preterite passive conjunct of at·tá","preterite passive conjunct of at·tá"
"9809","buith","being","5171","buith","verbal noun of at·tá","verbal noun of at·tá"
"9811","both","hut","55","both","alternative form of buith","alternative form of buith"
"9811","both","hut","56","both","preterite passive conjunct of at·tá","preterite passive conjunct of at·tá"
"9950","dán","(divine) gift, (artistic) talent, science, (poetic) art, poem","540","dán","gift","gift"
"10207","día","day","88","dia","of/from his/her/its/their","of/from his/her/its/their"
"10207","día","day","89","dia","of/from whom/which","of/from whom/which"
"10207","día","day","90","dia","when","(with preterite) when"
"10207","día","day","91","dia","to/for his/her/its/their","to/for his/her/its/their"
"10207","día","day","92","dia","to/for whom/which","to/for whom/which"
"10207","día","day","93","dia","alternative spelling of día (“god”)","alternative spelling of día (“god”)"
"10207","día","day","96","día","day","day"
"10207","día","day","97","día","god","god"
"10207","día","day","570","Dia","alternative spelling of Día","alternative spelling of Día"
"10207","día","day","2872","Día","God","(Christianity) God"
"10208","dé","day","6","de","alternative form of di (“of, from”)","alternative form of di (“of, from”)"
"10208","dé","day","7","de","third-person singular masculine/neuter of di (“of, from”)","third-person singular masculine/neuter of di (“of, from”)"
"10208","dé","day","641","dé","smoke","smoke"
"10208","dé","day","642","dé","inflection of día (“god”):","inflection of día (“god”):; vocative/genitive singular"
"10208","dé","day","643","dé","alternative spelling of de: third-person singular masculine of di (“of, from”)","alternative spelling of de: third-person singular masculine of di (“of, from”)"
"10208","dé","day","1103","De","alternative spelling of Dé","alternative spelling of Dé"
"10208","dé","day","2356","Dé","vocative/genitive singular of Día (“God”)","vocative/genitive singular of Día (“God”)"
"10215","indiu","today","1296","indiu","today","today"
"10299","día","god","88","dia","of/from his/her/its/their","of/from his/her/its/their"
"10299","día","god","89","dia","of/from whom/which","of/from whom/which"
"10299","día","god","90","dia","when","(with preterite) when"
"10299","día","god","91","dia","to/for his/her/its/their","to/for his/her/its/their"
"10299","día","god","92","dia","to/for whom/which","to/for whom/which"
"10299","día","god","93","dia","alternative spelling of día (“god”)","alternative spelling of día (“god”)"
"10299","día","god","96","día","day","day"
"10299","día","god","97","día","god","god"
"10299","día","god","570","Dia","alternative spelling of Día","alternative spelling of Día"
"10299","día","god","2872","Día","God","(Christianity) God"
"10300","dé","god","6","de","alternative form of di (“of, from”)","alternative form of di (“of, from”)"
"10300","dé","god","7","de","third-person singular masculine/neuter of di (“of, from”)","third-person singular masculine/neuter of di (“of, from”)"
"10300","dé","god","641","dé","smoke","smoke"
"10300","dé","god","642","dé","inflection of día (“god”):","inflection of día (“god”):; vocative/genitive singular"
"10300","dé","god","643","dé","alternative spelling of de: third-person singular masculine of di (“of, from”)","alternative spelling of de: third-person singular masculine of di (“of, from”)"
"10300","dé","god","1103","De","alternative spelling of Dé","alternative spelling of Dé"
"10300","dé","god","2356","Dé","vocative/genitive singular of Día (“God”)","vocative/genitive singular of Día (“God”)"
"10407","dul","going","483","dul","verbal noun of téit","verbal noun of téit"
"10475","dú","place, spot","134","du","alternative form of do","alternative form of do"
"10475","dú","place, spot","933","dú","place, spot","place, spot"
"10476","don","place, spot","233","don","of/from the sg","of/from the sg"
"10476","don","place, spot","234","don","to/for the sg","to/for the sg"
"10476","don","place, spot","235","don","misfortune, evil","misfortune, evil"
"10477","dú","place, spot","134","du","alternative form of do","alternative form of do"
"10477","dú","place, spot","933","dú","place, spot","place, spot"
"10539","duine","human, person","732","duine","person, human being","person, human being"
"10598","tegdais","house, building","4686","tegdais","house","house"
"10701","dath","color, dye, luster","746","dath","colour","colour"
"10782","dál","meeting, assembly, court, trial, judgment, debate etc.","1195","dál","part, share","part, share"
"10782","dál","meeting, assembly, court, trial, judgment, debate etc.","1196","dál","meeting, encounter","meeting, encounter"
"10782","dál","meeting, assembly, court, trial, judgment, debate etc.","1197","dál","distribution, dispensing","distribution, dispensing"
"10782","dál","meeting, assembly, court, trial, judgment, debate etc.","1198","dál","third-person singular preterite conjunct of dáilid","third-person singular preterite conjunct of dáilid"
"10898","dub","black; dark","62","dub","black","black"
"10898","dub","black; dark","63","dub","black pigment, ink","black pigment, ink"
"10920","domun","world","1839","domun","the world, the Earth","the world, the Earth"
"10921","domain","deep","143","domain","deep","deep"
"11001","der","daughter, girl","1306","dér","tear, teardrop (from the eyes)","tear, teardrop (from the eyes)"
"11001","der","daughter, girl","1307","dér","third-person singular future/present subjunctive prototonic of do·éirig","third-person singular future/present subjunctive prototonic of do·éirig"
"11002","dar","daughter, girl","31","dar","alternative form of tar","alternative form of tar"
"11105","dorus","door","828","dorus","door","door"
"11106","doirseo","door","2003","doirseo","genitive singular of dorus","genitive singular of dorus"
"11265","ingen","daughter","664","ingen","daughter","daughter"
"11265","ingen","daughter","665","ingen","nail (fingernail, toenail)","nail (fingernail, toenail)"
"11311","aicned","nature, essence; feeling, spirit, mind","2142","aicned","inherent quality, essence, nature","inherent quality, essence, nature"
"11322","gein","birth","1636","gein","verbal noun of gainithir","verbal noun of gainithir"
"11408","gnáth","known, customary, usual","1666","gnáth","customary","customary"
"11408","gnáth","known, customary, usual","1667","gnáth","intimates, familiar friends","(in the plural) intimates, familiar friends"
"11409","ingnad","foreign","5943","ingnad","strange, unusual, unfamiliar","strange, unusual, unfamiliar"
"11660","bé","woman","18","be","second-person singular present subjunctive of is","second-person singular present subjunctive of is"
"11660","bé","woman","873","bé","woman","(poetic) woman"
"11660","bé","woman","874","bé","second/third-person singular present subjunctive conjunct of at·tá","second/third-person singular present subjunctive conjunct of at·tá"
"11661","bein",\N,"630","bein","accusative singular of ben","accusative singular of ben"
"11662","ban",\N,"68","ban","genitive dual/plural of ben","genitive dual/plural of ben"
"11662","ban",\N,"69","ban","first-person plural imperative of is","first-person plural imperative of is"
"11662","ban",\N,"525","bán","white","white"
"11681","mná","of the woman","463","mná","inflection of ben:","inflection of ben:; genitive singular"
"11682","mnaí","woman","4033","mnaí","inflection of ben:","inflection of ben:; accusative/dative singular"
"11683","mná","woman","463","mná","inflection of ben:","inflection of ben:; genitive singular"
"11697","ben",\N,"75","ben","woman","woman"
"11697","ben",\N,"76","ben","third-person singular present indicative conjunct of benaid","third-person singular present indicative conjunct of benaid"
"11697","ben",\N,"77","ben","second-person singular imperative of benaid","second-person singular imperative of benaid"
"11751","bith","world","472","bith","world","world"
"11751","bith","world","473","bith","inflection of is:","inflection of is:; third-person singular past subjunctive"
"11751","bith","world","474","bith","alternative spelling of bíth","alternative spelling of bíth"
"11751","bith","world","4521","bíth","verbal noun of benaid (“to strike”)","(archaic) verbal noun of benaid (“to strike”)"
"11751","bith","world","4522","bíth","inflection of at·tá:","inflection of at·tá:; third-person singular habitual present"
"11801","bïad","food, meal","121","biad","older form of bíad","older form of bíad"
