lemma_id,lemma,sense_num,type,orthography,ipa,pos,gender,etymology,entry,entry_str,gloss
22,Kiribati,\N,main,Kiribãti,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">vocative of Kiribãtis</div>",vocative of Kiribãtis,vocative of Kiribãtis
23,Malta,1,main,Málta,[ˈmɑˑltɐ],n.,f.,\N,"<div class=""lithuanian bodytext"">Malta (an archipelago and country in Southern Europe, in the Mediterranean Sea; official name: Máltos Respùblika)</div>","Malta (an archipelago and country in Southern Europe, in the Mediterranean Sea; official name: Máltos Respùblika)","Malta (an archipelago and country in Southern Europe, in the Mediterranean Sea; official name: Máltos Respùblika)"
23,Malta,2,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">Malta (the largest island in the Maltese Archipelago)</div>",Malta (the largest island in the Maltese Archipelago),Malta (the largest island in the Maltese Archipelago)
24,Nauru,\N,main,Naùru,[nɐˈʊrʊ],n.,m.,\N,"<div class=""lithuanian bodytext"">Nauru (a country and island of Oceania, in the Pacific Ocean; official name: Naùru Respùblika)</div>","Nauru (a country and island of Oceania, in the Pacific Ocean; official name: Naùru Respùblika)","Nauru (a country and island of Oceania, in the Pacific Ocean; official name: Naùru Respùblika)"
25,Panama,1,main,Panamà,[pɐnɐˈmɐ],n.,f.,Borrowed from Spanish Panamá.,"<div class=""lithuanian bodytext"">Panama (a country in Central America; official name: Panãmos Respùblika)</div>",Panama (a country in Central America; official name: Panãmos Respùblika),Panama (a country in Central America; official name: Panãmos Respùblika)
25,Panama,2,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">Panama City (the capital and largest city of Panama)</div>",Panama City (the capital and largest city of Panama),Panama City (the capital and largest city of Panama)
26,Peru,\N,main,Perù,[pʲɛˈrʊ],n.,m.,Borrowed from Spanish Perú.,"<div class=""lithuanian bodytext"">Peru (a country in South America; official name: Perù Respùblika)</div>",Peru (a country in South America; official name: Perù Respùblika),Peru (a country in South America; official name: Perù Respùblika)
27,Togo,\N,main,Tògo,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">genitive of Tògas</div>",genitive of Tògas,genitive of Tògas
28,Tonga,\N,main,Tònga,[ˈtɔŋɡɐ],n.,f.,Borrowed from Tongan Tonga.,"<div class=""lithuanian bodytext"">Tonga (a country and archipelago of Polynesia in Oceania; official name: Tòngos Karalỹstė)</div>",Tonga (a country and archipelago of Polynesia in Oceania; official name: Tòngos Karalỹstė),Tonga (a country and archipelago of Polynesia in Oceania; official name: Tòngos Karalỹstė)
29,Uganda,\N,main,no-table-tags,\N,n.,\N,"From Swahili Uganda (“Buganda, subnational kingdom”), from Luganda Buganda (“land of the Ganda”).","<div class=""lithuanian bodytext"">Uganda (a country in East Africa)</div>",Uganda (a country in East Africa),Uganda (a country in East Africa)
30,Vanuatu,\N,main,Vanuãtu,[ʋɐnʊˈɑːtʊ],n.,m.,Borrowed from Bislama Vanuatu.,"<div class=""lithuanian bodytext"">Vanuatu (a country and archipelago of Melanesia in Oceania; official name: Vanuãtu Respùblika)</div>",Vanuatu (a country and archipelago of Melanesia in Oceania; official name: Vanuãtu Respùblika),Vanuatu (a country and archipelago of Melanesia in Oceania; official name: Vanuãtu Respùblika)
31,Tuvalu,\N,main,Tuvãlu,[tʊˈʋɑːlʊ],n.,m.,\N,"<div class=""lithuanian bodytext"">Tuvalu (a country and archipelago of Polynesia in Oceania)</div>",Tuvalu (a country and archipelago of Polynesia in Oceania),Tuvalu (a country and archipelago of Polynesia in Oceania)
32,banko,\N,main,\N,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">genitive singular of bankas</div>",genitive singular of bankas,genitive singular of bankas
33,Palau,\N,main,Paláu,[pɐˈlɑˑʊ],n.,m.,Ultimately from Palauan Belau (“Palau”).,"<div class=""lithuanian bodytext"">Palau (a country consisting of around 340 islands in Micronesia, in Oceania; official name: Paláu Respùblika)</div>","Palau (a country consisting of around 340 islands in Micronesia, in Oceania; official name: Paláu Respùblika)","Palau (a country consisting of around 340 islands in Micronesia, in Oceania; official name: Paláu Respùblika)"
34,Moldova,\N,main,Moldovà,[mɔldɔˈʋɐ],n.,f.,Borrowed from Romanian Moldova.,"<div class=""lithuanian bodytext"">Moldova (a country in Eastern Europe; official name: Moldòvos Respùblika)</div>",Moldova (a country in Eastern Europe; official name: Moldòvos Respùblika),Moldova (a country in Eastern Europe; official name: Moldòvos Respùblika)
35,Samoa,\N,main,Samòa,[sɐˈmɔ.ɐ],n.,f.,Borrowed from Samoan Sāmoa.,"<div class=""lithuanian bodytext"">Samoa (a country consisting of the western part of the Samoan archipelago in Polynesia, in Oceania; official name: Samòa Nepriklaũsomoji Valstýbė)</div>","Samoa (a country consisting of the western part of the Samoan archipelago in Polynesia, in Oceania; official name: Samòa Nepriklaũsomoji Valstýbė)","Samoa (a country consisting of the western part of the Samoan archipelago in Polynesia, in Oceania; official name: Samòa Nepriklaũsomoji Valstýbė)"
36,Grenada,\N,main,Grenadà,[ɡrʲɛnɐˈdɐ],n.,f.,\N,"<div class=""lithuanian bodytext"">Grenada (an island and country in the Caribbean)</div>",Grenada (an island and country in the Caribbean),Grenada (an island and country in the Caribbean)
37,dar,1,main,dár,/dar/,adv.,\N,"Cognate with Lithuanian dabar (“now”), Armenian դեռ (deṙ, “still, yet”), Proto-Slavic *dobrъ (“good, suitable”).","<div class=""lithuanian bodytext"">yet; still</div>",yet; still,yet; still
37,dar,2,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">some more; still more</div>",some more; still more,some more; still more
37,dar,3,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">else, if not (often or ever followed by subjunctive)</div>","else, if not (often or ever followed by subjunctive)","else, if not (often or ever followed by subjunctive)"
37,dar,4,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">expresses discontent</div>",expresses discontent,expresses discontent
38,dar,\N,main,\N,/dar/,conj.,\N,"Cognate with Lithuanian dabar (“now”), Armenian դեռ (deṙ, “still, yet”), Proto-Slavic *dobrъ (“good, suitable”).","<div class=""lithuanian bodytext"">yet; still</div>",yet; still,yet; still
39,to,\N,main,\N,\N,pron.,\N,\N,"<div class=""lithuanian bodytext"">that; genitive singular masculine of tas</div>",that; genitive singular masculine of tas,that; genitive singular masculine of tas
40,ate,\N,main,atia,\N,interj.,\N,"Etymology unclear. Compare Latvian atā. The word may not be very old, and may ultimately derive from French adieu, via a Slavic intermediary.","<div class=""lithuanian bodytext"">(informal) goodbye, ta-ta</div>","(informal) goodbye, ta-ta","goodbye, ta-ta"
41,bongo,\N,main,\N,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">genitive singular of bongas (“bong”)</div>",genitive singular of bongas (“bong”),genitive singular of bongas (“bong”)
42,ant,\N,main,añt,[ɐnt],prep.,\N,"Inherited from Old Lithuanian añt, from Proto-Indo-European *h₂en-t. Compare Sudovian an.","<div class=""lithuanian bodytext"">on</div>",on,on
43,pupa,\N,main,pupà,\N,n.,f.,"Cognate with Latvian pupa (“bean”), from a sound-symbolic root Baltic root (see also Latvian paupt (“to swell”)) of seemingly similar formation logic to Proto-Slavic *bòbъ (“bean”).","<div class=""lithuanian bodytext"">bean, legume</div>","bean, legume","bean, legume"
44,pajamas,\N,main,pãjamas,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">accusative of pãjamos (“income”)</div>",accusative of pãjamos (“income”),accusative of pãjamos (“income”)
45,bei,\N,main,bei̇̃,\N,conj.,\N,"According to Fraenkel, from bè (“and”) + particle -i(d).","<div class=""lithuanian bodytext"">and (used to link words, not phrases, that are very similar in meaning)</div>","and (used to link words, not phrases, that are very similar in meaning)","and (used to link words, not phrases, that are very similar in meaning)"
46,ai,1,main,ái!,\N,interj.,\N,"Compare Russian ой (oj, “ow!”).","<div class=""lithuanian bodytext"">ow!, ah!, (expresses pain, fear or surprise)</div>","ow!, ah!, (expresses pain, fear or surprise)","ow!, ah!, (expresses pain, fear or surprise)"
46,ai,2,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">oi!, hey! (used to attract someone's attention)</div>","oi!, hey! (used to attract someone's attention)","oi!, hey! (used to attract someone's attention)"
47,ba,1,main,bà,\N,conj.,\N,"According to Derksen, inherited from Proto-Balto-Slavic *ba (“for”), but Smoczyński thinks that it is borrowed from Belarusian бо (bo) and Polish bo instead","<div class=""lithuanian bodytext"">or</div>",or,or
47,ba,2,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">because</div>",because,because
48,baik,\N,main,\N,\N,v.,\N,\N,"<div class=""lithuanian bodytext"">second-person singular imperative of baigti</div>",second-person singular imperative of baigti,second-person singular imperative of baigti
49,NT,\N,main,\N,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">initialism of nekilnojamasis turtas</div>",initialism of nekilnojamasis turtas,initialism of nekilnojamasis turtas
50,ES,\N,main,\N,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">initialism of Europos Sąjunga (“European Union”)</div>",initialism of Europos Sąjunga (“European Union”),initialism of Europos Sąjunga (“European Union”)
51,AB,\N,main,\N,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">initialism of akcinė bendrovė</div>",initialism of akcinė bendrovė,initialism of akcinė bendrovė
52,bite,\N,main,bitè,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">instrumental singular of bi̇̀tė (“bee”)</div>",instrumental singular of bi̇̀tė (“bee”),instrumental singular of bi̇̀tė (“bee”)
53,bite,\N,main,bi̇̀te,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">instrumental singular of bi̇̀tė (“bee”)</div>",instrumental singular of bi̇̀tė (“bee”),instrumental singular of bi̇̀tė (“bee”)
54,kurwa,\N,main,\N,\N,interj.,\N,\N,"<div class=""lithuanian bodytext"">alternative form of kurva</div>",alternative form of kurva,alternative form of kurva
55,baru,\N,main,\N,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">instrumental singular of baras</div>",instrumental singular of baras,instrumental singular of baras
56,mama,\N,main,mamà,\N,n.,f.,"A nursery word. From Proto-Balto-Slavic *mā́ˀmāˀ, from Proto-Indo-European *méh₂-méh₂, a reduplication of *méh₂- - the root of *méh₂tēr (“mother”).\nCognate with Proto-Slavic *mama, German Muhme (“aunt”), Latin mamma (“mother, nurse”), Irish mam (“mother”) among others.","<div class=""lithuanian bodytext"">mother</div>",mother,mother
57,ilk,\N,main,i̇̀lk,[ˈɪɫkʰ],v.,\N,\N,"<div class=""lithuanian bodytext"">second-person singular imperative of ilgti</div>",second-person singular imperative of ilgti,second-person singular imperative of ilgti
58,bent,\N,main,\N,\N,adv.,\N,\N,"<div class=""lithuanian bodytext"">at least</div>",at least,at least
59,bet,\N,main,bèt,/bʲɛt/,conj.,\N,"From bè (“without”) + a particle -t of indeterminate origin. This particle may come from tè (“let, may it be”); compare nèt (“even”) < nete. Cognate with Latvian bet.","<div class=""lithuanian bodytext"">(adversative) but, yet, though (introduces an idea contrary to or a concession to the previous statement)</div>","(adversative) but, yet, though (introduces an idea contrary to or a concession to the previous statement)","but, yet, though (introduces an idea contrary to or a concession to the previous statement)"
60,bet,\N,main,\N,/bʲɛt/,particle,\N,"From bè (“without”) + a particle -t of indeterminate origin. This particle may come from tè (“let, may it be”); compare nèt (“even”) < nete. Cognate with Latvian bet.","<div class=""lithuanian bodytext"">(in conjunction with interrogative words) any-, -ever (suggesting the complement is not important or irrelevant)</div>","(in conjunction with interrogative words) any-, -ever (suggesting the complement is not important or irrelevant)","any-, -ever (suggesting the complement is not important or irrelevant)"
61,abato,\N,main,abãto,[ɐˈbaː.toː],n.,m.,\N,"<div class=""lithuanian bodytext"">genitive singular of abatas</div>",genitive singular of abatas,genitive singular of abatas
62,ir,1,main,ir̃,/ir/,conj.,\N,"From Proto-Balto-Slavic *ir (“and, also”), compare Latvian ir, Old Prussian ir (“and, even”), from Proto-Indo-European *h₂r̥- (“thus, so”); compare Ancient Greek ἄρα (ára, “so, then, consequently”). If the original meaning was ""fittingly, accordingly"", the root may be identical to *h₂er- (“fit together”), see arti̇̀ (“near”) for more.\nProto-Slavic *i (“and, even”) is probably not related.","<div class=""lithuanian bodytext"">(coordinating, cumulative) and, too</div>","(coordinating, cumulative) and, too","and, too"
62,ir,2,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">(coordinating, illative) and, so</div>","(coordinating, illative) and, so","and, so"
62,ir,3,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">(coordinating, correlative) both … and …</div>","(coordinating, correlative) both … and …",both … and …
63,ir,1,main,ir̃,/ir/,particle,\N,"From Proto-Balto-Slavic *ir (“and, also”), compare Latvian ir, Old Prussian ir (“and, even”), from Proto-Indo-European *h₂r̥- (“thus, so”); compare Ancient Greek ἄρα (ára, “so, then, consequently”). If the original meaning was ""fittingly, accordingly"", the root may be identical to *h₂er- (“fit together”), see arti̇̀ (“near”) for more.\nProto-Slavic *i (“and, even”) is probably not related.","<div class=""lithuanian bodytext"">(emphatic) even, and</div>","(emphatic) even, and","even, and"
63,ir,2,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">(emphatic) exactly, just, precisely</div>","(emphatic) exactly, just, precisely","exactly, just, precisely"
