lemma_id,lemma,sense_id,sense_entry,proposed_resolved_meaning
159497,vaihāyasa (वैहायस),66582,"vaihāyasa (वैहायस)   n. flying in the air, BhP. (-gata (-गत) n. id., R.)","the air, atmosphere, MBh."
161289,vraṇ (व्रण्),67362,"2. vraṇ (व्रण्)   (rather Nom. fr. vraṇa (व्रण) below) cl. 1. P. vraṇati (व्रणति), to wound, Suśr.;  cl. 10. P. (Dhātup. xxxv, 82) vraṇayati (व्रणयति) id., Kāv.; Kathās. &amp;c.","1. vraṇ (व्रण्)   (also written braṇ (ब्रण्)) cl. 1. P. vraṇati (व्रणति), to sound, Dhātup. xiii, 8."
175237,sajyotis (सज्योतिस्),72896,"sa—jyotis (स—ज्योतिस्)   ind. according to the light (i.e. either by day from the disappearance of the stars till sunset, or by night from sunset till the appearance of the stars), Mn. iv, 106; v, 82 (°tiṣi (°तिषि) id., Gaut. ii, 11)","sa—jyotis (स—ज्योतिस्)   ind. according to the light (i.e. either by day from the disappearance of the stars till sunset, or by night from sunset till the appearance of the stars), Mn. iv, 106; v, 82 (°tiṣi (°तिषि) id., Gaut. ii, 11)"
177549,saṃnidhi (संनिधि),73876,"juxtaposition, nearness, vicinity, presence (au (औ), with gen. or ifc., ‘in the presence of, near’; im (इम्), ‘near to, towards’; id., with √ kṛ (कृ), vi-√ dhā (वि-√ धा) or √ bandh (बन्ध्) and loc., ‘to take one's seat or place or abode in’), ĀśvŚr.; Mn.; MBh. &amp;c.","depositing together or near, KātyŚr.; Sāh."
179834,samaya (समय),74642,"coming to a mutual understanding, agreement, compact, covenant, treaty, contract, arrangement, engagement, stipulation, conditions of agreement, terms (ena (एन) or āt (आत्) or -tas (-तस्), ‘according to agreement, conditionally’; tena samayena (तेन समयेन), ‘in consequence of this agreement’; samayaṃ (समयं) acc. with √ kṛ (कृ), ‘to make an agreement or engagement’, ‘agree with any one [instr. with or without saha (सह)]’, ‘settle’, ‘stipulate’; with sam√ vad (सम्√ वद्) id.; with √ dā (दा), ‘to propose an agreement, offer terms’; with √ brū (ब्रू) or √ vac (वच्) or abhi-√ dhā (अभि-√ धा), ‘to state the terms of an agr°’, ‘make a promise’; with √ grah (ग्रह्) or prati-√ pad (प्रति-√ पद्), ‘to enter into an agr°’, ‘make or accept conditions of an agr°’; with √ pāl (पाल्), or √ rakṣ (रक्ष्) or pari-√ rakṣ (परि-√ रक्ष्) &amp;c., ‘to keep an agr°’, ‘keep one's word’; with √ tyaj (त्यज्) or √ bhid (भिद्) or vy-abhi-√ car (व्य्-अभि-√ चर्) &amp;c., ‘to break an agr°’; abl. with √ bhraṃś (भ्रंश्) id.; loc. with √ sthā (स्था), ‘to keep an engagement’, ‘keep one's word’; acc. with Caus. of √ sthā (स्था) or of ni-√ viś (नि-√ विश्) ‘to fix or settle terms’, ‘impose conditions’), TS. &amp;c. &amp;c.","2. sam-aya (सम्-अय)   m. (ifc. f(ā (आ)). ) coming together, meeting or a place of meeting, AV.; ŚBr."
180717,sampāta (सम्पात),74960,"place of contact, point of intersection id., Gol. flight, swift descent, fall, MBh.; R. &amp;c.","(ifc. f(ā (आ)). ) flying or rushing together, collision, concussion, encounter with (saha (सह)), MBh.; Kāv. &amp;c."
181910,sarit (सरित्),75567,"°tām pati (°ताम् पति) id., an expression for the number ‘four’, RV. &amp;c. &amp;c.","a river, stream (saritā́ṃ varā (सरितां वरा॑), ‘best of rivers’), the Ganges"
191651,suṣira (सुषिर),79532,slow in articulation (= vilambita (विलम्बित)) id.,"slow in articulation (= vilambita (विलम्बित)), MW."
193391,sopadhāna (सोपधान),80218,"id. (and ‘possessing excellent qualities’), Śiś. ii, 77","paDAna   mfn. possessing a pillow, cushioned, ŚrS."
193442,sopāśraya (सोपाश्रय),80233,"so (सो)pASraya   n. (-niṣadana (-निषदन) n.) id., Sarvad.",pASraya   mfn. having a support
198103,svādman (स्वाद्मन्),82041,"svādmán (स्वाद्मन्)   (svā° (स्वा°)), n. id., dainty food or drink, ib.","sweetness, RV."
199727,harituraga (हरितुरग),82617,"N. of ī° (ई°) id., ib.","a horse of ī° (ई°), Bcar."
