lemma_id,lemma,sense_id,sense_entry,proposed_resolved_meaning
45779,kva (क्व),19513,"yatrá kva^-ca (यत्र क्व^-च) id., ŚBr.; ChUp.; Lāṭy.; BhP.","(fr. 1. ku (कु), Pāṇ. v, 3, 12; v, 2, 105) loc. of 2. ka (क) = kasmin (कस्मिन्), or katarasmin (कतरस्मिन्), Mn. x, 66 (kva śreyas-tvam (क्व श्रेयस्-त्वम्), in whom is the preference?), Kathās. lxxxiii, 36"
46303,kṣaya (क्षय),19722,"end, termination (e.g. nidrā-kṣ° (निद्रा-क्ष्°), the end of sleep, R. vi, 105, 14; dina-kṣaye (दिन-क्षये), at the end of day, MBh. i, 699; R. iv, 3, 10; jīvita-kṣaye (जीवित-क्षये), at the end of life, Daś.; āyuṣaḥ kṣ° (आयुषः क्ष्°) id., Ragh.; kṣayaṃ √ gam (क्षयं √ गम्), √ yā (या), √ i (इ), or upa√ i (उप√ इ), to become less, be diminished, go to destruction, come to an end, perish, Nal.; R.; Suśr.; VarBṛS.; Daś.; Amar.; Hit.; kṣayaṃ√ nī (क्षयं√ नी), to destroy, R. v, 36, 51)","3. kṣaya (क्षय)   (the accent is on the last syllable in the sense ‘destruction’, accord. to Pāṇ. iii, 3, 56 and vi, 1, 63.) m. (Pāṇ. vi, 1, 201) loss, waste, wane, diminution, destruction, decay, wasting or wearing away (often ifc.), Mn.; MBh. &amp;c."
49043,gandhamālya (गन्धमाल्य),20914,"gandha—mālya (गन्ध—माल्य)   n. pl. id., Mn. iii, 209; MBh. &amp;c. (ifc. f(ā (आ)). , Ragh. ii, 1)","du. fragrances and garlands, ChUp. viii, 2, 6"
49705,garbhāṣṭama (गर्भाष्टम),21300,"garbhā (गर्भा)zwama   mfn. with abda (अब्द) id., Mn. ii, 36; Yājñ.","zwama   m. the eighth month of uterine gestation, W."
50035,gāthānārāśaṃsī (गाथानाराशंसी),21459,"gāthā—nārāśaṃsī (गाथा—नाराशंसी)   f. pl. id., ŚBr. xi, 5, 6, 8 (cf. nārāśaṃsī (नाराशंसी).)","du. epic songs and particularly those in praise of men or heroes, MaitrS. i, 11, 5"
50182,gādha (गाध),21503,"gādha (गाध)   (as (अस्)), m. id., R. v, 94, 12","mf(ā (आ))n. (ifc. Pāṇ. vi, 2, 4) offering firm standing-ground, fordable (as a river), not very deep, shallow, KauṣBr. ii, 9; Nir.; MBh. &amp;c."
50604,guggulu (गुग्गुलु),21703,"guggúlu (गुग्गु॑लु)   m. id., Yājñ. i, 278; MBh. xiii; Suśr.; Bhpr.","(= gulg° (गुल्ग्°)) bdellium or the exudation of Amyris Agallochum (a fragrant gum resin, used as a perfume and medicament), AV. (called saindhava (सैन्धव) or samudriyá (समुद्रिय), ‘obtained near rivers or the sea’, xix, 38, 2), Kauś.; ĀśvŚr. xi, 6, 3"
50751,guṇadoṣa (गुणदोष),21799,"guṇa—doṣa (गुण—दोष)   n. sg. id., R. iii, 44, 8","du. virtue and vice, Mn."
50955,guda (गुद),21889,guda (गुद)   n. id.,"an intestine, entrail, rectum, anus, VS.; TS. vi; ŚBr. iii, viii; Kauś. &amp;c."
51765,goaśva (गोअश्व),22215,"go—aśva (गो—अश्व)   m. pl. id., ŚBr. xiv, 9, 1, 10 (cf. gavā (गवा)Sva.)","sg. cattle and horses, ChUp. vii, 24, 2"
52140,gomithuna (गोमिथुन),22402,"go—mithuna (गो—मिथुन)   m. du. id., ŚāṅkhŚr. iii, 14, 17.","sg. a bull and a cow, ĀśvGṛ.; Gobh.; Mn. iii"
55586,cara (चर),24096,"cara (चर)   mf(ī (ई))n. ifc. (Pāṇ. v, 3, 53 f.; vi, 3, 35 f.) having been formerly (e.g. āḍhya- (आढ्य-), devadatta- (देवदत्त-), qq.vv.; a-dṛṣṭa- (अ-दृष्ट-) or nadṛṣṭa- (नदृष्ट-), ‘not seen before’, Kathās. [once f. irr. ā (आ), lx, 58] Sarvad. iii, 16; vii, 19; an-ālokita- (अन्-आलोकित-) id., Bālar. iv, 54/55)","(g. pacā (पचा)di) moving, locomotive (as animals opposed to plants, or as the kharaṇa (खरṇअ)s in astrol.), VPrāt.; ŚvetUp. iii, 18; Mn. vii, 15; MBh. &amp;c."
56059,cātuṣprāśya (चातुष्प्राश्य),24342,"cātuṣprā (चातुष्प्रा)Sya/   m. (scil. odana (ओदन)) id., KātyŚr.; Lāṭy.","Sya/   mfn. (fr. catuṣ-prā (चतुष्-प्रा)Sa, Pāṇ. v, 4, 36, Vārtt. 4) enough for 4 persons to eat, ŚBr. ii, xi"
56059,cātuṣprāśya (चातुष्प्राश्य),24343,"cātuṣprā (चातुष्प्रा)Sya/   n. id., TS. vi.","Sya/   mfn. (fr. catuṣ-prā (चतुष्-प्रा)Sa, Pāṇ. v, 4, 36, Vārtt. 4) enough for 4 persons to eat, ŚBr. ii, xi"
56133,cāmara (चामर),24385,"cāmara (चामर)   n. id. (a kind of plume on the heads of horses &amp;c., Śak.; Vikr.; Kād.), MBh. &amp;c. (ifc. f(ā (आ)). , Kum. vii, 42)","coming from the Yak (cam° (चम्°)), BhP. viii, 10, 13"
56327,cālaka (चालक),24478,"‘id.’ and ‘= cākrika (चाक्रिक)’, Śiś. v.","a restive elephant (said of a person, Rājat. viii, 1644), L."
56375,citipurīṣa (चितिपुरीष),24511,"citi—purīṣa (चिति—पुरीष)   n. du. id., KātyŚr. xvii.","the layer (of wood &amp;c.) and the rubble-stones, ŚBr. viii"
56426,cikkaṇa (चिक्कण),24547,"cikkaṇa (चिक्कण)   f(ā (आ), ī (ई)).  id., L.","mf(ā (आ))n. smooth, slippery, unctuous, MBh. xii, 6854; xiv, 1416; Suśr.; Śak."
57542,ced (चेद्),25041,"no ced (नो चेद्) (g. cā (चा)di) id. (forming a sentence by itself. e.g. dūram apasara no ced dhantavyo 'si mayā (दूरम् अपसर नो चेद् धन्तव्यो ऽसि मया), ‘depart to a distance, if not i.e. if thou departest not, thou art to be killed by me’), MBh. xii, 7, 21 and 29, 145; Pañcat.; Kathās.; Vet.; Hit.","d   ind. (Padap. ca id (च इद्)) (never found at the beginning of a sentence or verse) = ca (च), ‘and’, AV. ii, 30, 2 (ced-ca (चेद्-च), ‘as well as’), xviii, 2, 37"
58585,jaṅgala (जङ्गल),25606,jaṅgala (जङ्गल)   n. id.,"arid, sterile, desert, L."
58758,jana (जन),25711,"janá (जन)   m. (g. vṛṣā (वृषा)di) creature, living being, man, person, race (pañcá janās (पञ्च जनास्), ‘the five races’ = p° kṛṣṭayás (प्° कृष्टयस्), RV. iii, viii ff.; MBh. iii, 14160), people, subjects (the sg. used collectively, e.g. daívya (दैव्य) or divyā j° (दिव्या ज्°), ‘divine race’, the gods collectively, RV.; mahat j° (महत् ज्°), many people, R. vi, 101, 2; often ifc. denoting one person or a number of persons collectively, e.g. preṣya- (प्रेष्य-), bandhu- (बन्धु-), sakhī- (सखी-) &amp;c., qq.vv. ; with names of peoples, VarBṛS. iv, 22 and v, 74; ayaṃ janaḥ (अयं जनः), ‘this person, these persons’, I, we, MBh. viii, 709; Hariv. 7110; R. ii, 41, 2; Śak. &amp;c.; eṣa j° (एष ज्°), id., Kāvyād. ii, 75), RV. &amp;c.","janá (जन)   m. (g. vṛṣā (वृषा)di) creature, living being, man, person, race (pañcá janās (पञ्च जनास्), ‘the five races’ = p° kṛṣṭayás (प्° कृष्टयस्), RV. iii, viii ff.; MBh. iii, 14160), people, subjects (the sg. used collectively, e.g. daívya (दैव्य) or divyā j° (दिव्या ज्°), ‘divine race’, the gods collectively, RV.; mahat j° (महत् ज्°), many people, R. vi, 101, 2; often ifc. denoting one person or a number of persons collectively, e.g. preṣya- (प्रेष्य-), bandhu- (बन्धु-), sakhī- (सखी-) &amp;c., qq.vv. ; with names of peoples, VarBṛS. iv, 22 and v, 74; ayaṃ janaḥ (अयं जनः), ‘this person, these persons’, I, we, MBh. viii, 709; Hariv. 7110; R. ii, 41, 2; Śak. &amp;c.; eṣa j° (एष ज्°), id., Kāvyād. ii, 75), RV. &amp;c."
