global_index,file_part,entry_uid,entry_id,headword,pos,gender,page_start,page_end,senses_json,translations_json,etymologies_json,citations_json,biblio_json,gramgrp_json,xrefs_json,has_sense,has_tr,has_etym,has_cit,has_xref,sense_count,tr_count,etym_count,cit_count
51578,11,1,n51578,Κκ,,τό,,,"[""like ζήσασα ἔτη έ , at the end of a hexam. (?), CIG 3025 (Lydia).""]",[],[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""ζήσασα ἔτη έ""},{""type"":"""",""target"":"""",""text"":""like ζήσασα ἔτη έ""}]",1,0,0,0,1,1,0,0,0
51579,11,2,n51579,κᾱ,,,,,"[""κᾱ, Dor. for Ep. , Aeol. κε(ν),= Att. , Arc. ἄν, SIG 9 (Olympia,vi B.C.), Epich. 35 ,al., Leg.Gort. 1.9 , Foed.Delph.Pell. 2 A 9 , Ar. Ach. 737 , 799 , Lys. 117 , Th. 5.77 , Theoc. 1.4 . [Although long, the α is elided in Epich. 170.12 ,al., SIG 56.8 (Argos,v B.C.), Leg.Gort. 1.1 , etc.]""]",[],"[""ν""]",[],[],{},[],1,0,1,0,0,1,0,1,0
51580,11,3,n51580,κᾰ,,,,,"[""κα τὸν νόμον IG 5 ( 2 ). 16 (Arcadia);κα τῶννυ ib. 262 ; κα τοὺς νόμους SIG 2860.9 (Delph.,ii B.C.), etc.; κα τὰ τῆς συγκλήτου δόγματα SIG 705.12 (ibid.) κα τὰ δόξαντα . . τῇ βουλῇ Inscr.Magn. 179.33 (ii A.D.): also in compds., cf.καβαίνων, etc."",""Cypr. ,=κάς, Inscr.Cypr. 135.5 H., Schwyzer 683.8 .""]",[],[],"[{""biblio"":"""",""quote"":""κα τὸν νόμον""},{""biblio"":""IG | 5"",""quote"":""κα τὸν νόμον IG 5""},{""biblio"":"""",""quote"":""κα τοὺς νόμους""},{""biblio"":""SIG | 2860.9"",""quote"":""κα τοὺς νόμους SIG 2860.9""},{""biblio"":"""",""quote"":""κα τὰ τῆς συγκλήτου δόγματα""},{""biblio"":""SIG | 705.12"",""quote"":""κα τὰ τῆς συγκλήτου δόγματα SIG 705.12""},{""biblio"":"""",""quote"":""κα τὰ δόξαντα . . τῇ βουλῇ""},{""biblio"":""Inscr.Magn. | 179.33"",""quote"":""κα τὰ δόξαντα . . τῇ βουλῇ Inscr.Magn. 179.33""}]","[""IG | 5"",""Inscr.Magn. | 179.33"",""SIG | 2860.9"",""SIG | 705.12""]",{},[],1,0,0,1,0,2,0,0,8
51581,11,4,n51581,κἀ,,,,,"[""= ἐν ), Herod. 2.62 (κἠμ corr.m.rec.).""]",[],[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""ἐν""},{""type"":"""",""target"":"""",""text"":""= ἐν""}]",1,0,0,0,1,1,0,0,0
51582,11,5,n51582,κααρτίας:,,,,,"[""κααρτίας: βάτραχος, Hsch. κάαυκα: περιδέραια, πλόκια, Id. (leg.κάλυκας).""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
51583,11,6,n51583,καβάδης,,ὁ,,,"[""military garment named after the Persian king Καβάδης, Tz. H. 12.792 .""]","[""military garment named after the Persian king""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
51584,11,7,n51584,καβαθα,,ἡ,,,"[""gabata, dish, Edict.Diocl. 15.51 : also as neut. pl., καβαθα β́ UPZ 149.40 (iii B.C.); [γ]αβαθα τρία Cumont Fouilles de Doura-Europos P. 372 No. 13 ; cf. γαβαθόν, ζάβατος 11 .""]","[""gabata, dish,"",""Fouilles de Doura-Europos""]",[],"[{""biblio"":"""",""quote"":""καβαθα β́""},{""biblio"":""UPZ | 149.40"",""quote"":""καβαθα β́ UPZ 149.40""},{""biblio"":"""",""quote"":""γαβαθόν, ζάβατος""},{""biblio"":""11"",""quote"":""γαβαθόν, ζάβατος 11""}]","[""11"",""UPZ | 149.40""]",{},[],1,1,0,1,0,1,2,0,4
51585,11,8,n51585,κᾰβαίνων,,,,,"[""κᾰβαίνων, Dor. for καταβ-, Alcm. 38 .""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
51586,11,9,n51586,κάβαισος,,ὁ,,,"[""gluttonous fellow, Cratin. 103 . (Derived by Gramm. fr.κάβος and αἶσα and said to be a pr. n.; cf. Κάβαισος IG 5(2).271.9 (Mantinea,iv B.C.).)""]","[""gluttonous fellow""]",[],"[{""biblio"":"""",""quote"":""Κάβαισος""},{""biblio"":""IG | 5(2).271.9"",""quote"":""Κάβαισος IG 5(2).271.9""}]","[""IG | 5(2).271.9""]",{},[],1,1,0,1,0,1,1,0,2
51587,11,10,n51587,κᾰβάλλειον,,τό,,,"[""κ. καὶ ἐργάτας δεκαπέντε Rev.Arch. 1925.63 (Callatis):καβάλλιον, Hsch.""]",[],[],"[{""biblio"":"""",""quote"":""κ. καὶ ἐργάτας δεκαπέντε""},{""biblio"":""Rev.Arch. | 1925.63"",""quote"":""κ. καὶ ἐργάτας δεκαπέντε Rev.Arch. 1925.63""}]","[""Rev.Arch. | 1925.63""]",{},[],1,0,0,1,0,1,0,0,2
