global_index,file_part,entry_uid,entry_id,headword,pos,gender,page_start,page_end,senses_json,translations_json,etymologies_json,citations_json,biblio_json,gramgrp_json,xrefs_json,has_sense,has_tr,has_etym,has_cit,has_xref,sense_count,tr_count,etym_count,cit_count
36995,5,7142,n36995,ἐξαῦθις,Adv.,,587,,"[""v. ἐξαῦτις.""]",[],[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""ἐξαῦτις.""},{""type"":"""",""target"":"""",""text"":""v. ἐξαῦτις.""}]",1,0,0,0,1,1,0,0,0
36996,5,7143,n36996,ἐξαυλᾰκίζω,,,587,,"[""pour forth, πλοῦτον Lyd. Mag. 2.8 ;ἑστίαν ib. 3.65 .""]","[""pour forth,""]",[],"[{""biblio"":"""",""quote"":""πλοῦτον""},{""biblio"":""Lyd. | Mag. | 2.8"",""quote"":""πλοῦτον Lyd. Mag. 2.8""}]","[""Lyd. | Mag. | 2.8""]",{},[],1,1,0,1,0,1,1,0,2
36997,5,7144,n36997,ἐξαυλέω,,,587,,"[""pipe away, wear out,of the mouthpieces of clarionets, Poll. 4.67 .""]","[""pipe away, wear out,""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
36998,5,7145,n36998,ἐξαυλίζομαι,,,587,,"[""leave one's quarters, ἐ. εἰς κώμας go out of camp into villages, X. An. 7.8.21 ;-ισάμενοι ἀνεμένομεν v.l. in Luc. VH 1.37 .""]","[""leave one's quarters,"",""go out of camp""]",[],[],[],{},[],1,1,0,0,0,1,2,0,0
36999,5,7146,n36999,ἔξαυλος,,,587,,"[""piped away, worn out,of a flute, Poll. 4.73 .""]","[""piped away, worn out,""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
37000,5,7147,n37000,ἐξαύξω,,,587,,"[""increase, Thphr. CP 1.22.1 :— Pass. ,grow too fast, Id. HP 6.6.6 .""]","[""increase,"",""grow too fast,""]",[],[],[],{},[],1,1,0,0,0,1,2,0,0
37001,5,7148,n37001,ἔξαυος,,,587,,"[""dry, parched, thirsty, Alc. Supp. 4.11 (dub.l.).""]","[""dry, parched, thirsty,""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
37002,5,7149,n37002,ἐξαυσ-τήρ,,ὁ,587,,"[""flesh-hook for taking meat out of a pot, A. Fr. 2 , Poll. 6.88 , EM 346.56 , Hsch. ; [ ἐξ]αυστήρ IG 2.818.27 ;ἐξ[αυστήρ] ib. 689 .""]","[""flesh-hook for taking meat out of a pot,""]",[],"[{""biblio"":"""",""quote"":""ἐξ]αυστήρ""},{""biblio"":""IG | 2.818.27"",""quote"":""ἐξ]αυστήρ IG 2.818.27""}]","[""IG | 2.818.27""]",{},[],1,1,0,1,0,1,1,0,2
37003,5,7150,n37003,ἐξαύσ-τριον,,τό,587,,"[""ἐξαύσ-τριον,τό, Dim. of foreg., ib. 11(2).161 C 70 (Delos,iii B.C.).""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
37004,5,7151,n37004,ἐξαυτῆς,Adv.,,587,,"[""at once, Thgn. 231 , Cratin. 34 , Aen.Tact. 22.29 , Arat. 641 , Plb. 2.7.7 , Ev.Marc. 6.25 , POxy. 64.3 (iii/iv A.D.), etc.""]","[""at once,""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
