global_index,file_part,entry_uid,entry_id,headword,pos,gender,page_start,page_end,senses_json,translations_json,etymologies_json,citations_json,biblio_json,gramgrp_json,xrefs_json,has_sense,has_tr,has_etym,has_cit,has_xref,sense_count,tr_count,etym_count,cit_count
102116,22,1,n102120,Τ,,τό,,,"[""Τ τ,ταῦ,τό,indecl., twenty-second letter of the Formello abecedaria, IG 14.2420 , but nineteenth of the Ion. alphabet, cf. Pl. Cra. 394b : as numeral τ́ = 300 , but t' = 300 , 000 .""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
102117,22,2,n102121,τ',,τό,,,"[""and."",""τοι is elided in Od. 1.60 , 347 , also in Aeolic verse, θέλω τί τ' εἴπην Sapph. 28 , cf. Alc. Oxy. 1788.15 ii 9 , but is joined with ἄν, ἄρα by crasis."",""Attic τό , τά are never elided, but may suffer crasis."",""τὶ or τί can suffer neither elision nor crasis.""]","[""and.""]",[],"[{""biblio"":"""",""quote"":""θέλω τί τ' εἴπην""},{""biblio"":""Sapph. | 28"",""quote"":""θέλω τί τ' εἴπην Sapph. 28""}]","[""Sapph. | 28""]",{},[],1,1,0,1,0,4,1,0,2
102118,22,3,n102122,τά,,ὁ,,,"[""v. τίς .""]",[],[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""τίς""},{""type"":"""",""target"":"""",""text"":""v. τίς""}]",1,0,0,0,1,1,0,0,0
102119,22,4,n102123,ταβαίτας,,ὁ,,,"[""wooden bowl, a Persian word, Amynt. ap. Ath. 14.500d .""]","[""wooden bowl""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
102120,22,5,n102124,ταβάλα:,,,,,"[""drum, Hsch. ; cf.tabulas(acc. pl.) in codd. of Seneca Ep. 6.4.4 .""]","[""drum"",""tabulas""]",[],[],[],{},[],1,1,0,0,0,1,2,0,0
102121,22,6,n102125,ταβάσιος,,ὁ,,,"[""= τοπάζιος , PHolm. 11.38 ;λίθον τὸν καλούμενον ταβάσι<ν>ib. 4.12 ;ὁ λεγόμενος ταβάσις ἐκ τῆς Αἰγύπτου καταφερόμενος ib. 8.7 .""]",[],[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""τοπάζιος""},{""type"":"""",""target"":"""",""text"":""= τοπάζιος""}]",1,0,0,0,1,1,0,0,0
102122,22,7,n102126,τᾰβέλλ-α,,ἡ,,,"[""writing tablet, note, PHamb. 29.23 (i A.D.), POxy. 273.7 (i A.D.);τ. ἐλευθερώσεως manumission-letter, Sammelb. 5217.16 (ii A.D.), cf. BGU 388i 11 , 16 (ii/iii A.D.).""]","[""writing tablet, note,"",""letter,""]",[],[],[],{},[],1,1,0,0,0,1,2,0,0
102123,22,8,n102127,τᾰβελλ-άριος,,ὁ,,,"[""tabellarius, τοῦ κυρίου Καίσαρος IG 5(2).525.3 (Lycosura), cf. PCair.Preis. 11.10 (ii/iii A.D.).""]","[""tabellarius""]",[],"[{""biblio"":"""",""quote"":""τοῦ κυρίου Καίσαρος""},{""biblio"":""IG | 5(2).525.3"",""quote"":""τοῦ κυρίου Καίσαρος IG 5(2).525.3""}]","[""IG | 5(2).525.3""]",{},[],1,1,0,1,0,1,1,0,2
102124,22,9,n102128,τᾰβελλ-ίων,,ὁ,,,"[""tabellio, PStrassb. 1.15 (v A.D.), PMasp. 121.30 (vi A.D.).""]","[""tabellio,""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
102125,22,10,n102129,τᾰβερνοδύτης,,ὁ,,,"[""ganeo, sabinario, Gloss.""]","[""ganeo, sabinario,""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
102126,22,11,n102130,τάβλ-α,,ἡ,,,"[""tabula,ἀπὸ χαλκῆς τάβλης Wilcken Chr. 460.15 (ii A.D.), cf. BGU 780.15 (ii A.D.);dice-table, acc. τάβλην AP 9.482.27 ( Agath. ), but τάβλαν ib. 767 lemma; acc.τάβλαν, of a mummy-label, Wilcken Chr. 499.5 (ii/iii A.D.); acc. pl.τάβλας, of corn-distribution tokens, Sammelb. 4514 (iii A.D.).""]","[""tabula"",""dice-table"",""tokens,""]",[],"[{""biblio"":"""",""quote"":""τάβλην""},{""biblio"":""AP | 9.482.27"",""quote"":""τάβλην AP 9.482.27""}]","[""AP | 9.482.27""]",{},[],1,1,0,1,0,1,3,0,2
102127,22,12,n102131,ταβλ-άριος,,ὁ,,,"[""tabularius, PSI 3.281.39 (ii A.D.), IGRom. 4.679 (Eulandra), etc.""]","[""tabularius""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
102128,22,13,n102132,ταβλ-ίζω,,,,,"[""play at dice, Hsch. s.v. κυβεῦσαι , Suid. s.v. πεττεύουσι , Zonar. s.v. πεττοί ; written ταυλ-in Thom.Mag. p.212 R.""]","[""play at dice""]",[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""κυβεῦσαι""},{""type"":"""",""target"":"""",""text"":""s.v. κυβεῦσαι""},{""type"":""ref"",""target"":"""",""text"":""πεττεύουσι""},{""type"":"""",""target"":"""",""text"":""s.v. πεττεύουσι""},{""type"":""ref"",""target"":"""",""text"":""πεττοί""},{""type"":"""",""target"":"""",""text"":""s.v. πεττοί""}]",1,1,0,0,1,1,1,0,0
102129,22,14,n102133,ταβλ-ίον,,τό,,,"[""tray, τ. μαγειρικά PFay. 104.4 (iii A.D.), cf. PLond. 1.191.14 (ii A.D.), 3.964.10 (iii A.D.)."",""τ. χελώνης the shell of a tortoise, Gp. 12.7.5 ."",""= latus clavus, Suid. s.v. χλαμύς .""]","[""tray"",""shell"",""latus clavus""]",[],"[{""biblio"":"""",""quote"":""τ. μαγειρικά""},{""biblio"":""PFay. | 104.4"",""quote"":""τ. μαγειρικά PFay. 104.4""}]","[""PFay. | 104.4""]",{},"[{""type"":""ref"",""target"":"""",""text"":""χλαμύς""},{""type"":"""",""target"":"""",""text"":""s.v. χλαμύς""}]",1,1,0,1,1,3,3,0,2
102130,22,15,n102134,ταβλ-ιόπη,,ἡ,,,"[""a game at dice, AP 11.373 ( Pall. ).""]","[""a game at dice,""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
102131,22,16,n102135,ταβλ-ιστήριον,,τό,,,"[""= κυβεῖον , Sch. Aeschin. 1.53 .""]",[],[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""κυβεῖον""},{""type"":"""",""target"":"""",""text"":""= κυβεῖον""}]",1,0,0,0,1,1,0,0,0
102132,22,17,n102136,ταβλ-ιστής,,ὁ,,,"[""dice-player, Gloss.""]","[""dice-player,""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
102133,22,18,n102137,τάβλον,,τό,,,"[""= ταβλίον 1 , τάβλα γ́ BGU 338.8 (ii/iii A.D.).""]",[],[],"[{""biblio"":"""",""quote"":""τάβλα γ́""},{""biblio"":""BGU | 338.8"",""quote"":""τάβλα γ́ BGU 338.8""}]","[""BGU | 338.8""]",{},"[{""type"":""ref"",""target"":"""",""text"":""ταβλίον""},{""type"":"""",""target"":"""",""text"":""= ταβλίον""}]",1,0,0,1,1,1,0,0,2
102134,22,19,n102138,ταβλοπάροχος,,ὁ,,,"[""ταβλοπάροχος,ὁ, sine interpr.,Gloss.""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
102135,22,20,n102139,τάβλ-ωμα,,τό,,,"[""= δρύφακτος , Sch. Ar. Eq. 672 .""]",[],[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""δρύφακτος""},{""type"":"""",""target"":"""",""text"":""= δρύφακτος""}]",1,0,0,0,1,1,0,0,0
102136,22,21,n102140,ταβλ-ωτός,,,,,"[""boarded,δρύφακτοι Sch. Ar. V. 348 , 385 .""]","[""boarded""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
102137,22,22,n102141,τᾱγά,,,,,"[""time during which a τᾱγός holds office, i.e. war-time, opp.ἀταγία, SIG 55 (Thessaly,v B.C.).""]","[""time during which a"",""holds office""]",[],[],[],{},[],1,1,0,0,0,1,2,0,0
102138,22,23,n102142,τᾱγαῖος,,,,,"[""acting by command, Hsch. τάγανα: ταῦτα, Κρῆτες, Id.""]","[""acting by command""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
102139,22,24,n102143,ταγαρίζα,,τά,,,"[""= Ταγαρίδια , pl. of Dim. of ταγή 5 ,supplies, or = τὰ γαρίζα , = Γαρίδια , Dim. of γάρος, POxy. 1158.12 (iii A.D.).""]","[""supplies""]",[],"[{""biblio"":"""",""quote"":""ταγή""},{""biblio"":""5"",""quote"":""ταγή 5""}]","[""5""]",{},"[{""type"":""ref"",""target"":"""",""text"":""Ταγαρίδια""},{""type"":"""",""target"":"""",""text"":""= Ταγαρίδια""},{""type"":""ref"",""target"":"""",""text"":""τὰ γαρίζα""},{""type"":"""",""target"":"""",""text"":""= τὰ γαρίζα""},{""type"":""ref"",""target"":"""",""text"":""Γαρίδια""},{""type"":"""",""target"":"""",""text"":""= Γαρίδια""}]",1,1,0,1,1,1,1,0,2
102140,22,25,n102144,ταγατίζων:,,,,,"[""ταγατίζων: κιχλίζων, Hsch.""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
102141,22,26,n102145,ταγγ-ή,,ἡ,,,"[""rancidity, Alex.Aphr. Pr. 2.70 ."",""a kind of scrofulous tumour, Hp. Epid. 2.1.7 .""]","[""rancidity"",""scrofulous tumour""]","[""ταγγός""]",[],[],{},[],1,1,1,0,0,2,2,1,0
102142,22,27,n102146,ταγγ-ίασις,,ἡ,,,"[""ταγγ-ίασις,εως,ἡ,=foreg. 11 ,Gloss.""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
102143,22,28,n102147,ταγγ-ίζω,,,,,"[""to be or become rancid, Crito ap. Aët. 8.2 , Gp. 9.22.3 .""]","[""to be"",""become rancid""]",[],[],[],{},[],1,1,0,0,0,1,2,0,0
102144,22,29,n102148,ταγγ-ός,,,,,"[""rancid, ibid.""]","[""rancid""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
102145,22,30,n102149,τᾱγεία,,ἡ,,,"[""office or rank of ταγός, X. HG 6.4.34 .""]","[""office"",""rank of""]",[],[],[],{},[],1,1,0,0,0,1,2,0,0
102146,22,31,n102150,τᾰγείς,,,,,"[""v. τάσσω .""]",[],[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""τάσσω""},{""type"":"""",""target"":"""",""text"":""v. τάσσω""}]",1,0,0,0,1,1,0,0,0
102147,22,32,n102151,τάγευμα,,τό,,,"[""τάγευμα,ατος,τό, dub. l. in A. Myrm. in PSI 11.1211.14 .""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
