global_index,file_part,entry_uid,entry_id,headword,pos,gender,page_start,page_end,senses_json,translations_json,etymologies_json,citations_json,biblio_json,gramgrp_json,xrefs_json,has_sense,has_tr,has_etym,has_cit,has_xref,sense_count,tr_count,etym_count,cit_count
76393,17,1,n76393,π,,,,,"[""π,πεῖ, IG 22.2783.23 (iv B. C.), BCH 29.483 (Delos), Hellad. ap. Phot. p.530B. ,indecl.: seventeenth (later sixteenth) letter of the Gr. alphabet: as numeral π́ = 80 , but p' = 80 , 000 .""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
76394,17,2,n76394,πᾷ,,,,,"[""how? Ar. Ach. 785 , Lys. 171 ; for ὅπα, GDI 2171 (Delph.); for ὅπου, Archim. ap. Simp. in Ph. 1110.5 :πᾳ for πῃ,anywhere, anyhow, Ar. Lys. 155 .""]","[""how?"",""anywhere, anyhow""]",[],[],[],{},[],1,1,0,0,0,1,2,0,0
76395,17,3,n76395,πα,,,,,"[""πα, apoc. for παρά, πα Δάματρα, π. Δάματρι, GDI 3536a20 , 3542.11 (Cnidus).""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
76396,17,4,n76396,πᾶἁ,,,,,"[""πᾶἁ, Lacon. for πᾶσα, Ar. Lys. 995 , Hdn.Gr. 2.301 .""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
76397,17,5,n76397,πᾱγά,,,,,"[""πᾱγά, Dor. for πηγή.""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
76398,17,6,n76398,παγαίη,,,1284,,"[""= κύων (Scyth.), Hsch. πάγανα: σφύρα, Id.""]",[],[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""κύων""},{""type"":"""",""target"":"""",""text"":""= κύων""}]",1,0,0,0,1,1,0,0,0
76399,17,7,n76399,πᾱγᾱν-ικός,,,1284,,"[""pagus) civilian, opp.στρατιωτικός, PMasp. 2ii 23 (vi A. D.)."",""unofficial, BGU 936.10 (v A. D.)."",""lay, opp.μοναχικός, PFlor. 287.1 (v A. D.).""]","[""pagus) civilian"",""unofficial"",""lay""]",[],[],[],{},[],1,1,0,0,0,3,3,0,0
76400,17,8,n76400,πᾱγᾱν-ός,,ὁ,1284,,"[""civilian, BGU 1043.25 (iii A. D.), etc."",""unofficial, private person, PLond. 5.1711.32 (vi A. D.), etc."",""a kind of gladiator, Rev.Arch. 30(1929).39 (Edessa).""]","[""civilian"",""unofficial, private person,""]",[],[],[],{},[],1,1,0,0,0,3,2,0,0
76401,17,9,n76401,πᾱγάομαι,,,1284,,"[""= πηγή )wash in a spring, GDI 1588 (Dodona).""]","[""wash in a spring""]",[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""πηγή""},{""type"":"""",""target"":"""",""text"":""= πηγή""}]",1,1,0,0,1,1,1,0,0
76402,17,10,n76402,πᾱγαρχ-έω,,,1284,,"[""hold office of παγάρχης, Ath.Mitt. 13.238 (Laodicea Combusta), Just. Edict. 13.25 :— Pass. ,to be under a π., POxy. 133.8 (vi A. D.).""]","[""hold office of"",""to be under a""]",[],[],[],{},[],1,1,0,0,0,1,2,0,0
76403,17,11,n76403,πᾱγάρχ-ης,,ὁ,1284,,"[""magister pagi, Just. Edict. 13.25 , PMasp. 3.25 (vi A. D.), etc.""]","[""magister pagi""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
76404,17,12,n76404,πᾱγαρχ-ία,,ἡ,1284,,"[""district under a π., Just. Edict. 13.25 , etc.;office of π., POxy. 2110.4 (pl.,iv A. D.).""]","[""district under a"",""office of""]",[],[],[],{},[],1,1,0,0,0,1,2,0,0
76405,17,13,n76405,πᾱγαρχ-ικός,,,1284,,"[""of a π., ἐξουσία PMasp. 19.4 (vi A. D.).""]","[""of a""]",[],"[{""biblio"":"""",""quote"":""π., ἐξουσία""},{""biblio"":""PMasp. | 19.4"",""quote"":""π., ἐξουσία PMasp. 19.4""}]","[""PMasp. | 19.4""]",{},[],1,1,0,1,0,1,1,0,2
76406,17,14,n76406,πᾱ́γαρχ-ος,,ὁ,1284,,"[""= παγάρχης , ib. 68.10 (pl.,vi A. D.), etc.""]",[],[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""παγάρχης""},{""type"":"""",""target"":"""",""text"":""= παγάρχης""}]",1,0,0,0,1,1,0,0,0
76407,17,15,n76407,παγάς:,,,1284,,"[""παγάς: γῆ τις ὑπὸ τῶν γεωργῶν, Hsch. πάγασα: θύρα, καὶ παγασαί, Id.""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
76408,17,16,n76408,Πᾰγᾰσαί,,αἱ,1284,,"[""Πᾰγᾰσαί,αἱ,Pagasae in Thessaly, the port of Pherae, whence the Argonauts sailed, Hdt. 7.193 , etc.:—hence ἥρως""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
76409,17,17,n76409,Πᾰγᾰσαῖος,,ὁ,1284,,"[""Πᾰγᾰσαῖος, of Jason, AP 4.3b20 ( Agath. ):ὁ""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
76410,17,18,n76410,Πᾰγᾰσίτης,,,1284,,"[""Πᾰγᾰσίτης[ῑ] κόλπος, D. 12.5 ;λιμὴν""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
76411,17,19,n76411,Πᾰγᾰσήϊος,,,1284,,"[""Πᾰγᾰσήϊος, A. R. 1.524 ;ἀκτὴ""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
76412,17,20,n76412,Πᾰγᾰσηί̈ς,,,1284,,"[""Πᾰγᾰσηί̈ς, ib. 318 .""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
76413,17,21,n76413,παγγάς:,,,1284,,"[""παγγάς: πλάνος, Hsch.""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
76414,17,22,n76414,παγ-γέλοιος,,,1284,,"[""thoroughly ridiculous, Pl. Phdr. 260c , R. 522d , Palaeph. 26 ; π. ἐστ' ἰδεῖν Eub. 53.6 .""]","[""thoroughly ridiculous""]","[""πᾶς""]","[{""biblio"":"""",""quote"":""π. ἐστ' ἰδεῖν""},{""biblio"":""Eub. | 53.6"",""quote"":""π. ἐστ' ἰδεῖν Eub. 53.6""}]","[""Eub. | 53.6""]",{},[],1,1,1,1,0,1,1,1,2
76415,17,23,n76415,παγ-γενεί,Adv.,,1284,,"[""with one's whole race, π. τε καὶ πανδημεί Xanth. 10 ; ἐκριζωθήσεται π. IG 3.1423 , 1424 : written παγγενῆ in EM 647.53 ,v.l. in Ael. NA 17.27 .""]","[""with one's whole race""]",[],"[{""biblio"":"""",""quote"":""π. τε καὶ πανδημεί""},{""biblio"":""Xanth. | 10"",""quote"":""π. τε καὶ πανδημεί Xanth. 10""},{""biblio"":"""",""quote"":""ἐκριζωθήσεται π.""},{""biblio"":""IG | 3.1423"",""quote"":""ἐκριζωθήσεται π. IG 3.1423""}]","[""IG | 3.1423"",""Xanth. | 10""]",{},[],1,1,0,1,0,1,1,0,4
76416,17,24,n76416,παγ-γενέτης,,,1284,,"[""father of all, Ζεύς Orph. H. 20.5 :—fem.παγ-γενέτειρα,mother of all, φύσις AP 12.97 (Antip.).""]","[""father of all"",""mother of all""]",[],"[{""biblio"":"""",""quote"":""Ζεύς""},{""biblio"":""Orph. | H. | 20.5"",""quote"":""Ζεύς Orph. H. 20.5""},{""biblio"":"""",""quote"":""φύσις""},{""biblio"":""AP | 12.97"",""quote"":""φύσις AP 12.97""}]","[""AP | 12.97"",""Orph. | H. | 20.5""]",{},[],1,1,0,1,0,1,2,0,4
76417,17,25,n76417,παγ-γενέτωρ,,ὁ,1284,,"[""= παγγενέτης, Ἥλιος Orph. Fr. 236 .""]",[],[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""παγγενέτης, Ἥλιος""},{""type"":"""",""target"":"""",""text"":""= παγγενέτης, Ἥλιος""}]",1,0,0,0,1,1,0,0,0
76418,17,26,n76418,πάγ-γεος,,,1284,,"[""holding the whole earth, ἅρμα Id. H. 59.8 ;δῆμος, of the Roman people, Epigr.Gr. 344.10 (ii A. D.).""]","[""holding the whole earth""]",[],"[{""biblio"":"""",""quote"":""ἅρμα""},{""biblio"":""Id. | H. | 59.8"",""quote"":""ἅρμα Id. H. 59.8""}]","[""Id. | H. | 59.8""]",{},[],1,1,0,1,0,1,1,0,2
76419,17,27,n76419,παγ-γέωργος,,,1284,,"[""master-gardener, metaph., ὁ π. λογισμός LXX 4 Ma. 1.29 .""]","[""master-gardener""]",[],"[{""biblio"":"""",""quote"":""ὁ π. λογισμός""},{""biblio"":""LXX | 4 Ma. | 1.29"",""quote"":""ὁ π. λογισμός LXX 4 Ma. 1.29""}]","[""LXX | 4 Ma. | 1.29""]",{},[],1,1,0,1,0,1,1,0,2
76420,17,28,n76420,παγ-γήρως,,,1284,,"[""very old, Tz.ad Lyc. 826 .""]","[""very old""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
76421,17,29,n76421,παγ-γλῠκερός,,,1284,,"[""sweetest of all, Ar. Lys. 970 (anap.).""]","[""sweetest of all""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
76422,17,30,n76422,παγ-γλωσσία,,ἡ,1284,,"[""wordiness, garrulity, Pi. O. 2.87 .""]","[""wordiness, garrulity""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
76423,17,31,n76423,παγ-γόνατον,,τό,1284,,"[""= βήχιον 1 , Ps.- Dsc. 3.112 .""]",[],[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""βήχιον""},{""type"":"""",""target"":"""",""text"":""= βήχιον""}]",1,0,0,0,1,1,0,0,0
