global_index,file_part,entry_uid,entry_id,headword,pos,gender,page_start,page_end,senses_json,translations_json,etymologies_json,citations_json,biblio_json,gramgrp_json,xrefs_json,has_sense,has_tr,has_etym,has_cit,has_xref,sense_count,tr_count,etym_count,cit_count
46049,7,1,n46049,Ζζ,,τό,,,"[""= ἑπτά and ἕβδομος(ς́, i.e.ϝϝαῦ, the digamma, being retained to represent ἕξ, ἕκτος), but z' = 7 , 000 ."",""Zeta, being a double consonant (pronounced either as zd or as dz acc. to dialect and date), made a short vowel at the end of the foregoing syllable long by position; exc. before pr. names, which could not otherwise come into the hexam., ἄστῠ Ζελείης Il. 4.103 , 121 ; ὑλήεσσᾰ Ζάκυνθος h.Ap. 429 , etc.: afterwds. pronounced as Engl.z, cf. ζμῆνος PCair.Zen. 151.4 (iii B.C.),ζμύρνης ib. 9 (iii B.C.),ἀμφιζβήτησιν Mitteis Chr. 31 viii 6 (ii B.C.), cf. Ael.Dion. Fr. 187 ; sts.σζ was written, ἐνδέσζμους IG 22.1672.308 (iv B.C.), θυσιάσζειν IG 3.73 .""]","[""zd"",""dz"",""z""]",[],"[{""biblio"":"""",""quote"":""ἄστῠ Ζελείης""},{""biblio"":""Il. | 4.103"",""quote"":""ἄστῠ Ζελείης Il. 4.103""},{""biblio"":"""",""quote"":""ὑλήεσσᾰ Ζάκυνθος""},{""biblio"":""h.Ap. | 429"",""quote"":""ὑλήεσσᾰ Ζάκυνθος h.Ap. 429""},{""biblio"":"""",""quote"":""ζμῆνος""},{""biblio"":""PCair.Zen. | 151.4"",""quote"":""ζμῆνος PCair.Zen. 151.4""},{""biblio"":"""",""quote"":""ἐνδέσζμους""},{""biblio"":""IG | 22.1672.308"",""quote"":""ἐνδέσζμους IG 22.1672.308""},{""biblio"":"""",""quote"":""θυσιάσζειν""},{""biblio"":""IG | 3.73"",""quote"":""θυσιάσζειν IG 3.73""}]","[""IG | 22.1672.308"",""IG | 3.73"",""Il. | 4.103"",""PCair.Zen. | 151.4"",""h.Ap. | 429""]",{},"[{""type"":""ref"",""target"":"""",""text"":""ἑπτά""},{""type"":"""",""target"":"""",""text"":""= ἑπτά""}]",1,1,0,1,1,2,3,0,10
46050,7,2,n46050,ζά,,,,,"[""ζὰ τὰν σὰν ἰδέαν Theoc. 29.6 , cf. IG 12(2).484.3 (Mytil.);ζὰ νυκτός ap.Jo.Gramm. Comp. 3.3 ;ζὰ χῶρις ἔχην Sapph. Oxy. 1787 Fr. 3ii 18 ;ζαβάλλω, ζάημι, etc."",""as Prefix (cf.διά),very, in Ep. Adjs.,ζαής, ζάθεος, ζάκοτος, etc.; cf.ζαμενέω, ζάπλουτος, ζάφελος.""]","[""very""]",[],"[{""biblio"":"""",""quote"":""ζὰ τὰν σὰν ἰδέαν""},{""biblio"":""Theoc. | 29.6"",""quote"":""ζὰ τὰν σὰν ἰδέαν Theoc. 29.6""},{""biblio"":"""",""quote"":""χῶρις ἔχην""},{""biblio"":""Sapph. | Oxy. | 1787"",""quote"":""χῶρις ἔχην Sapph. Oxy. 1787""}]","[""Sapph. | Oxy. | 1787"",""Theoc. | 29.6""]",{},[],1,1,0,1,0,2,1,0,4
46051,7,3,n46051,ζᾶ,,,,,"[""= διὰ βίου ).""]",[],[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""διὰ βίου""},{""type"":"""",""target"":"""",""text"":""= διὰ βίου""}]",1,0,0,0,1,1,0,0,0
46052,7,4,n46052,ζαβάλλω,,,,,"[""ζαβάλλω, Aeol. for διαβάλλω,=ἐξαπατῶ, Hsch.,EM 406.42 .""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
46053,7,5,n46053,ζάβατος,,,,,"[""= πίναξ ἰχθυηρός (Paph.), Hsch. (cf.γαβαθόν, καβάθα).""]",[],[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""πίναξ ἰχθυηρός""},{""type"":"""",""target"":"""",""text"":""= πίναξ ἰχθυηρός""}]",1,0,0,0,1,1,0,0,0
46054,7,6,n46054,ζαβλεμένως:,,,,,"[""ζαβλεμένως: μεγάλως πεποιθώς, Hsch. ; cf.βλεμεαίνω, ἀβλεμέως.""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
46055,7,7,n46055,ζάβοτος,,,,,"[""= πολύφορβος, πολύκτηνος , Hsch.""]",[],[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""πολύφορβος, πολύκτηνος""},{""type"":"""",""target"":"""",""text"":""= πολύφορβος, πολύκτηνος""}]",1,0,0,0,1,1,0,0,0
46056,7,8,n46056,ζαβρός,,,,,"[""ζαβρός,όν, for ζάβορος(?),=πολυφάγος, Hsch. , Phot. , Suid.""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
46057,7,9,n46057,ζάγκλη,,ἡ,,,"[""an ancient name of Sicilian Messene, from the shape of the natural mole which forms the harbour, Th. 6.4 , etc.""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
46058,7,10,n46058,ζάγκλον,,τό,,,"[""reaping-hook, sickle, Sicilian for δρέπανον, Th. 6.4 , cf. Call. Aet.Oxy. 2080.73 . (ζάγκλιον,=σκολιόν, acc. to Str. 6.2.3 .)""]","[""reaping-hook, sickle""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
