index_token,index_sentence,string,pos,lemma,stem,dependency_relation,governor,features,category,syllables,phonetic_transcription
0,0,Arma,noun,arma,Arm,root,-1,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['ar', 'ma']",[arma]
1,0,virumque,noun,virus,vir,flat,0,"{Case: [accusative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['vi', 'rum', 'que']",[wɪrʊmkʷɛ]
2,0,cano,noun,canum,can,conj,0,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ca', 'no']",[kan̪ɔ]
3,0,",",punctuation,",",",",punct,4,\N,\N,"[',']",\N
4,0,Troiae,noun,troia,Troi,conj,0,"{Case: [genitive], Gender: [masculine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['tro', 'iae']",[t̪rɔjjaj]
5,0,qui,pronoun,qui,qui,nsubj,6,"{Case: [nominative], Gender: [masculine], InflClass: [lat_pron], Number: [singular], PronominalType: [relative]}","{F: [pos], N: [pos], V: [neg]}",['qui'],[kʷɪ]
6,0,primus,adjective,primus,prim,acl:relcl,0,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_o], Numeral: [ordinal], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['pri', 'mus']",[prɪmʊs]
7,0,ab,adposition,ab,ab,case,8,\N,"{F: [pos], N: [neg], V: [neg]}",['ab'],[ab]
8,0,oris,noun,oris,or,obl:arg,6,"{Case: [ablative], Gender: [feminine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['o', 'ris']",[ɔrɪs]
9,0,Italiam,adjective,italis,Itali,amod,8,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['i', 'ta', 'li', 'am']",[ɪt̪alɪ̣jãː]
10,0,",",punctuation,",",",",punct,12,\N,\N,"[',']",\N
11,0,fato,noun,fatum,fat,obl,15,"{Case: [ablative], Gender: [neuter], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['fa', 'to']",[fat̪ɔ]
