lemma_id,lang,lemma,sense_num,type,orthography,ipa,pos,gender,etymology,entry,entry_str,gloss
832,OIr.,trom,3,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">(by extension) sad, sorrowful</div>","(by extension) sad, sorrowful","sad, sorrowful"
832,OIr.,trom,4,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">great, vast, powerful, mighty</div>","great, vast, powerful, mighty","great, vast, powerful, mighty"
833,OIr.,trom,2,main,\N,/ˈt̪ɾom/,n.,\N,From Proto-Celtic *trummos (compare Welsh trwm).,"<div class=""oldirish bodytext"">weight, heaviness, burden</div>","weight, heaviness, burden","weight, heaviness, burden"
833,OIr.,trom,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">greater part, bulk</div>","greater part, bulk","greater part, bulk"
833,OIr.,trom,3,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">severity, distress, difficulty, sorrow</div>","severity, distress, difficulty, sorrow","severity, distress, difficulty, sorrow"
833,OIr.,trom,4,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">blame, censure</div>","blame, censure","blame, censure"
834,OIr.,caraid,\N,main,·cara,/ˈka.ɾəðʲ/,v.,\N,"From Proto-Celtic *karāti (“to love”), from Proto-Indo-European *keh₂- (“to desire, wish”).","<div class=""oldirish bodytext"">to love</div>",to love,to love
835,OIr.,sech,1,main,\N,/sʲex/,prep.,\N,"* Traditionally derived from Proto-Celtic *sekʷos (“besides, without”), from Proto-Indo-European *sekʷ-o-s (“following”) (compare Latin secus (“along”) and Sanskrit सचा (sácā, “with”)), from *sekʷ- (“to follow”).\n* This is disputed by Klingenschmitt, who proposes Proto-Indo-European *se-ḱwo-s (“separate, by itself”), from *swé.\n* Or from *sek- (“to cut”).\nIn any case cognate with Welsh heb (“without”).","<div class=""oldirish bodytext"">past, beyond</div>","past, beyond","past, beyond"
835,OIr.,sech,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">in preference to, rather than, instead of</div>","in preference to, rather than, instead of","in preference to, rather than, instead of"
835,OIr.,sech,3,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">different from</div>",different from,different from
835,OIr.,sech,4,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">beyond, above, more than</div>","beyond, above, more than","beyond, above, more than"
836,OIr.,sech,2,main,\N,/sʲex/,conj.,\N,"* Traditionally derived from Proto-Celtic *sekʷos (“besides, without”), from Proto-Indo-European *sekʷ-o-s (“following”) (compare Latin secus (“along”) and Sanskrit सचा (sácā, “with”)), from *sekʷ- (“to follow”).\n* This is disputed by Klingenschmitt, who proposes Proto-Indo-European *se-ḱwo-s (“separate, by itself”), from *swé.\n* Or from *sek- (“to cut”).\nIn any case cognate with Welsh heb (“without”).","<div class=""oldirish bodytext"">(subordinating) yet, although</div>","(subordinating) yet, although","yet, although"
836,OIr.,sech,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">(coordinating) both…and, neither…nor (before negative clauses)</div>","(coordinating) both…and, neither…nor (before negative clauses)","both…and, neither…nor (before negative clauses)"
837,OIr.,salainn,\N,main,\N,/ˈsa.lən̠ʲ/,n.,\N,\N,"<div class=""oldirish bodytext"">vocative/genitive singular of salann (“salt”)</div>",vocative/genitive singular of salann (“salt”),vocative/genitive singular of salann (“salt”)
838,OIr.,agad,1,main,\N,/ˈa.ɣəð/,n.,\N,"Uncertain, possibly related to aigid (“to drive”), similarly to how Latin faciēs (“form, face”) is related to faciō (“to make”).\nComparison with the Gaulish name element agedo- allows for a reconstruction Proto-Celtic *agedā.","<div class=""oldirish bodytext"">face</div>",face,face
838,OIr.,agad,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">honour</div>",honour,honour
838,OIr.,agad,3,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">surface</div>",surface,surface
839,OIr.,agad,2,main,·agad,/ˈa.ɣəð/,v.,\N,See the etymology of the corresponding lemma form.,"<div class=""oldirish bodytext"">third-person singular past subjunctive of aigid</div>",third-person singular past subjunctive of aigid,third-person singular past subjunctive of aigid
840,OIr.,ág,\N,main,áig,/ˈaːɣ/,n.,\N,"From Proto-Celtic *āgos, from Proto-Indo-European *h₂eǵ- (“to drive”).","<div class=""oldirish bodytext"">fight, battle, contest</div>","fight, battle, contest","fight, battle, contest"
841,OIr.,fú,\N,main,\N,\N,prep.,\N,\N,"<div class=""oldirish bodytext"">alternative form of fo</div>",alternative form of fo,alternative form of fo
842,OIr.,hí,1,main,\N,\N,particle,\N,\N,"<div class=""oldirish bodytext"">alternative spelling of í</div>",alternative spelling of í,alternative spelling of í
843,OIr.,hí,2,main,\N,\N,prep.,\N,\N,"<div class=""oldirish bodytext"">alternative spelling of i</div>",alternative spelling of i,alternative spelling of i
844,OIr.,occo,1,main,oca,/ˈo.ɡo/,pron.,\N,\N,"<div class=""oldirish bodytext"">third-person singular masculine dative of oc</div>",third-person singular masculine dative of oc,third-person singular masculine dative of oc
845,OIr.,occo,2,main,\N,/ˈo.ɡo/,det,\N,\N,"<div class=""oldirish bodytext"">alternative form of oca (“at his/her/its/their”)</div>",alternative form of oca (“at his/her/its/their”),alternative form of oca (“at his/her/its/their”)
846,OIr.,occo,3,main,occo·,/ˈo.ɡo/,pron.,\N,\N,"<div class=""oldirish bodytext"">alternative form of oca (“at which, at whom”)</div>","alternative form of oca (“at which, at whom”)","alternative form of oca (“at which, at whom”)"
847,OIr.,camma,\N,main,\N,/ˈka.ma/,adj.,\N,\N,"<div class=""oldirish bodytext"">inflection of camm:; nominative plural feminine/neuter</div>",inflection of camm:; nominative plural feminine/neuter,inflection of camm:
847,OIr.,camma,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">inflection of camm:; vocative/accusative plural all genders</div>",inflection of camm:; vocative/accusative plural all genders,inflection of camm:
