lex_ref_link_id,orig_word_id,reflex,gloss_eng,master_lemma,master_entry_str,new_word_id
83198,151564,vip-,"rod, switch","vip (विप्)","vip (विप्) [cf. Lat. vibrare; Goth. weiþan; Germ. wîfen, weifen, Wipfel Eng. whiffle.]",NULL
76390,195347,"sthálā ","earthwork, embankment","sthalā (स्थला)","(sthalā́ (स्थला)), a heap of artificially raised earth, mound, TS.",NULL
41246,200935,jíhītē,"goes up, rides up","hā (हा)","2. hā (हा) (not always separable fr. √ 3. hā (हा)) cl. 3. Ā. (Dhātup. xxv, 7) jihī́te (जिही॑ते) (p. jihā́na (जिहा॑न) [q.v.]; pf. jahire (जहिरे), AV.; aor. ahāsta (अहास्त), RV. &amp;c.; fut. hātā (हाता) Gr.; hāsyate (हास्यते), Br.; MBh.; inf. -hātum (-हातुम्), ib.; ind.p. hātvā (हात्वा) Gr.; -hāyá (-हाय), RV.), to start or spring forward, bound away, give way to (dat.), RV.; to spring or leap upon (?), RV. x, 49, 5; to go or depart or betake one's self to have recourse to (acc.), Nalod. ; to fall or come into any state, Kir. : Pass. hāyate (हायते) (aor. ahāyi (अहायि)) Gr.: Caus. hāpayati (हापयति) (aor. ajīhapat (अजीहपत्)), ib. : Desid. jihāsate (जिहासते), ib. : Intens. jahāyate (जहायते), jāhāti (जाहाति), jāheti (जाहेति), ib.",NULL
45162,202861,hválati,"goes astray, stumbles, errs","hval (ह्वल्)","hval (ह्वल्) (cf. √ hvṛ (ह्वृ)) cl. 1. P. (Dhātup. xix, 44) hvaláti (ह्वलति) (mc. also °te (°ते); pf. jahvāla (जह्वाल) aor. ahvālīt (अह्वालीत्) &amp;c., Gr.; inf. hvalítos (ह्वलितो॑स्), ŚBr.; ind.p. -hvālám (-ह्वालम्), ib. &amp;c.), to go crookedly or astray or wrong or deviously, stumble, fall, fail, ŚBr.; Bhaṭṭ. : Caus. hvalayati (ह्वलयति), or hvālayati (ह्वालयति) (the former when prepositions are prefixed ; aor. ajihvalat (अजिह्वलत्)), to cause to tremble, shake, Bhaṭṭ.",NULL
33815,300002,asyā́ḥ,NULL,"a (अ)","4. a (अ)   the base of some pronouns and pronom. forms, in asya (अस्य), atra (अत्र), &c.",NULL
33969,300002,a-,NULL,"a (अ)","4. a (अ)   the base of some pronouns and pronom. forms, in asya (अस्य), atra (अत्र), &c.",NULL
20462,300006,áka-m,"sorrow, pain","aka (अक)","2. a-ka (अ-क)   n. unhappiness, pain, trouble, TS. sin, L.",NULL
33975,300031,a-dyā́,today,"adya (अद्य)","2. a-dya (अ-द्य)   ind. (Ved. adyā (अद्या)) (fr. pronom. base a (अ), this, with dya (द्य) for dyu (द्यु), q.v., Lat. ho-die), to-day now-a-days now.",NULL
35515,300032,ádhi,"over, on","adhi (अधि)","2. adhí (अधि॑)   ind., as a prefix to verbs and nouns, expresses above, over and above, besides. As a separable adverb or preposition (with abl.) Ved. over from above, from from the presence of after, AitUp. for instead of RV. i, 140, 11, (with loc.) Ved. over on at in comparison with (with acc.) over, upon, concerning.",NULL
21200,300044,ánu,"after (temporal w. acc., abl., gen.); after (sequence), towards, along, behind, according to, concerning, against (w. acc.)","anu (अनु)","3. anú (अनु॑)   ind. (as a prefix to verbs and nouns, expresses) after, along, alongside, lengthwise, near to, under, subordinate to, with. (When prefixed to nouns, especially in adverbial compounds), according to, severally, each by each, orderly, methodically, one after another, repeatedly. (As a separable preposition, with accusative) after, along, over, near to, through, to, towards, at, according to, in order, agreeably to, in regard to, inferior to, Pāṇ. i, 4, 86. (As a separable adverb) after, afterwards, thereupon, again, further, then, next.",NULL
21243,300060,ándhaḥ,"soma plant","andhas (अन्धस्)","2. andhás (अन्धस्)   n. (Gk. ἄνθος), a herb the śoma (शोम) plant śoma (शोम) juice, RV.; VS. juice, ŚBr. grassy ground, RV. vii, 96, 2 food, MBh. iii, 13244; BhP.",NULL
21106,300061,anyá-,other,"anya (अन्य)","2. anya (अन्य)   as (अस्), ā (आ), at (अत्) other, different other than, different from, opposed to (abl. or in comp.) another another person one of a number anya anya (अन्य अन्य) or eka anya (एक अन्य), the one, the other anyac ca (अन्यच् च), and another, besides, moreover",NULL
35937,300061,anyá-,other,"anya (अन्य)","2. anya (अन्य)   as (अस्), ā (आ), at (अत्) other, different other than, different from, opposed to (abl. or in comp.) another another person one of a number anya anya (अन्य अन्य) or eka anya (एक अन्य), the one, the other anyac ca (अन्यच् च), and another, besides, moreover",NULL
