lemma,type,orthography,part-of-speech,etymology,entry
abaculus,hapax,"ăbăcŭlus, i",n. m.,\N,"<lbl>dim.</lbl>  <etym>abacus</etym>, , <sense level=""1"" n=""I"" id=""n10.0""><hi rend=""ital"">a small cube or tile of colored glass for making ornamental pavements</hi>, the Gr. <foreign lang=""greek"">ὺβυκίσκος</foreign>, <bibl n=""urn:cts:latinLit:phi0978.phi001:36:67""><author>Plin.</author> 36, 26, 67, § 199</bibl>. <cb n=""ABAL""/></sense>"
abacus,greek,ăbăcus (according to i,\N,\N,"<bibl><author>Prisc.</author> 752</bibl> P. also  P. also <bibl><author>id.</author> p. 688</bibl>), ), <foreign lang=""greek"">ἄβαξ, α^κος</foreign>, prop. , prop. <sense level=""1"" n=""I"" id=""n11.0""><hi rend=""ital"">a square tablet;</hi> hence, in partic., </sense><sense level=""1"" n=""II"" id=""n11.2""> <hi rend=""ital"">A gaming-board, divided into compurtments</hi>, for playing with dice or counters, <bibl n=""urn:cts:latinLit:phi1348.phi016:22""><author>Suet.</author> Ner. 22</bibl>; <bibl><author>Macr.</author> S. 1, 5</bibl>.— </sense><sense level=""1"" n=""VI"" id=""n11.6""> In architecture, <hi rend=""ital"">a fiat, square stone on the top of a column</hi>, immediately under the architrave, <bibl n=""urn:cts:latinLit:phi1056.phi001.perseus-lat1:3:5:5""><author>Vitr.</author> 3, 5, 5 sq.</bibl>; <bibl n=""urn:cts:latinLit:phi1056.phi001.perseus-lat1:4:1:11"">4, 1, 11</bibl> sq.</sense>"
Abaddir,main,"Ābaddir), Ābădir or indecl., īris",n. m.,Heb. ,"<sense level=""1"" n=""I"" id=""n12.0""><hi rend=""ital"">the name of an Oriental deity</hi>, <bibl><author>Prisc.</author> p. 647</bibl> P.</sense>"
Abaddon,main,Abaddon,n. m.,\N,"<itype>indecl.</itype>  <etym>Heb. destruction</etym>, , <sense level=""1"" n=""I"" id=""n13.0""><hi rend=""ital"">the name of the angel of Tartarus</hi>, <bibl n=""urn:cts:greekLit:tlg0031.tlg027.perseus-grc1:9:11""><author>Vulg.</author> Apoc. 9, 11</bibl>.</sense>"
abaestuo,hapax,"ăb-aestŭo, āvi, ātum, 1",v. n.,\N,"(prop. to wave down, hence),<usg type=""style"">poet.</usg>, , <sense level=""1"" n=""I"" id=""n14.0""><hi rend=""ital"">to hang down richly</hi>: laetis ut vitis abaestuet uvis, Poët. (Tert. or Cypr.) de Jud. D-om. l.</sense>"
abagio,spur,"abagio, by ōnis, the supposed etymology of adagio",\N,\N,"<bibl n=""urn:cts:latinLit:phi0684.phi001:7:31""><author>Varr.</author> L. L. 7, § 31</bibl> Mūll. Mūll."
abagmentum,hapax,"ăbagmentum, i",n. n.,abigo,"<sense level=""1"" n=""I"" id=""n16.0""><hi rend=""ital"">a means for procuring abortion</hi>, <bibl><author>Prisc.</author> Med. 2, 34</bibl> dub.</sense>"
abalienatio,hapax,ăbălĭēnātĭo,n. f.,abalieno,"<sense level=""1"" n=""I"" id=""n17.0""><hi rend=""ital"">a legal transfer of property by</hi> sale or other alienation: <cit><quote lang=""la"">abalienatio est ejus rei, quae mancipi est, aut traditio alteri nexu aut in jure cessio, inter quos ea jure civili fieri possunt,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi042:5""><author>Cic.</author> Top. 5 <hi rend=""ital"">fin.</hi></bibl></cit></sense>"
abalieno,main,"ăb-ălĭēno, āvi, ātum, 1",v. a.,\N,"orig.<sense level=""1"" n=""I"" id=""n18.0""><hi rend=""ital"">to make alien from</hi> one or <hi rend=""ital"">from</hi> one's self, i.e. <hi rend=""ital"">to remove, separate</hi>. </sense><sense level=""3"" n=""1"" id=""n18.4""> T. t., <hi rend=""ital"">to convey the ownership of a thing to another, to make a legal transfer, to sell, alienate</hi> (cf. abalienatio): <cit><quote lang=""la"">eam (picturam) vendat: ni in quadriduo Abalienârit, quo ex argentum acceperit,</quote> <trans><tr>has sold</tr>,</trans> <bibl n=""urn:cts:latinLit:phi0119.phi002.perseus-lat1:4:1""><author>Plaut.</author> As. 4, 1, 20</bibl></cit>; so, <cit><quote lang=""la"">agros vectigales populi Romani,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi011.perseus-lat1:2:24:64""><author>Cic.</author> Agr. 2, 24, 64</bibl></cit>; cf. <bibl><author>id.</author> ib. 2, 27, 72</bibl>: <cit><quote lang=""la"">praedium,</quote> <bibl n=""Dig. 10.3.14"">Dig. 10, 3, 14</bibl></cit>: <cit><quote lang=""la"">pecus,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi005.perseus-lat1:2:3:119""><author>Cic.</author> Verr. 2, 3, 50, § 119</bibl></cit>: <cit><quote lang=""la"">sepulcrum,</quote> <bibl><author>Inscr. Orell.</author> 4357</bibl></cit>: <cit><quote lang=""la"">aliquid ab se,</quote> <bibl><author>ib.</author> 3673</bibl></cit>.—* </sense>"
abambulantes,gloss,ăbambŭlantes,\N,\N,"<bibl n=""urn:cts:latinLit:phi1236.phi001""><author>Fest.</author> p. 26, 10</bibl> Mūll. Mūll."
abamita,main,"ăbămĭta, ae",n. f.,avus-amita,"<sense level=""1"" n=""I"" id=""n20.0""><hi rend=""ital"">sister of an</hi> abavus, or great - great - grandfather; <cit><quote lang=""la"">also called amita maxima,</quote> <bibl n=""Dig. 38.10.3"">Dig. 38, 10, 3</bibl></cit>; <bibl n=""Dig. 10.17"">10, § 17</bibl>.</sense>"
abante,gloss,ăbante,\N,"ab-ante, like Incircum, insuper, etc.; cf. also the Heb. ",".<sense level=""1"" n=""I"" id=""n21.0""> <hi rend=""ital"">Prep</hi>. with <case>abl.</case>, <hi rend=""ital"">from before</hi>: <cit><quote lang=""la"">abante oculis parcntis rapuerunt nymphae,</quote> <trans><tr>away before the eyes of the father</tr>,</trans> <bibl><author>Inscr. Grut.</author> 717, 11</bibl></cit>. —</sense>"
Abantius,main,"Ăbantĭus, a, um",adj.,\N,"<sense level=""1"" n=""I"" id=""n22.0""><hi rend=""ital"">of Abantia</hi>, <hi rend=""ital"">another name of Euboœa</hi>: <cit><quote lang=""la"">classis,</quote> <trans><tr>Eubosan</tr>,</trans> <bibl n=""urn:cts:latinLit:phi1020.phi002:4:8:46""><author>Stat.</author> S. 4, 8, 46</bibl></cit>.</sense>"
abarcet,main,abarcet,\N,\N,"<bibl n=""urn:cts:latinLit:phi1236.phi001""><author>Fest.</author> p. 15</bibl> Mūll.; cf. abercet. Mūll.; cf. abercet."
Abaris,main,"Ăbăris, ĭdis",n. m.,\N,"<sense level=""1"" n=""I"" id=""n24.0""> <hi rend=""ital"">A Rutulian</hi>, <hi rend=""ital"">slain by Euryalus; acc</hi>. Abarim, <bibl n=""urn:cts:latinLit:phi0690.phi003.perseus-lat1:9:344""><author>Verg.</author> A. 9, 344</bibl>. —</sense>"
Abaritanus,main,"Ăbărĭtānus, a, um",adj.,\N,"<sense level=""1"" n=""I"" id=""n25.0""><hi rend=""ital"">of Abaris, a place in Africa</hi>: <cit><quote lang=""la"">harundo,</quote> <bibl n=""urn:cts:latinLit:phi0978.phi001:16:66""><author>Plin.</author> 16, 36, 66, § 172</bibl></cit>.</sense>"
Abas,main,"Ăbas, antis",n. m.,\N,"=<foreign lang=""greek"">Ἄβας</foreign>. . <sense level=""1"" n=""I"" id=""n26.0""> <hi rend=""ital"">The twelfth king of Argos, son of Lynceus and Hypermnestra</hi>, <hi rend=""ital"">grandson of Danaūs</hi>, <hi rend=""ital"">father of Acrisius</hi>, <hi rend=""ital"">and grandfather of Perseus</hi>. His shield was gained by Æneas, <bibl n=""urn:cts:latinLit:phi0690.phi003.perseus-lat1:3:286""><author>Verg.</author> A. 3, 286</bibl>.—</sense><sense level=""1"" n=""II"" id=""n26.6""> <hi rend=""ital"">A Centaur</hi>, <hi rend=""ital"">son of Ixion</hi>, <bibl n=""urn:cts:latinLit:phi0959.phi006.perseus-lat1:12:306""><author>Ov.</author> M. 12, 306</bibl>.— </sense><sense level=""1"" n=""VI"" id=""n26.10""> <hi rend=""ital"">A Tuscan chieftain</hi>, <bibl n=""urn:cts:latinLit:phi0690.phi003.perseus-lat1:10:170""><author>Verg.</author> A. 10, 170</bibl> and 427.</sense>"
abascantus,greek,"ăbascantus, = a, um",\N,\N,"<foreign lang=""greek"">ὐβὑσκαντος</foreign>, , <sense level=""1"" n=""I"" id=""n27.0""><hi rend=""ital"">unenvied</hi>: <cit><quote lang=""la"">aeon,</quote> <bibl><author>Tert.</author> adv. Gnost. 10</bibl></cit>.</sense>"
abathon,spur,abathon,\N,\N,"<foreign lang=""greek"">ἄβυτον</foreign>.."
Abatos,main,"Abătŏs, i",n. f.,\N,"=<foreign lang=""greek"">Ἄβατος</foreign> (inaccess (ble),  (inaccess (ble), <sense level=""1"" n=""I"" id=""n29.0""><hi rend=""ital"">a rocky island. in the Nile</hi>, not far from Philæ, to which the priests only had access, <bibl n=""urn:cts:latinLit:phi0917.phi001.perseus-lat1:10:323""><author>Luc.</author> 10, 323</bibl> (in <bibl n=""urn:cts:latinLit:phi1017.phi016:4:2:7""><author>Sen.</author> Q. N. 4, 2, 7</bibl>, written as Greek, <foreign lang=""greek"">Ἄβατος</foreign>).</sense>"
abavia,main,"ăb-ăvĭa, ae",n. f.,"avus, avia","<sense level=""1"" n=""I"" id=""n30.0""><hi rend=""ital"">mother of a great-grandfather</hi>, or <hi rend=""ital"">of a great-grandmother</hi>, <bibl n=""Dig. 38.10.1.6"">Dig. 38, 10, 1, § 6</bibl>; <bibl n=""Dig. 10.17"">10, § 17</bibl>.</sense>"
abavunculus,main,"ăb-ăvuncŭlus, i",n. m.,\N,"<sense level=""1"" n=""I"" id=""n31.0""><hi rend=""ital"">great-greatuncle;</hi> also called avunculus maximus, <bibl n=""Dig. 38.10.3"">Dig. 38, 10, 3</bibl>; <bibl n=""Dig. 10.17"">10, § 17</bibl>.</sense>"
abavus,main,"ăb-ăvus, i",n. m.,\N,"<sense level=""3"" n=""1"" id=""n32.0""> (=avi avus, cf. Paul. ex <bibl n=""urn:cts:latinLit:phi1236.phi001""><author>Fest.</author> p. 13</bibl> Mūll.) <hi rend=""ital"">Great-greatgrandfather</hi>, <bibl n=""urn:cts:latinLit:phi0119.phi012.perseus-lat1:2:4""><author>Plaut.</author> Mil. 2, 4, 20</bibl>; <bibl n=""urn:cts:latinLit:phi0474.phi039.perseus-lat1:58:213""><author>Cic.</author> Brut. 58, 213</bibl>; <bibl n=""urn:cts:latinLit:phi0474.phi021.perseus-lat1:11:22""><author>id.</author> Har. Resp. 11, 22</bibl>; <bibl>11, 38</bibl> (B. and K.); <bibl n=""Dig. 38.10.1"">Dig. 38, 10, 1</bibl>, § G; 10, § 15; called by Vergil <hi rend=""ital"">quartus pater</hi>, A. 10, 619.—</sense>"
abax,main,"abax, v. abacus acis",\N,\N,"<sense level=""1"" n=""I"" id=""n33.0""><hi rend=""ital"">init.</hi></sense>"
Abba1,main,"Abba, false read. in ae",\N,\N,"<bibl n=""urn:cts:latinLit:phi0914.phi001:30:7:10""><author>Liv.</author> 30, 7, 10</bibl>, Instead of , Instead of "
abba2,main,"abba, = indecl.",\N,\N,"<foreign lang=""greek"">ἀββᾶ</foreign>; [Chald. Abba, Heb. ab], ; [Chald. Abba, Heb. ab], <sense level=""1"" n=""I"" id=""n35.0""><hi rend=""ital"">father</hi>, <bibl n=""urn:cts:greekLit:tlg0031.tlg002.perseus-grc1:14:36""><author>Vulg.</author> Marc. 14, 36</bibl>; <bibl n=""urn:cts:greekLit:tlg0031.tlg006.perseus-grc1:8:15""><author>ib.</author> Rom. 8, 15</bibl>; <bibl n=""urn:cts:greekLit:tlg0031.tlg009.perseus-grc1:4:6""><author>ib.</author> Gal. 4, 6</bibl>.</sense>"
