lemma,type,orthography,part-of-speech,etymology,entry
abbas,main,"abbās, ātis",n. m.,id.,"<sense level=""1"" n=""I"" id=""n36.0""><hi rend=""ital"">the head of an ecclesiastical community, an abbot</hi> (eccl. Lat.), <bibl><author>Sid.</author> 16, 114</bibl>; Inscr. Mommsen, 3485 (A. D. 468).—Hence, <orth lang=""la"" extent=""full"">abbātissa</orth>, <itype>ae</itype>, <gen>f.</gen>, <hi rend=""ital"">an abbess</hi>, Inscr. Mommsen, 3896 (A. D. 570); and <orth lang=""la"" extent=""full"">abbātĭa</orth>, <itype>ae</itype>, <gen>f.</gen>, <hi rend=""ital"">an abbey</hi> (eccl. Lat.), Hler. <cb n=""ABDI""/></sense>"
Abbassus,main,"Abbassus, i",n. f.,\N,"=<foreign lang=""greek"">Ἄμβασον</foreign>, , <sense level=""1"" n=""I"" id=""n37.0""><hi rend=""ital"">Abbassus</hi>, <hi rend=""ital"">a town in Phrygia</hi>, <bibl n=""urn:cts:latinLit:phi0914.phi001:38:15""><author>Liv.</author> 38, 15 <hi rend=""ital"">fin.</hi></bibl></sense>"
abbreviatio,main,"abbrĕviătio, ōnis",n. f.,abbrevio,"<sense level=""1"" n=""I"" id=""n38.0""><hi rend=""ital"">an abbreviation, a diminution</hi>, <bibl n=""urn:cts:greekLit:tlg0527.tlg048:10:23""><author>Vulg.</author> Isa. 10, 23</bibl>.</sense>"
abbrevio,main,"ab-brĕvĭo, āre",v. freq. a.,ab ,"<sense level=""1"" n=""I"" id=""n39.0""><hi rend=""ital"">to shorten, abridge</hi>, <bibl><author>Veg.</author> Mil. 3</bibl> prol.; <bibl n=""urn:cts:greekLit:tlg0527.tlg048:10:22""><author>Vulg.</author> Isa. 10, 22</bibl>; <bibl n=""urn:cts:greekLit:tlg0031.tlg006.perseus-grc1:9:28""><author>ib.</author> Rom. 9, 28</bibl>.</sense>"
abcido,spur,"ab-cīdo, an incorrect form for ĕre, cīdi",\N,\N,"<sense level=""1"" n=""I"" id=""n40.0""><hi rend=""ital"">abscído</hi>, q. v.</sense>"
Abdalonymus,main,"Abdalonўmus), Abdol-, i",n. m.,\N,"a<sense level=""1"" n=""I"" id=""n41.0""><hi rend=""ital"">Sidonian of royal descent, made king of Sidon by Alexander the Great</hi>, <bibl n=""urn:cts:latinLit:phi0860.phi001:4:1:19""><author>Curt.</author> 4, 1, 19 sq.</bibl>; <bibl n=""Justin 11.10.8""><author>Just.</author> 11, 10, 8</bibl>.</sense>"
Abdera,main,"Abdēra, ōrum",n. n.,\N,"and<itype>ae</itype>, , <gen>f.</gen>, =, =<foreign lang=""greek"">Ἄβὀηρα</foreign>. . <sense level=""1"" n=""I"" id=""n42.0""> <hi rend=""ital"">Abdera, a town on the southern coast of Thrace, not far from the mouth of the Nestus, noted for the stupidity of its inhabitants. It was the birthplace of the philosophers Protagoras, Democritus</hi>, <hi rend=""ital"">and Anaxarchus; n.</hi>, <bibl n=""urn:cts:latinLit:phi0914.phi001:45:29:6""><author>Liv.</author> 45, 29, 6</bibl>; <bibl n=""urn:cts:latinLit:phi1254.phi001.perseus-lat1:5:3:3""><author>Gell.</author> 5, 3, 3</bibl>; <gen>f.</gen>, <bibl n=""urn:cts:latinLit:phi0959.phi010:469""><author>Ov.</author> Ib. 469</bibl>; <bibl n=""urn:cts:latinLit:phi0978.phi001:25:53""><author>Plin.</author> 25, 8, 53, § 94</bibl> dub.; <cit><quote lang=""la"">4, 11, 18, § 42: hic Abdera, non tacente me,</quote> <trans><tr>here was Abdera itself</tr>,</trans> <bibl n=""urn:cts:latinLit:phi0474.phi057.perseus-lat1:4:17:3""><author>Cic.</author> Att. 4, 17, 3</bibl></cit> (4, 16, 6).—</sense>"
abdicatio,main,"abdĭcātĭo, ōnis",n. f.,abdĭco,"<sense level=""1"" n=""I"" id=""n43.0""><hi rend=""ital"">a renouncing, disowning</hi>. </sense><sense level=""3"" n=""2"" id=""n43.2""> <usg type=""dom"">Polit. t. t.</usg>, <hi rend=""ital"">a renunciation of an office, abdication</hi>: <cit><quote lang=""la"">dictaturae,</quote> <bibl n=""urn:cts:latinLit:phi0914.phi001:6:16""><author>Liv.</author> 6, 16 <hi rend=""ital"">fin.</hi></bibl></cit></sense>"
abdicative,main,abdĭcātīvē,adv.,\N,\N
abdicativus,main,"abdĭcătīvus, a, um",adj.,abdĭco,"<sense level=""1"" n=""I"" id=""n45.0""><hi rend=""ital"">negative</hi> (opp. to dedicativus, <hi rend=""ital"">affirmative</hi>), <bibl><author>Pseudo</author> ysp. Dogm. Plat. p. 30</bibl> Elm. (266 Ord.); <bibl><author>Mart. Cap.</author> 4, p. 121</bibl>.—<hi rend=""ital"">Adv.</hi>: <orth lang=""la"" extent=""full"">abdĭcātīvē</orth>, <hi rend=""ital"">negatively</hi>: <cit><quote lang=""la"">concludere,</quote> <bibl><author>Mart. Cap.</author> 4, p. 128</bibl></cit>.</sense>"
abdicatrix,main,"abdĭcātrix, īcis",n. f.,id.,"<sense level=""1"" n=""I"" id=""n46.0""><hi rend=""ital"">she that renounces</hi> or <hi rend=""ital"">disclaims</hi> any thing (eccl. Lat.): <cit><quote lang=""la"">misericordiae (humanitas),</quote> <bibl><author>Salv.</author> adv. Avar. 11, p. 76</bibl></cit>.</sense>"
abdico1,main,"ab-dĭco, āvi, ātum, 1",v. a.,\N,"(prop.<sense level=""1"" n=""I"" id=""n47.0""><hi rend=""ital"">to indicate, announce</hi> something as <hi rend=""ital"">not belonging</hi> to one; hence), </sense><sense level=""2"" n=""A"" id=""n47.3""> Jurid. t. t., <hi rend=""ital"">to renounce</hi> one, partic. a son, <hi rend=""ital"">to disinherit</hi> (post-Aug.): <cit><quote lang=""la"">qui ex duobus legitlmis alterum in adoptionem dederat, alterum abdicaverat,</quote> <bibl n=""urn:cts:latinLit:phi1002.phi001:3:6:97""><author>Quint.</author> 3, 6, 97</bibl></cit>; cf.: <cit><quote lang=""la"">minus dicto audientem fllium,</quote> <bibl n=""urn:cts:latinLit:phi1002.phi001:7:1:14""><author>id.</author> 7, 1, 14</bibl></cit>: <cit><quote lang=""la"">ex meretrice natum,</quote> <bibl n=""urn:cts:latinLit:phi1002.phi001:11:1:82""><author>id.</author> 11, 1, 82 al.</bibl></cit>: <cit><quote lang=""la"">quae in scholis abdicatorum, haee in foro exheredatorum a parcntibus ratio cst,</quote> <bibl n=""urn:cts:latinLit:phi1002.phi001:7:4:11""><author>id.</author> 7, 4, 11</bibl></cit>.—<usg type=""style""><hi rend=""ital"">Absol.</hi></usg>: <cit><quote lang=""la"">pater abdicans,</quote> <bibl n=""urn:cts:latinLit:phi1002.phi001:11:1:59""><author>Quint.</author> 11, 1, 59</bibl></cit>; cf.: <cit><quote lang=""la"">filius abdicantis,</quote> <bibl n=""urn:cts:latinLit:phi1002.phi001:4:2:95""><author>id.</author> 4, 2, 95</bibl></cit>; and: <cit><quote lang=""la"">abdicandi jus,</quote> <bibl n=""urn:cts:latinLit:phi1002.phi001:3:6:77""><author>id.</author> 3, 6, 77</bibl></cit>.—Hence, patrem, <hi rend=""ital"">to disoun</hi>, <bibl n=""urn:cts:latinLit:phi0860.phi001:4:10:3""><author>Curt.</author> 4, 10, 3</bibl>.</sense>"
abdico2,main,"ab-dīco, xi, ctum, 3",v. a.,\N,"A word peculiar to augural and judicial lang. (opp. addīco). *<sense level=""1"" n=""I"" id=""n48.0""> Of an unfavorable omen, <hi rend=""ital"">nod to assent to</hi>: <cit><quote lang=""la"">cum tres partes (vineae) aves abdixissent,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi053.perseus-lat2:1:17:31""><author>Cic.</author> Div. 1, 17, 31</bibl></cit>.—</sense>"
abdite,main,abdĭtē,adv.,\N,"v. abdo,<sense level=""1"" n=""I"" id=""n49.0""><hi rend=""ital"">P. a. fin</hi>.</sense>"
abditivus,main,"abdĭtīvus, a, um",adj.,abdo,"<sense level=""1"" n=""I"" id=""n50.0""> <hi rend=""ital"">Removed or separated from</hi> = remotus, sejunctus: <cit><quote lang=""la"">a patre,</quote> <bibl n=""urn:cts:latinLit:phi0119.phi015.perseus-lat1:prol""><author>Plaut.</author> Poen. prol. 65</bibl></cit>.—</sense>"
abditus,main,"abdĭtus, a, um",\N,\N,<mood>Part.</mood> of abdo. of abdo.
abdo,main,"ab-do, ĭdi, ĭtum, 3",v. a.,2. do,"<sense level=""1"" n=""I"" id=""n52.0""> <usg type=""style"">Lit.</usg>, <hi rend=""ital"">to put away, remove</hi>: and abdere se, <hi rend=""ital"">to go away, betake one's self</hi> to some place: <cit><quote lang=""la"">ex conspectu eri sui se abdiderunt,</quote> <bibl n=""urn:cts:latinLit:phi0119.phi016.perseus-lat1:4:7""><author>Plaut.</author> Ps. 4, 7, 5</bibl></cit>: <cit><quote lang=""la"">pedestres copias paulum ab eo loco abditas in locis superioribus constituunt,</quote> <trans><tr>removed, withdrawn</tr>,</trans> <bibl n=""urn:cts:latinLit:phi0448.phi001.perseus-lat1:7:79:2""><author>Caes.</author> B. G. 7, 79, 2</bibl></cit>; so with <hi rend=""ital"">ab</hi>: <cit><quote lang=""la"">ascensu abdito a conspectu,</quote> <bibl n=""urn:cts:latinLit:phi0914.phi001:10:14:14""><author>Liv.</author> 10, 14, 14</bibl></cit>: <cit><quote lang=""la"">procul ardentes hinc precor abde faces,</quote> <trans><tr>remove</tr>,</trans> <bibl n=""urn:cts:latinLit:phi0060.phi001:2:1:82""><author>Tib.</author> 2, 1, 82</bibl></cit>.—The <hi rend=""ital"">terminus ad quem</hi> is usually expressed by <hi rend=""ital"">in</hi> with <hi rend=""ital"">acc.</hi>: <cit><quote lang=""la"">abdidit se in intimam Macedoniam quo potuit longissime a castris,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi056.perseus-lat1:13:29:4""><author>Cic.</author> Fam. 13, 29, 4</bibl></cit>; so, <cit><quote lang=""la"">se in contrariam partem terrarum,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi014.perseus-lat1:41:89""><author>id.</author> Mur. 41, 89</bibl></cit>: se in classem, Dolab. ap. <bibl n=""urn:cts:latinLit:phi0474.phi056.perseus-lat1:9:9:2""><author>Cic.</author> Fam. 9, 9, 2</bibl>: <cit><quote lang=""la"">se in Menapios,</quote> <trans><tr>to depart</tr>,</trans> <bibl n=""urn:cts:latinLit:phi0448.phi001.perseus-lat1:6:5:5""><author>Caes.</author> B. G. 6, 5, 5</bibl></cit>: <cit><quote lang=""la"">In silvam Arduennam,</quote> <bibl><author>id.</author> ib. 5, 3, 4</bibl></cit>: <cit><quote lang=""la"">exercitum in interiora,</quote> <trans><tr>to uithdraw</tr>,</trans> <bibl n=""urn:cts:latinLit:phi1044.phi001""><author>Vell.</author> 2, 110, 3</bibl></cit>: <cit><quote lang=""la"">ea in insulam Seriphon abdita est (=ex humanā societate quasi expulsa),</quote> <trans><tr>banished, exiled</tr>,</trans> <bibl n=""urn:cts:latinLit:phi1351.phi005.perseus-lat1:2:85""><author>Tac.</author> A. 2, 85</bibl></cit>: <cit><quote lang=""la"">se in bibliothecam,</quote> <trans>i. e. <tr>to retire to</tr>,</trans> <bibl n=""urn:cts:latinLit:phi0474.phi056.perseus-lat1:7:28""><author>Cic.</author> Fam. 7, 28</bibl></cit>; cf.: <cit><quote lang=""la"">se totum in litteras,</quote> <bibl><author>id.</author> ib. 7, 33, 2</bibl></cit>.—Rarely with other <hi rend=""ital"">prepositions</hi> or with <hi rend=""ital"">local adv.</hi>: Audisne haec, Amphiaraë, sub terram abdite? Poët. (Att.?) ap. <bibl n=""urn:cts:latinLit:phi0474.phi049.perseus-lat1:2:25:60""><author>Cic.</author> Tusc. 2, 25, 60</bibl>; so with <hi rend=""ital"">sub</hi>, <bibl n=""urn:cts:latinLit:phi0550.phi001:4:419""><author>Lucr.</author> 4, 419</bibl>: <cit><quote lang=""la"">se rus,</quote> <bibl n=""urn:cts:latinLit:phi0134.phi005.perseus-lat1:1:2""><author>Ter.</author> Hec. 1, 2, 99</bibl></cit>: <cit><quote lang=""la"">se domum,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi027.perseus-lat1:38:92""><author>Cic.</author> Pis. 38, 92</bibl></cit>: <cit><quote lang=""la"">se Arpinum,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi057.perseus-lat1:9:6:1""><author>id.</author> Att. 9, 6, 1</bibl></cit>.</sense>"
Abdolonymus,main,Abdŏlŏnўmus,\N,\N,"<sense level=""1"" n=""I"" id=""n53.0""><hi rend=""ital"">v.</hi> Abdalonymus.</sense>"
abdomen,main,"abdŏmĕn, ĭnis",n. n.,"etym. uncertain; perh. for adipomen, from adeps, or perh. from abdo, to conceal, cover","<sense level=""1"" n=""I"" id=""n54.0""><hi rend=""ital"">the fat lower part of the belly, the paunch, abdomen</hi>, <foreign lang=""greek"">λαπάρα</foreign>. </sense>"
abduco,main,"ab-dūco, xi, ctum, 3",\N,\N,"<sense level=""1"" n=""I"" id=""n55.0""><hi rend=""ital"">v</hi>. <hi rend=""ital"">a</hi>. (ABDOVCIT =abduit, in the epitaph of Scipio, <bibl><author>Inscr. Orell.</author> 550</bibl>; <hi rend=""ital"">perf</hi>. abduxti, <bibl n=""urn:cts:latinLit:phi0119.phi008.perseus-lat1:5:2""><author>Plaut.</author> Curc. 5, 2, 16</bibl>; <hi rend=""ital"">imper</hi>. abduce, <bibl n=""urn:cts:latinLit:phi0119.phi004.perseus-lat1:4:9""><author>id.</author> Bacch. 4, 9, 108</bibl>; <bibl n=""urn:cts:latinLit:phi0119.phi008.perseus-lat1:5:3""><author>id.</author> Curc. 5, 3, 15</bibl>; <bibl n=""urn:cts:latinLit:phi0134.phi006.perseus-lat1:3:4:36""><author>Ter.</author> Ad. 3, 4, 36</bibl>; <bibl n=""urn:cts:latinLit:phi0134.phi004.perseus-lat1:2:3:63""><author>id.</author> Phorm. 2, 3, 63</bibl>; <cit><quote lang=""la"">but also abduc,</quote> <bibl n=""urn:cts:latinLit:phi0134.phi003.perseus-lat1:2:3""><author>id.</author> Eun. 2, 3, 86</bibl></cit>), <hi rend=""ital"">to lead one away, to take or bring with one, to carry off, take or bring away, remove,</hi> etc.</sense><sense level=""3"" n=""1"" id=""n55.13""><hi rend=""ital"">To seduce, alienate</hi> from fidelity or allegiance: <cit><quote lang=""la"">legiones a Bruto,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi035.perseus-lat1:10:3:6""><author>Cic.</author> Phil. 10, 3, 6</bibl></cit>: <cit><quote lang=""la"">exercitum ab illo,</quote> <bibl><author>id.</author> ib. 10, 4, 9</bibl></cit>: <cit><quote lang=""la"">equitatum a consule,</quote> <bibl><author>id.</author> ib. 11, 12, 27</bibl></cit> al.</sense>"
abductio,main,"abductĭo, ōnis",n. f.,"abduco, I.B. 3.","<sense level=""1"" n=""I"" id=""n56.0""> <hi rend=""ital"">A forcible carrying off, ravishing, robbing</hi>, Cod. Th. 4, 8, 5, § 5; 11, 10, 1. —</sense><sense level=""1"" n=""II"" id=""n56.2""><hi rend=""ital"">A retirement</hi>, <bibl n=""urn:cts:greekLit:tlg0527.tlg034:38:20""><author>Vulg.</author> Eccli. 38, 20</bibl>.</sense>"
abductus,main,"abductus, a, um",\N,\N,<mood>Part.</mood> of abduco. of abduco.
Abeatae,main,"Abeātae, arum",n. m.,\N,"<sense level=""1"" n=""I"" id=""n58.0""><hi rend=""ital"">the Abeatoe</hi>, inhabitants of A bea in Achaia, <bibl n=""urn:cts:latinLit:phi0978.phi001:4:22""><author>Plin.</author> 4, 6, 10, § 22</bibl>.</sense>"
abecedarius,main,"ăbĕcĕdārĭus a, um",\N,"a, b, c, d","<sense level=""1"" n=""I"" id=""n59.0""><hi rend=""ital"">belonging to the alphabet, alphabetical</hi> (late Lat.). </sense><sense level=""1"" n=""II"" id=""n59.2""><hi rend=""ital"">Subst</hi>. </sense><sense level=""2"" n=""B"" id=""n59.4""> <orth lang=""la"" extent=""full"">ăbĕcĕdārĭa</orth>, <itype>ae</itype>, <gen>f.</gen>, <hi rend=""ital"">elementary instruction</hi>, <bibl><author>Fulg.</author> Myth. 3, 10</bibl>. —</sense>"
Abel,main,"Ăbēl or ēlls, and indecl., Ăbēlus, i",n. m.,\N,"<sense level=""1"" n=""I"" id=""n60.0""><hi rend=""ital"">Abel, son of Adam,</hi> Vulg. —Hence, Abelĭca Virtus, Mythogr. Vatic. 3, 6, 15.</sense>"
Abella,main,"Ăbella, ae",n. f.,\N,"<sense level=""1"" n=""I"" id=""n61.0""><hi rend=""ital"">a town in Campania, near Nolu, abounding in fruit-trees and nuts</hi>, now <hi rend=""ital"">Avella</hi>, <bibl n=""Sil. Ital. 8.545""><author>Sil.</author> 8, 545</bibl>: <cit><quote lang=""la"">malifera,</quote> <bibl n=""urn:cts:latinLit:phi0690.phi003.perseus-lat1:7:740""><author>Verg.</author> A. 7, 740</bibl></cit>. —Hence, <orth lang=""la"" extent=""full"">Abellāna</orth> <itype>nux or Avellana, also Abellina</itype>, <hi rend=""ital"">the filbert</hi>, <bibl n=""urn:cts:latinLit:phi0978.phi001:15:24""><author>Plin.</author> 15, 22, 24, § 88</bibl>; and <orth lang=""la"" extent=""full"">Abellani</orth>, <hi rend=""ital"">the inhabitants of Abella</hi>, <bibl n=""Justin 20.1""><author>Just.</author> 20, 1</bibl>.</sense>"
Abellinum,main,"Abellīnum, i",n. n.,\N,"<sense level=""1"" n=""I"" id=""n62.0""><hi rend=""ital"">Abellinum, a city of the Hirpini, in Italy</hi>, <bibl n=""urn:cts:latinLit:phi0978.phi001:3:5""><author>Plin.</author> 3, 5, 9, § 63</bibl>; hence, <orth lang=""la"" extent=""full"">Abellīnātes</orth>, <itype>ium</itype>, <gen>m.</gen>, <hi rend=""ital"">the inhabitants of Abellinum</hi>, <bibl n=""urn:cts:latinLit:phi0978.phi001:3:11""><author>id.</author> 3, 16, 11, § 105</bibl>; another town of this name in Italy is referred to by Pliny, 1. 1.</sense>"
Abellio,main,"Abellĭo, ōnis",n. m.,\N,"<sense level=""1"" n=""I"" id=""n63.0""><hi rend=""ital"">the name of a Gallic deity</hi>, Inser. Orell. 1952 sq.</sense>"
abemito,gloss,ăbemĭto (significat demito vel auferto,\N,\N,"<sense level=""1"" n=""I"" id=""n64.0""><hi rend=""ital"">take away</hi>); EMERE enim antiqui dicebant pro accipere, Paul. ex <bibl n=""urn:cts:latinLit:phi1236.phi001""><author>Fest.</author> p. 4</bibl> Müll.; cf. adimo.</sense>"
abeo,main,"ăb-ĕo, ĭvi or ii, ītum, īre",v. n.,\N,"(abin= abisne, Plaut. and Ter.; abiit, dissyl., v. Herm. Doctr. Metr. p. 153),<sense level=""1"" n=""I"" id=""n65.0""><hi rend=""ital"">to go from</hi> a place, <hi rend=""ital"">to go away, depart</hi>. </sense><sense level=""2"" n=""B"" id=""n65.3"">In partic. </sense><sense level=""3"" n=""1"" id=""n65.4""><hi rend=""ital"">To pass away</hi>, so that no trace remains; <hi rend=""ital"">to disappear, vanish, cease</hi>. </sense><sense level=""4"" n=""c"" id=""n65.7"">Of other things: <cit><quote lang=""la"">per inane profundum,</quote> <bibl n=""urn:cts:latinLit:phi0550.phi001:1:1108""><author>Lucr.</author> 1, 1108</bibl></cit>: <cit><quote lang=""la"">nausea jam plane abiit?</quote> <bibl n=""urn:cts:latinLit:phi0474.phi057.perseus-lat1:14:10:2""><author>Cic.</author> Att. 14, 10, 2</bibl></cit>; so <bibl n=""urn:cts:latinLit:phi0474.phi056.perseus-lat1:9:20""><author>id.</author> Fam. 9, 20</bibl>; <bibl n=""urn:cts:latinLit:phi0959.phi006.perseus-lat1:7:290""><author>Ov.</author> M. 7, 290 al.</bibl></sense><sense level=""3"" n=""1"" id=""n65.12"">With <hi rend=""ital"">abl., to retire from</hi> an office or occupation: <cit><quote lang=""la"">abiens magistratu,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi027.perseus-lat1:3:6""><author>Cic.</author> Pis. 3, 6</bibl></cit>; <bibl n=""urn:cts:latinLit:phi0474.phi056.perseus-lat1:5:2:7""><author>id.</author> Fam. 5, 2, 7</bibl>: <bibl n=""urn:cts:latinLit:phi0914.phi001:2:27""><author>Liv.</author> 2, 27 <hi rend=""ital"">fin.</hi></bibl>; <bibl n=""urn:cts:latinLit:phi0914.phi001:3:38"">3, 38</bibl> <hi rend=""ital"">fin.</hi> al.; so, <cit><quote lang=""la"">abire consulatu,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi057.perseus-lat1:1:16:5""><author>Cic.</author> Att. 1, 16, 5</bibl></cit>; cf. <cit><quote lang=""la"">flaminio,</quote> <bibl n=""urn:cts:latinLit:phi0914.phi001:26:23""><author>Liv.</author> 26, 23 <hi rend=""ital"">fin.</hi></bibl></cit>: <cit><quote lang=""la"">sacerdotio,</quote> <bibl n=""urn:cts:latinLit:phi1254.phi001.perseus-lat1:6:7:4""><author>Gell.</author> 6, 7, 4</bibl></cit>: <cit><quote lang=""la"">honore,</quote> <bibl n=""urn:cts:latinLit:phi1348.phi012:26""><author>Suet.</author> Aug. 26</bibl></cit>: <cit><quote lang=""la"">tutelā,</quote> <bibl n=""Dig. 26.4.3.8"">Dig. 26, 4, 3, § 8</bibl></cit>; cf.: <cit><quote lang=""la"">tutelā vel curā,</quote> <bibl n=""Dig. 26.10.3.18"">ib. 26, 10, 3, § 18 al.</bibl></cit></sense>"
Abeona,main,"Ăbĕōna, ae",n. f.,abeo,"<sense level=""1"" n=""I"" id=""n66.0""><hi rend=""ital"">the goddess of departing</hi> children, <bibl><author>Aug.</author> Civ. Dei</bibl>, 4, 21.</sense>"
abequito,hapax,"ăb-ĕquĭto, āre",\N,\N,"<sense level=""1"" n=""I"" id=""n67.0""><pos>v. n.</pos>, <hi rend=""ital"">to ride away</hi>: <cit><quote lang=""la"">ut praetores pavidi abequitaverint Syracu sas,</quote> <bibl n=""urn:cts:latinLit:phi0914.phi001:24:31:10""><author>Liv.</author> 24, 31, 10</bibl></cit>: v. Weissenb. ad b 1. <pb n=""7""/> <cb n=""ABHO""/></sense>"
abercet,gloss,ăbercet,\N,\N,"<bibl n=""urn:cts:latinLit:phi1236.phi001""><author>Fest.</author> p. 25</bibl> Müll. Müll."
aberratio,main,"ăberrātĭo, ōnis",n. f.,"aberro, II. B.","<sense level=""1"" n=""I"" id=""n69.0""><hi rend=""ital"">a relief</hi> from something, <hi rend=""ital"">a diversion;</hi> perh. only in Cicero (and in him only in two passages): <cit><quote lang=""la"">a dolore,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi057.perseus-lat1:12:38:3""><author>Att.</author> 12, 38, 3</bibl></cit> (cf. ib. § <cit><quote lang=""la"">1: non equidem levor, sed tamen aberro): a molestiis,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi056.perseus-lat1:15:18:1""><author>id.</author> Fam. 15, 18, 1</bibl></cit>.</sense>"
aberro,main,"ăb-erro, āvi, ātum, 1",v. n.,\N,"<sense level=""1"" n=""I"" id=""n70.0""><hi rend=""ital"">to wander from the way</hi>, <hi rend=""ital"">to go astray.</hi> </sense><sense level=""2"" n=""A"" id=""n70.3""> (Like abeo, II. A.) <hi rend=""ital"">To wander from</hi>, <hi rend=""ital"">stray</hi>, or <hi rend=""ital"">deviate from</hi> a purpose, subject, etc. (Ciceronian): <cit><quote lang=""la"">a regulā et praescriptione naturae,</quote> <bibl><author>Cic.</author> Acc. 2, 46, 140</bibl></cit>: <cit><quote lang=""la"">ne ab eo, quod propositum est, longius aberret oratio,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi008.perseus-lat1:19""><author>id.</author> Caecin. 19</bibl></cit>; so <bibl n=""urn:cts:latinLit:phi0474.phi055.perseus-lat1:1:28""><author>id.</author> Off. 1, 28</bibl>; <bibl>1, 37</bibl>; <bibl n=""urn:cts:latinLit:phi0474.phi048.perseus-lat1:5:28""><author>id.</author> Fin. 5, 28 al.</bibl>—Also without <hi rend=""ital"">ab</hi>: <cit><quote lang=""la"">vereor ne nihil conjecturā aberrem,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi057.perseus-lat1:14:22""><author>Cic.</author> Att. 14, 22</bibl></cit> (with a conjecturā, <bibl n=""urn:cts:latinLit:phi0474.phi050.perseus-lat1:1:36:100""><author>id.</author> N. D. 1, 36, 100</bibl>): <cit><quote lang=""la"">etiam si aberrare ad alia coeperit, ad haec revocetur oratio,</quote> <bibl n=""urn:cts:latinLit:phi0474.phi055.perseus-lat1:1:37""><author>id.</author> Off. 1, 37 <hi rend=""ital"">fin.</hi></bibl></cit>: <cit><quote lang=""la"">rogo, ut artificem (sc. pictorem), quem elegeris, ne in melius quidem sinas aberrare,</quote> <trans><tr>that the painter should not depart from the original</tr>, <tr>even to improve it</tr>,</trans> <bibl n=""Plin. Ep. 4.28""><author>Plin.</author> Ep. 4, 28 <hi rend=""ital"">fin.</hi></bibl></cit>—</sense>"
abfore,main,"abfŏre, v. absum.abfŏrem",\N,\N,v. absum.
abgregare,gloss,"abgrĕgāre, Paul. ex est a grege ducere",\N,\N,"<bibl n=""urn:cts:latinLit:phi1236.phi001""><author>Fest.</author> p. 23</bibl> Müll. Müll."
abhiemo,spur,abhĭĕmo,\N,\N,"<bibl n=""urn:cts:latinLit:phi0978.phi001:18:81""><author>Plin.</author> 18, 35, 81, § 354</bibl>.."
abhinc,main,ăb-hinc,\N,\N,"<sense level=""1"" n=""I"" id=""n74.0""><hi rend=""ital"">temp. adv.</hi> </sense><sense level=""1"" n=""II"" id=""n74.2""> Of past time, <hi rend=""ital"">ago</hi>, <hi rend=""ital"">since;</hi> with <case>acc.</case> or <case>abl.</case>, and the <hi rend=""ital"">cardin. num.</hi> (except the comic poets most freq. in Cic., both in his Orations and Letters). </sense>"
