lex_ref_link_id,reflex,gloss_eng,lemma_id,lemma,gloss,entry_str
17007,indred,attack,5210,indred,verbal noun of in·reith:,"verbal noun of in·reith:; incursion, invasion, attack"
17008,deired,"rest, end",1593,deired,"remainder, residue","remainder, residue"
17009,torad,yield,3802,torad,fruit (of a plant),fruit (of a plant)
17021,roth,wheel,1663,roth,wheel,wheel
17052,gaimred,winter,2651,gaimred,winter,winter
17099,ruis,elder,789,ruis,inflection of ros:,inflection of ros:; vocative/genitive singular
17133,rúad,red,1709,rúad,"red, reddish","red, reddish"
17180,ruccae,"disgrace, shame",5457,ruccae,"shame, disgrace","shame, disgrace"
17271,salann,salt,1213,salann,salt,salt
17311,net,nest,212,net,nest,nest
17368,síd,"fairy mound, peace",2386,síd,fairy mound,fairy mound
17551,súil,eye,1205,súil,eye,eye
17596,selige,"turtle, snail; snake (later)",1934,selige,Any animal with a shell,Any animal with a shell:
17625,siniu,older,4777,siniu,comparative degree of sen,comparative degree of sen
17666,suth,"fruit, yield, children, offspring",4203,suth,produce,produce
17874,sruth,"river, stream",1412,sruth,"stream, river, current","stream, river, current"
17964,tiug,"thick, dense",2379,tiug,thick,thick
17972,teg,house,728,teg,alternative form of tech,alternative form of tech
17973,tech,house,292,tech,house,house
17983,tugae,covering,4492,tugae,"verbal noun of tuigithir: covering, cover","verbal noun of tuigithir: covering, cover"
18025,déis,"vassal, tenant, fief",5371,déis,"tenant, vassal","tenant, vassal"
18308,sessam,"standing, stand",1649,sessam,verbal noun of sissidir: standing,verbal noun of sissidir: standing
18566,súan,sleep,1814,súan,"slumber, sleep","slumber, sleep"
18608,siur,sister,1529,siur,sister,sister
18813,tan,time,57,tan,time,(point in) time
18841,tanae,"thin, narrow, slender",2380,tanae,thin,thin
18889,tess,heat,1024,tess,heat,heat
18902,tene,fire,1669,tene,alternative spelling of teine,alternative spelling of teine
18924,tír,"land, region, earth",1333,tír,"land, country, territory, ground","land, country, territory, ground"
18962,treb,"house, homestead",3391,treb,"house, farm","house, farm"
19053,uisce,water,455,uisce,water,water
19111,fíadu,witness,5445,fíadu,witness,witness
19253,ferr,better,1677,ferr,"comparative degree of maith: better, best","comparative degree of maith: better, best"
19353,ubull,apple,1643,ubull,apple,apple
19427,ad-,\N,438,ad-,"to, towards","to, towards"
19709,āigthiu,\N,3714,áigthiu,verbal noun of ad·ágathar (“to fear”),verbal noun of ad·ágathar (“to fear”)
20535,aire,"nobleman, free man",318,aire,freeman (whether commoner or noble),freeman (whether commoner or noble)
20538,oll,"ample, large, comprehensive",2378,oll,"great, vast","great, vast"
20546,oldaas,"than I, than he",3899,oldaas,"than (s/he is, etc.)","than (s/he is, etc.)"
20553,al,"beyond, over - out",61,al,beyond,beyond
20559,alltar,the beyond; wild regions lying beyond,3457,alltar,"the next world, hereafter","the next world, hereafter"
20602,aile,other,426,aile,"other, second, one (of two)","other, second, one (of two)"
20650,alam,herd,1061,alam,"herd, flock","herd, flock"
20680,altram,nourishment,1004,altram,verbal noun of ailid,verbal noun of ailid
21003,imb-,around,3632,imb-,alternative spelling of imm-,alternative spelling of imm-
21004,imm-,around,4684,imm-,"around, about","around, about"
21146,anāl,breath,2043,anál,"breathing, breath","breathing, breath"
21153,animm,soul,5322,animm,alternative spelling of ainimm,alternative spelling of ainimm
21158,osnad,sigh,6307,osnad,"sigh, groan","sigh, groan"
21159,anaid,"remains, rests, ceases",3209,anaid,"to stay, remain","to stay, remain"
21529,āinne,"ring, anus",5989,áinne,ring,ring
21582,étan,forehead,1511,étan,brow,brow
22115,rīm,number,1158,rím,verbal noun of rímid,verbal noun of rímid
22116,āram,number,1278,áram,verbal noun of ad·rími,verbal noun of ad·rími
22258,aird,"point, tip, cardinal direction",535,aird,inflection of ard:,inflection of ard:; masculine vocative/genitive singular
22484,aith-,"again, un-",2472,aith-,re-,"(with verbs, verbal nouns) re-"
22509,to-,to,758,to-,prefix used to create verbs and associated verbal nouns,prefix used to create verbs and associated verbal nouns
22616,ūathad,"detail, isolation",2375,úathad,"a small number, a few","a small number, a few"
23601,bacc,"hook, crook",3123,bacc,"hoe, mattock","hoe, mattock"
