lex_ref_link_id,reflex,gloss_eng,lemma_id,lemma,gloss,entry_str
24213,bān,white,525,bán,white,white
24499,brot,sting,903,brot,goad,goad
24633,bés,perhaps,2879,bés,perhaps,perhaps
24932,bīthe,"struck, beaten",6462,bíthe,past participle of benaid,past participle of benaid
24933,fo bīth,because,5252,fo bíth,"because, since","because, since"
24946,bīáil,axe,4593,biáil,"axe, hatchet","axe, hatchet"
26319,brecc,spotted,1830,brecc,"speckled, spotted, flecked","speckled, spotted, flecked"
26712,both,hut,55,both,alternative form of buith,alternative form of buith
26723,bīth,be! (imper.),474,bith,alternative spelling of bíth,alternative spelling of bíth
26864,buide,"satisfaction, thanks",1764,buide,thanks,thanks
27838,brū,"belly, body",621,brú,"belly, abdomen","belly, abdomen"
28104,dām,"retinue, troop",1331,dám,"company, retinue, party","company, retinue, party"
28285,dēr,tear,1306,dér,"tear, teardrop (from the eyes)","tear, teardrop (from the eyes)"
28427,do,to,84,do,"to, for","to, for"
28428,du,to,134,du,alternative form of do,alternative form of do
28447,ind-,in,2947,ind-,"inside, within","inside, within"
28466,dī,"from - down, from - away",277,di,"of, from","of, from"
28640,dia,god,97,día,god,god
28717,dēne,swiftness,656,dene,alternative spelling of déne,alternative spelling of déne
28939,deich,ten,1146,deich,ten,ten
29022,cēt,one hundred,1438,cét,hundred,hundred
29437,dam,ox,162,dam,ox,ox
30111,derc,eye,1845,derc,eye,eye
30209,drūi,druid,2559,druí,"druid, sorcerer","druid, sorcerer"
30414,doïd,"exercises, attends to",2534,dóid,third-person singular perfect prototonic of ithid,third-person singular perfect prototonic of ithid
30880,do-,difficult,969,do-,"impossible, extremely difficult","impossible, extremely difficult"
31009,dïas,pair of persons,1833,dias,"pair, couple (used of persons only, whereas déde is used of things)","pair, couple (used of persons only, whereas déde is used of things)"
31065,dīabul,twofold,4791,díabul,double,double
31074,dēde,pair of things,4740,déde,two things,two things
31455,dāl,assembly,1196,dál,"meeting, encounter","meeting, encounter"
32200,daingen,"firm, strong",1854,daingen,"strong, firm, solid","strong, firm, solid"
32862,dūn,citadel,377,dun,alternative spelling of dún (“fort(ress)”),alternative spelling of dún (“fort(ress)”)
32905,dub,black,62,dub,black,black
33021,dall,blind,776,dall,blind,blind
33452,droch,wheel,1000,droch,wheel,wheel
33880,ē,he,662,é,he,he
33893,a,her,612,á,"alternative form of a (“his, her, its, their”)","alternative form of a (“his, her, its, their”)"
34119,ōen,one,2376,óen,one,one
34305,dēt,tooth,2624,dét,tooth,tooth
34321,dind,"hill, elevation",4903,dind,"height, hill","height, hill"
34480,a,out of,616,á,alternative form of a (“out of”),alternative form of a (“out of”)
34689,ā,"axle, wagon",615,á,"cart, chariot","cart, chariot"
35496,in-,in,224,in-,in,in
35497,in-,in,224,in-,in,in
36910,ard,"high, great",518,ard,high,high
36990,am,to be,195,am,first-person singular present indicative of is; am,first-person singular present indicative of is; am
36992,is,to be,19,is,to be,to be
38367,gaile,stomach,2191,gaile,stomach,stomach
38483,glan,pure,490,glan,clean,clean
38932,ingen,girls,664,ingen,daughter,daughter
39030,gnāth,"accustomed, known",1666,gnáth,customary,customary
40920,gēiss,swan,3022,géiss,swan,swan
41085,dū,"place, spot",933,dú,"place, spot","place, spot"
42461,cing,warrior,2470,cing,"warrior, champion","warrior, champion"
42654,grían,sun,1492,grían,sun,sun
43792,baĩd,dies,1397,baid,to die,to die
43798,bās,death,1496,bás,verbal noun of baïd (“to die”): death,verbal noun of baïd (“to die”): death
44044,bith,world,472,bith,world,world
44052,biad,"food, fare",2666,bíad,food,food
44087,biu,living,270,biu,first-person singular future absolute of benaid,first-person singular future absolute of benaid
44088,beo,living,1516,béo,alive,alive
44357,ben,woman,75,ben,woman,woman
44584,brīg,"strength, power, worth",1695,bríg,"force, power","force, power"
46025,ōa,younger,1236,óa,comparative degree of óc (“young”),comparative degree of óc (“young”)
46219,sī,her,178,si,alternative spelling of sí (“she”),alternative spelling of sí (“she”)
46289,carae,friend,1945,carae,friend,friend
46514,caech,"one-eyed, squinting, blind",3020,cáech,blind in one eye,blind in one eye
46729,calad,hard,879,calad,hard,hard
47600,cōim,dear,3936,coím,inflection of cóem:,inflection of cóem:; masculine vocative/genitive singular
48930,cenēl,"sex, gender",2023,cenél,race (group of people set apart from others on the basis of a common heritage),race (group of people set apart from others on the basis of a common heritage)
48936,caín,beautiful,4616,caín,"fine, good","fine, good"
49883,cretim,believe,3834,cretim,alternative spelling of creitim: accusative/dative singular of cretem,alternative spelling of creitim: accusative/dative singular of cretem
51471,cē,"here, on this side",190,ce,alternative form of cía,alternative form of cía
51691,co,"to, until",185,co,"to, toward","to, toward"
53267,cāch,each,3635,cach,"each, every","each, every"
53409,cid,what?,1452,cid,what?,(interrogative) what?
53478,co,how?,184,co,how?,how?
53765,loch,"lake, pond",144,loch,lake,lake
54099,lige,"bed, grave",856,lige,verbal noun of laigid,verbal noun of laigid
54440,slige,comb,1011,slige,reed of a loom,reed of a loom
54648,līach,"miserable, unhappy",1693,líach,wretched,wretched
55143,lind,"water, pond, lake",673,lind,"a body of water: pool, lake","a body of water: pool, lake"
55496,loth,dirt,697,loth,mud,mud
56174,līn,net,947,lín,"linen, cloth, thread","linen, cloth, thread"
56306,maith,good,1068,maith,good,good
56544,máel,"bald, blunt, without horns",2437,máel,"bald, bare, shaved, shorn, tonsured","bald, bare, shaved, shorn, tonsured; (pre-Christian) as of a slave."
56848,mé,I,81,me,alternative spelling of mé (“I”),alternative spelling of mé (“I”)
56994,mōr,great,514,mór,"big, great","big, great"
57016,móu,more,1021,mou,comparative degree of mór,comparative degree of mór
57021,mēit,size,3920,méit,"size, magnitude","size, magnitude"
57093,midiur,"cogito, judico",6302,midiur,first-person singular present indicative absolute of midithir,first-person singular present indicative absolute of midithir
57182,messa,worse,487,messa,comparative degree of olc: worse,comparative degree of olc: worse
57612,mesc,drunk,2658,mesc,"drunk, intoxicated","drunk, intoxicated"
57685,messa,worse,487,messa,comparative degree of olc: worse,comparative degree of olc: worse
58231,mil,honey,425,mil,honey,honey
58264,mīl,(small) animal,1241,míl,animal,animal
58506,mīn,"smooth, gentle",457,min,dative/accusative singular of men,dative/accusative singular of men
58926,marb,dead,1784,marb,dead,dead
60178,nō̆,or,1062,nó,or,or
60210,nī̆,not,863,ní,not,not
60215,nī,is not,864,ní,"is not, isn’t","is not, isn’t"
60234,in-,negation particle,226,in-,"alternative form of an- (“un-, not”)","alternative form of an- (“un-, not”)"
