lex_ref_link_id,reflex,gloss_eng,lemma_id,lemma,gloss,entry_str
10674,dělja,because of,1808,дѣлꙗ,"for, because of","for, because of"
11375,znati,"know, get to know",628,знати,to know,to know
11797,žito,grain,182,жито,grain,grain
12028,jętry,"sister-in-law, brother of man's wife",3230,ѩтрꙑ,sister-in-law (brother's wife),sister-in-law (brother's wife)
12093,jasti,eat,677,ꙗсти,to eat,to eat
12106,jasli,manger,2393,ꙗсли,manger,(plural only) manger
12295,xoditi,"go, walk, move",349,ходити,"to walk, to go (on foot)","to walk, to go (on foot)"
13111,junota,"young man, young person",884,юнота,young man,young man
13116,junoša,"young man, youth",2254,юноша,"youngster, young man","youngster, young man"
13160,kamy,stone,448,камꙑ,stone,stone
13229,osla,whetstone,895,осла,whetstone,whetstone
13332,ǫza,"band, fetter",825,ѫза,"shackle, fetter","shackle, fetter"
13339,ǫže,rope,824,ѫже,rope,rope
13835,uxo,"lex_ref_link_id 13806    ear; hearing 13806    ear; hearing Name: gloss_eng, dtype: object",292,оухо,ear,ear
13836,uxo,"lex_ref_link_id 13806    ear; hearing 13806    ear; hearing Name: gloss_eng, dtype: object",292,оухо,ear,ear
13837,ušesa,"lex_ref_link_id 13807    ear; hearing 13807    ear; hearing Name: gloss_eng, dtype: object",2525,ушеса,nominative plural of ухо (uxo),nominative plural of ухо (uxo)
13838,ušesa,"lex_ref_link_id 13807    ear; hearing 13807    ear; hearing Name: gloss_eng, dtype: object",2525,ушеса,nominative plural of ухо (uxo),nominative plural of ухо (uxo)
13940,suxota,dryness,2157,соухота,"dryness, drought","dryness, drought"
14158,vesna,spring,642,весна,spring,spring
14484,usta,mouth,221,оуста,mouth,(plural only) mouth
14773,slana,"hoarfrost, ice precipitation",875,слана,hoarfrost,hoarfrost
14893,sluti,be called,754,слоути,to be known as,to be known as
15509,mežda,"boundary, lane",861,межда,lane,lane
15511,meždu,between,1810,междоу,between,between
15786,męso,flesh,286,мѧсо,meat,meat
15806,mrěti,die,722,мрѣти,to die,to die
16565,pismę,"letter, script",215,писмѧ,letter (grapheme),letter (grapheme)
16802,polje,"field, plain",2497,полѥ,field,field
16881,plešte,shoulder,1843,плеще,shoulder,shoulder
16885,plesno,sole of the foot,1853,плесно,foot sole,foot sole
16996,rosa,dew,3742,ⱃⱁⱄⰰ,Glagolitic spelling of роса (rosa),Glagolitic spelling of роса (rosa)
17144,ruda,"ore, metal",859,роуда,ore,ore
17318,gneźdo,nest,609,гнѣздо,nest,nest
17919,struja,river,2150,строуꙗ,stream,stream
18079,prisno,eternal,2383,присно,closely,closely
20119,iskati,seek,327,искати,to seek,to seek
20279,osla,whetstone,895,осла,whetstone,whetstone
21875,po,"to, at, by, over something",27,по,along,along
21878,po-,\N,67,по-,A prefix indicating the perfective aspect.,A prefix indicating the perfective aspect.
22044,ramo,shoulder,802,рамо,shoulder,shoulder
22105,radi,because of,131,ради,for the sake of,for the sake of
22347,raka,burial cave,219,рака,coffin,coffin
22774,vaditi,accusare,2379,вадити,"to slander, to accuse","(transitive) to slander, to accuse [with (generally) на (na, + accusative) or (once) dative]"
22872,javě,"known, evident",3362,явѣ,openly,openly
22873,aviti,"reveal, make known, show",3056,авити,to show,(reflexive) to show
22874,javiti,"reveal, make known, show",2938,ꙗвити,alternative form of авити (aviti),alternative form of авити (aviti)
23390,utro,morning,817,оутро,morning,morning
23440,ulica,"lane, street in enclosed settlements (*narrow hollow way)",2500,оулица,street,street
24628,bez,without,82,без,without,without
25794,brěmę,"load, burden",473,брѣмѧ,load,load
26534,brěšti,care,2841,брѣщи,to care,to care
26786,byvati,\N,2884,бꙑвати,to be,to be
26802,byti,"become, be",124,бꙑти,to be,(copulative) to be
26806,běaše,\N,4474,бѣаше,third-person singular imperfect indicative of бꙑти (byti),third-person singular imperfect indicative of бꙑти (byti)
26821,izbaviti,"free, redeem",1166,избавити,"to redeem, to save","(transitive) to redeem, to save [with accusative ‘someone’, along with отъ (otŭ, + genitive) or из (iz, + genitive) ‘of something’]"
27668,britva,razor,121,бритва,razor,razor
28438,da,"so, and, but; that",30,да,in order to,in order to
29832,dira,tear,2124,дира,hole,hole
30324,drevlje,"prius, primum",3309,древлѥ,before,before
30718,dati,\N,325,дати,to give,to give
31245,podoba,"ornament, decency",2093,подоба,"way, means","way, means"
31526,dělja,because of,1808,дѣлꙗ,"for, because of","for, because of"
32891,dunǫ,blow,1014,дъно,bottom,bottom
33935,jǫ,\N,2299,ѭ,her,her
34217,jasti,eat,677,ꙗсти,to eat,to eat
34268,jasli,manger,2393,ꙗсли,manger,(plural only) manger
34492,iz,out of,35,из,from,from
35267,lakati,be hungry,4007,ⰾⰰⰽⰰⱅⰻ,alternative form of ⰰⰾⱏⰽⰰⱅⰻ (alŭkati),alternative form of ⰰⰾⱏⰽⰰⱅⰻ (alŭkati)
35459,jęti,take,1066,ѩти,to take,to take
35463,iměti,have,419,имѣти,to have,to have
36623,oriti,"dissolve, overturn, destroy",627,орити,to break down,to break down
36745,rosa,dew,3742,ⱃⱁⱄⰰ,Glagolitic spelling of роса (rosa),Glagolitic spelling of роса (rosa)
37024,jesi,to be,4453,ѥси,second-person singular present indicative of бꙑти (byti),second-person singular present indicative of бꙑти (byti)
37027,jeste,to be,4454,ѥсте,inflection of бꙑти (byti):,inflection of бꙑти (byti):; third-person dual present indicative
37029,jesvě,to be,4455,ѥсвѣ,first-person dual present indicative of бꙑти (byti),first-person dual present indicative of бꙑти (byti)
37030,jesta,to be,4456,ѥста,second/third-person dual present indicative of бꙑти (byti),second/third-person dual present indicative of бꙑти (byti)
37031,jeste,to be,4454,ѥсте,inflection of бꙑти (byti):,inflection of бꙑти (byti):; third-person dual present indicative
37128,sy,being,4449,сꙑ,present active participle of бꙑти (byti),present active participle of бꙑти (byti)
37351,onušta,???????????????,4180,оноуща,"footwear, sandals","footwear, sandals"
37410,učiti,teach,1161,оучити,to teach,to teach
37412,vyknǫti,get accustomed,2869,вꙑкнѫти,"to acclimate, to habituate","to acclimate, to habituate"
39064,znati,the acquaintances,628,знати,to know,to know
40141,gǫba,"sponge, fungus",509,гѫба,sponge,sponge
41094,zemlja,earth,1015,землꙗ,earth,earth
41553,godina,???????,115,година,"time, suitable time","time, suitable time"
41760,žasnǫti,be frightened (intr.); stupefieri,3023,жаснѫти,to fear,to fear
42634,zarja,ray,4323,зарꙗ,"shining, glowing, brightness","shining, glowing, brightness"
43096,paguba,"destruction, ruin",2080,пагоуба,"ruin, destruction","ruin, destruction"
43413,pogrěbati,bury,2876,погрѣбати,to bury,to bury
44043,žito,grain,182,жито,grain,grain
44610,gora,mountain,104,гора,mountain,mountain
44708,ugasiti,????????????,2853,оугасити,to extinguish,to extinguish
44709,ugasnǫti,????????????,2854,оугаснѫти,to extinguish,to extinguish
45004,žrěbę,foal,616,жрѣбѧ,foal,foal
45139,žila,"vein, sinew",576,жила,vein,vein
45157,želěti,wish,1119,желѣти,"to wish, want","to wish, want"
45158,želati,wish,2958,желати,"to wish, want, desire","to wish, want, desire"
45640,jama,pit,2394,ꙗма,"pit, hole","pit, hole"
46212,vy,\N,479,вꙑ,you (plural),you (plural)
46215,vami,\N,157,вами,instrumental plural of тꙑ (ty),instrumental plural of тꙑ (ty)
47457,kadilo,incense,829,кадило,incense,incense
47458,kaditi,"smoke, fumigate",484,кадити,burn incense,burn incense
49282,kroplją,"splash, sprinkle",2146,кроплꙗ,drop,drop
49441,krasa,"venustas, pulchritudo",2076,краса,decoration,decoration
50946,klicati,"cry, call",2493,клицати,"to shout, to cry","to shout, to cry"
51529,si,this,1073,сь,this,this
51576,sěno,grass,801,сѣно,hay,hay
52916,kolo,wheel,295,коло,"wheel, circle","wheel, circle"
53865,loviti,"catch, hunt",134,ловити,"to hunt, to catch","(transitive) to hunt, to catch [with accusative or на (na, + accusative)]"
54190,loza,"vine, shoot",467,лоза,vine,vine
56192,loza,grapevine; shoot esp. from grapevine,467,лоза,vine,vine
56856,mę,me (acc.),4033,мѧ,accusative of азъ (azŭ),accusative of азъ (azŭ)
56987,měra,measure,527,мѣра,measure,measure
56988,měriti,measure,528,мѣрити,to measure,to measure
57720,mitě,alternately,2810,митѣ,"in turn, in shifts (one after another)","(hapax legomenon) in turn, in shifts (one after another)"
58775,mrěža,"net, snare",4283,мрѣжа,net,net
59701,morje,sea,1032,морѥ,sea,sea
60084,nozdri,nostrils,446,ноздри,nostrils,(plural only) nostrils
60139,unyti,"be slack, slacken",777,оунꙑти,to collapse mentally,to collapse mentally
60150,nǫžda,"constraint, force, necessity",3282,нѫжда,alternative form of ноужда (nužda),alternative form of ноужда (nužda)
60153,nužda,"constraint, need",2152,ноужда,"need, necessity","need, necessity"
60226,ni,neque,116,ни,not,not
61157,agoda,"????????????, fruit",2424,агода,fruit,fruit
61158,jagoda,"????????????, fruit",2425,ⱑⰳⱁⰴⰰ,Glagolitic spelling of агода (agoda),Glagolitic spelling of агода (agoda)
61212,isto,"testicle, kidney",619,исто,kidney,kidney
61214,jędro,quick,4400,ѩдро,"quickly, swiftly","quickly, swiftly"
61855,usta,mouth,221,оуста,mouth,(plural only) mouth
61861,uzda,bridle,2097,оузда,bridle,bridle
62088,pustiti,let (go),347,поустити,to allow,to allow
62335,pitěti,"feed, nourish, raise",372,питѣти,to feed,to feed
63127,paliti,burn (tr.),485,палити,to burn (to cause to be consumed by fire),(transitive) to burn (to cause to be consumed by fire)
63129,plamy,flame,447,пламꙑ,flame,flame
63142,polje,field,2497,полѥ,field,field
63591,pri,"at, on, to",132,при,near,near
64916,plešte,shoulder,1843,плеще,shoulder,shoulder
65098,plavati,swim,1038,плавати,to sail,to sail
65374,po,"behind, after",27,по,along,along
67333,ruda,"ore, metal",859,роуда,ore,ore
67623,slatina,?????????,2190,слатина,salt water,salt water
67908,svoboda,freedom,147,свобода,freedom,freedom
68156,gnězdo,nest,609,гнѣздо,nest,nest
68737,sěčivo,axe,831,сѣчиво,axe,(hapax legomenon) axe
69209,sǫ-,with,3643,сѫ-,"com-, con- (forms nouns denoting a connection or link)","com-, con- (forms nouns denoting a connection or link)"
70100,sijati,"shine, become bright",2928,сиꙗти,"to shine, make shine","to shine, make shine"
71300,krilo,wing,199,крило,wing,wing
71312,krinica,"vessel, jug",4403,криница,jug,jug
71595,črěvo,"lower body, belly",1049,чрѣво,womb,womb
71933,kromě,"outside, outdoors",2970,кромѣ,"outside, aside, away","outside, aside, away"
71935,kremy,flint,2802,кремꙑ,flint,flint
73201,sluga,servant,575,слоуга,servant,servant
74456,palica,stick,1020,палица,stick,stick
74543,pęta,heel,2086,пѧта,heel,heel
75275,pěna,foam,1069,пѣна,foam,foam
75414,struja,current,2150,строуꙗ,stream,stream
76014,stopa,footprint,160,стопа,foot,foot
77032,struna,"strand, string",4293,строуна,string (segment of wire used as vibrating element on a musical instrument),(music) string (segment of wire used as vibrating element on a musical instrument)
78277,sunǫti,pour out,3804,ⱄⱆⱀⱘⱅⰻ,Glagolitic spelling of сунѫти (sunǫti),Glagolitic spelling of сунѫти (sunǫti)
78332,svirati,whistle,1796,свирати,to whistle,to whistle
78517,timěno,mud,4028,тимѣно,"mire, marsh","mire, marsh"
78523,tina,mud,878,тина,slime,slime
79300,tǫga,"????????????, ????????????????????",2090,тѫга,"sadness, melancholy","sadness, melancholy"
79760,trupije,???????????????????,1881,троупьѥ,corpses,corpses
80325,tysęšta,thousand,3240,тꙑсѧща,alternative form of тꙑсѫщи (tysǫšti),alternative form of тꙑсѫщи (tysǫšti)
80745,tri,three,41,три,nominative/accusative feminine/neuter of трьѥ (trĭje),nominative/accusative feminine/neuter of трьѥ (trĭje)
80967,trepetati,tremble,771,трепетати,to shake,to shake
82180,voditi,lead,596,водити,lead,lead
82502,věja,"twig, branch",2151,вѣꙗ,branch,branch
82618,viti,\N,3825,ⰲⰻⱅⰻ,Glagolitic spelling of вити (viti),Glagolitic spelling of вити (viti)
82726,vina,"guilt, punishment",81,вина,fault,fault
82929,věžda,eyelid,2149,вѣжда,eyelid,eyelid
84107,vlaga,moisture,577,влага,moisture,moisture
84333,vapa,lake,2072,вапа,swamp,swamp
84409,vrětiště,bag,4218,врѣтище,"bag, sack","bag, sack"
84815,vrěmę,time,167,врѣмѧ,time,time
84980,vrata,"gate, door",80,врата,"gate, door","gate, door"
84982,verěja,lifting beam,4342,верѣꙗ,"bar, latch","bar, latch"
85267,věra,belief,169,вѣра,"faith, belief","faith, belief"
