lex_ref_link_id,reflex,gloss_eng,lemma_id,lemma,gloss,entry_str
24526,brada,beard,857,брада,beard,beard
24659,bo,for,154,бо,for,for
24707,bodǫ,sting,3693,ⰱⱘⰴⱘ,third-person plural imperative of бꙑти (byti),third-person plural imperative of бꙑти (byti)
25058,blato,lake,133,блато,swamp,swamp
26019,brazda,furrow,570,бразда,furrow,furrow
28439,do,"until, to",77,до,up to,up to
28660,divo,wonder,618,диво,"miracle, wonder","miracle, wonder"
30285,drěvo,tree,113,дрѣво,tree,tree
31714,děva,"girl, virgin",571,дѣва,virgin,virgin
31959,dolu,downward,320,долоу,below,below
34022,i,"and, also",19,и,and,and
36051,imę,name,218,имѧ,name,name
37508,glava,head,170,глава,head (part of the body),head (part of the body)
40791,gobino,abundance,803,гобино,fruit,fruit
41623,zima,winter,84,зима,winter,winter
41920,zelije,vegetables,1889,зельѥ,"vegetation, herbs (usually fresh)","vegetation, herbs (usually fresh)"
41929,zlato,gold,88,злато,gold,gold
43969,žaba,toad,52,жаба,toad,toad
44019,žiti,live,674,жити,to live,to live
44381,žena,woman,180,жена,woman,woman
45371,žęlo,sting,1915,жѧло,spike,spike
45502,dzvězda,star,2274,ѕвѣзда,star,star
45930,igo,yoke,799,иго,yoke,yoke
48956,čędo,child,399,чѧдо,child,child
49876,srěda,middle,246,срѣда,center,center
51311,slovo,word,51,слово,"word, speech, utterance","word, speech, utterance; word"
52426,světiti,shine on someone,1159,свѣтити,to lighten,to lighten
52428,švěšta,"light, candle",3283,свѣща,candle,candle
56762,mati,mother,37,мати,mother,mother
58649,mǫka,flour,872,мѫка,flour,flour
58652,mǫka,torment,871,мѫка,"torment, torture","torment, torture"
59661,monisto,"collar, necklace",1851,монисто,necklace,(hapax legomenon) necklace
60201,ne,not,42,не,no,no
60248,nā,us both,76,на,accusative/dative of вѣ (vě): us (dual),accusative/dative of вѣ (vě): us (dual)
61029,nyně,"now, at present",2907,нꙑнѣ,now,now
63013,pelena,"diaper, cloth, covering",876,пелена,swaddling cloth,swaddling cloth
67768,sušiti,make dry,1911,соушити,to dry,to dry
68029,sěsti,sit down,313,сѣсти,to sit down,to sit down
68342,sěmę,seed,403,сѣмѧ,seed,seed
68738,sekyra,axe,3145,сѣкꙑра,axe,axe
72681,skovrada,"crucible, pan, hearth",2063,сковрада,pan of coals,pan of coals
75582,stati,"to position oneself, step",348,стати,to stand,to stand
75706,staviti,place,1908,ставити,"to set, to place","to set, to place"
75861,sténa,wall,2068,стѣна,rock,rock
77020,strěla,arrow,580,стрѣла,arrow,arrow
77965,svekry,mother-in-law,700,свекрꙑ,mother-in-law,mother-in-law
78275,sypati,pour,2825,сꙑпати,"to pour, strew","to pour, strew"
78438,sestra,sister; FlN,210,сестра,sister,sister
79395,tǫča,rain,892,тѫча,rain,rain
79645,trava,garden,83,трава,grass,grass
80570,tamo,thither,2335,тамо,there; thereto,there; thereto
80744,trĳe,three,278,трьѥ,three,three
81161,ty,you,397,тꙑ,"you (singular), thou","you (singular), thou"
81395,tvoriti,"create, make",310,творити,to do,(transitive) to do
82049,vě,we two,2502,вѣ,we two,we two
84691,rǫka,hand,211,рѫка,hand,hand
