"4229","āctus","19475",\N,"608",\N
"4230","actūtum","19476",\N,"609",\N
"4231","agāsō","19477",\N,"1452",\N
"4232","agō","19478",\N,"1534",\N
"4233","agōnium","19479",\N,"1544",\N
"4234","axis","19484",\N,"4514",\N
"4235","āla","19495",\N,"1592",\N
"4236","axilla","19496",\N,"4510",\N
"4237","ager","19532",\N,"1467",\N
"4238","agrestis","19544",\N,"1554",\N
"4239","Agrippa","19661",\N,"1567",\N
"4240","ascia","19676",\N,"3702",\N
"4241","agnus","19679",\N,"1533",\N
"4242","agninus","19693",\N,"1522",\N
"4243","aemulus","19725",\N,"1174",\N
"4244","aedēs","19789",\N,"1079",\N
"4245","aedis","19790",\N,"1095",\N
"4246","aestās","19792",\N,"1321",\N
"4247","aestus","19793",\N,"1343",\N
"4248","aeger","19859",\N,"1111",\N
"4249","aegrotus","19860",\N,"1151",\N
"4250","aesculus","19897",\N,"1313",\N
"4251","aes","19984",\N,"1299",\N
"4252","aēnus","19989",\N,"1197",\N
"4253","aēneus","19991",\N,"1187",\N
"4254","aestimō","19995",\N,"1331",\N
"4255","aeuum","20093",\N,"1371",\N
"4256","aetas","20094",\N,"1345",\N
"4257","aeuitas","20095",\N,"1369",\N
"4258","aeternus","20099",\N,"1351",\N
"4259","acidus","20142",\N,"497",\N
"4260","acētum","20143",\N,"449",\N
"4261","aciēs","20180",\N,"499",\N
"4262","acus","20195",\N,"621",\N
"4263","acūmen","20197",\N,"616",\N
"4264","acia","20198",\N,"491",\N
"4265","ācrifolium","20200",\N,"549",\N
"4266","aculeus","20201",\N,"615",\N
"4267","accipiter","20202",\N,"351",\N
"4268","agna","20243",\N,"1514",\N
"4269","acer","20263",\N,"419",\N
"4270","acernus","20273",\N,"428",\N
"4271","ācer","20291",\N,"419",\N
"4272","ācra","20292",\N,"537",\N
"4273","acerbus","20296",\N,"425",\N
"4274","acus","20331",\N,"621",\N
"4275","aceruus","20332",\N,"438",\N
"4276","Acca","20365",\N,"303",\N
"4277","aqua","20385",\N,"3109",\N
"4278","aquilus","20386",\N,"3148",\N
"4279","aquila","20387",\N,"3132",\N
"4280","aquilō","20388",\N,"3143",\N
"4281","alius","20506",\N,"1808",\N
"4282","aliēnus","20508",\N,"1757",\N
"4283","aliquis","20509",\N,"1789",\N
"4284","alicubi","20510",\N,"1746",\N
"4285","alter","20511",\N,"1920",\N
"4286","altrinsecus","20513",\N,"1961",\N
"4287","altrōuorsum","20514",\N,"1963",\N
"4288","adulter","20516",\N,"983",\N
"4289","alternus","20517",\N,"1933",\N
"4290","alō","20549",\N,"1884",\N
"4291","adultus","20553",\N,"992",\N
"4292","aboleō","20555",\N,"142",\N
"4293","alimentum","20560",\N,"1761",\N
"4294","alimōnia","20561",\N,"1764",\N
"4295","altus","20578",\N,"1965",\N
"4296","almus","20611",\N,"1881",\N
"4297","ālea","20661",\N,"1692",\N
"4298","ambulō","20662",\N,"2097",\N
"4299","alūcinor","20664",\N,"1968",\N
"4300","adoleō","20672",\N,"904",\N
"4301","adolēscō","20673",\N,"906",\N
"4302","alacer","20678",\N,"1600",\N
"4303","alica","20707",\N,"1743",\N
"4304","albus","20732",\N,"1662",\N
"4305","albula","20736",\N,"1654",\N
"4306","alburnus","20737",\N,"1661",\N
"4307","albūcus","20739",\N,"1651",\N
"4308","Albis","20774",\N,"1643",\N
"4309","Albula","20780",\N,"1654",\N
"4310","Albiōn","20782",\N,"1641",\N
"4311","Alpēs","20784",\N,"1898",\N
"4312","ala","20800",\N,"1592",\N
"4313","algor","20844",\N,"1735",\N
"4314","algeō","20845",\N,"1729",\N
"4315","algidus","20846",\N,"1733",\N
"4316","ālum","20882",\N,"1970",\N
"4317","ālium","20883",\N,"1806",\N
"4318","ālum","20885",\N,"1970",\N
"4319","alūta","20889",\N,"1979",\N
"4320","alūmen","20890",\N,"1971",\N
"4321","amb","20902",\N,"2042",\N
"4322","am","20903",\N,"1994",\N
"4323","an","20904",\N,"2301",\N
"4324","am","20905",\N,"1994",\N
"4325","ambi","20906",\N,"2055",\N
"4326","Amiternum","20915",\N,"2154",\N
"4327","ambō","20943",\N,"2078",\N
"4328","amplus","20966",\N,"2259",\N
"4329","amīcus","20992",\N,"2145",\N
"4330","amita","20993",\N,"2153",\N
"4331","amāre","20995",\N,"2011",\N
"4332","amoenus","20997",\N,"2185",\N
"4333","anna","21001",\N,"2520",\N
"4334","anus","21006",\N,"2807",\N
"4335","Anna","21007",\N,"2520",\N
"4336","an","21035",\N,"2301",\N
"4337","animus","21076",\N,"2515",\N
"4338","anima","21077",\N,"2494",\N
"4339","animal","21079",\N,"2500",\N
"4340","anhēlō","21148",\N,"2476",\N
"4341","anas","21226",\N,"2347",\N
"4342","antae","21243",\N,"2594",\N
"4343","angō","21249",\N,"2445",\N
"4344","angiportus","21255",\N,"2441",\N
"4345","angor","21281",\N,"2446",\N
"4346","angustus","21282",\N,"2472",\N
"4347","angustiae","21283",\N,"2467",\N
"4348","angina","21298",\N,"2440",\N
"4349","anguis","21311",\N,"2459",\N
"4350","anguilla","21334",\N,"2454",\N
"4351","ancus","21404",\N,"2394",\N
"4352","angulus","21468",\N,"2465",\N
"4353","ānus","21471",\N,"2807",\N
"4354","ānsa","21493",\N,"2585",\N
"4355","ansātus","21496",\N,"2587",\N
"4356","ante","21550",\N,"2606",\N
"4357","antideā","21551",\N,"2726",\N
"4358","antidhāc","21552",\N,"2728",\N
"4359","anterior","21554",\N,"2669",\N
"4360","antīcus","21556",\N,"2723",\N
"4361","antīquus","21557",\N,"2766",\N
"4362","antēs","21558",\N,"2671",\N
"4363","antiae","21609",\N,"2711",\N
"4364","apīscor","21640",\N,"2891",\N
"4365","adipīscor","21641",\N,"785",\N
"4366","apiō","21643",\N,"2888",\N
"4367","ape","21644",\N,"2833",\N
"4368","aptus","21645",\N,"3099",\N
"4369","apud","21647",\N,"3101",\N
"4370","apor","21648",\N,"2943",\N
"4371","apex","21650",\N,"2853",\N
"4372","ab","21733",\N,"3",\N
"4373","abs","21734",\N,"184",\N
"4374","artus","21943",\N,"3657",\N
"4375","artē","21944",\N,"3615",\N
"4376","ars","21945",\N,"3595",\N
"4377","artiō","21950",\N,"3642",\N
"4378","artus","21951",\N,"3657",\N
"4379","articulus","21952",\N,"3636",\N
"4380","arma","21965",\N,"3494",\N
"4381","armentum","21966",\N,"3509",\N
"4382","armus","21989",\N,"3530",\N
"4383","arāneus","22104",\N,"3180",\N
"4384","arānea","22105",\N,"3174",\N
"4385","arō","22155",\N,"3541",\N
"4386","arātor","22156",\N,"3189",\N
"4387","arātrum","22157",\N,"3191",\N
"4388","aruus","22200",\N,"3675",\N
"4389","aruum","22201",\N,"3674",\N
"4390","argentum","22229",\N,"3392",\N
"4391","argilla","22268",\N,"3398",\N
"4392","arguō","22272",\N,"3420",\N
"4393","argūtus","22273",\N,"3431",\N
"4394","arceō","22298",\N,"3243",\N
"4395","arca","22299",\N,"3229",\N
"4396","arcānus","22300",\N,"3235",\N
"4397","arx","22306",\N,"3676",\N
"4398","arcera","22307",\N,"3244",\N
"4399","arinca","22321",\N,"3462",\N
"4400","arcus","22337",\N,"3321",\N
"4401","arquātus","22338",\N,"3552",\N
"4402","arcuātus","22339",\N,"3310",\N
"4403","ardea","22357",\N,"3322",\N
"4404","aruīna","22369",\N,"3671",\N
"4405","āra","22372",\N,"3159",\N
"4406","āreō","22375",\N,"3355",\N
"4407","āridus","22376",\N,"3450",\N
"4408","ardeō","22377",\N,"3327",\N
"4409","assus","22378",\N,"3920",\N
"4410","ārea","22379",\N,"3337",\N
"4411","annus","22408",\N,"2572",\N
"4412","āter","22425",\N,"4032",\N
"4413","Ātella","22428",\N,"4031",\N
"4414","Ātrius","22430",\N,"4095",\N
"4415","attilus","22435",\N,"4153",\N
"4416","at","22443",\N,"4020",\N
"4417","atta","22483",\N,"4105",\N
"4418","au","22517",\N,"4193",\N
"4419","au","22564",\N,"4193",\N
"4420","aut","22647",\N,"4408",\N
"4421","autem","22648",\N,"4409",\N
"4422","aueō","22796",\N,"4460",\N
"4423","auidus","22797",\N,"4484",\N
"4424","audeō","22798",\N,"4238",\N
"4425","auārus","22799",\N,"4448",\N
"4426","audiō","22846",\N,"4241",\N
"4427","augeō","23202",\N,"4257",\N
"4428","auctor","23203",\N,"4210",\N
"4429","auctiō","23205",\N,"4204",\N
"4430","augmentum","23206",\N,"4265",\N
"4431","augur","23209",\N,"4266",\N
"4432","augustus","23243",\N,"4295",\N
"4433","auxilium","23254",\N,"4436",\N
"4434","auis","23288",\N,"4487",\N
"4435","aurōra","23327",\N,"4362",\N
"4436","auster","23328",\N,"4395",\N
"4437","austrālis","23329",\N,"4401",\N
"4438","aurum","23330",\N,"4369",\N
"4439","auēna","23381",\N,"4453",\N
"4440","aula","23390",\N,"4296",\N
"4441","auxilla","23392",\N,"4437",\N
"4442","aluus","23433",\N,"1987",\N
"4443","alueus","23434",\N,"1986",\N
"4444","auus","23436",\N,"4502",\N
"4445","auia","23437",\N,"4476",\N
"4446","auītus","23439",\N,"4490",\N
"4447","auunculus","23454",\N,"4501",\N
"4448","babae","23490",\N,"4533",\N
"4449","babulus","23516",\N,"4539",\N
"4450","balbus","23523",\N,"4626",\N
"4451","balbūtiō","23524",\N,"4627",\N
"4452","barbarus","23537",\N,"4704",\N
"4453","baburrus","23541",\N,"4540",\N
"4454","blaesus","23554",\N,"5187",\N
"4455","badius","23555",\N,"4592",\N
"4456","baculum","23568",\N,"4588",\N
"4457","bacillum","23569",\N,"4580",\N
"4458","bombus","23593",\N,"5284",\N
"4459","baubor","23702",\N,"4823",\N
"4460","bīlis","24083",\N,"5091",\N
"4461","blaterō","24088",\N,"5221",\N
"4462","blatiō","24089",\N,"5222",\N
"4463","affāmen","24270",\N,"1380",\N
"4464","barba","24515",\N,"4691",\N
"4465","barbātus","24529",\N,"4708",\N
"4466","battuō","24576",\N,"4818",\N
"4467","bellum","28359",\N,"4899",\N
"4468","bonus","30393",\N,"5301",\N
"4469","bene","30394",\N,"4920",\N
"4470","bellus","30395",\N,"4901",\N
"4471","beō","30397",\N,"4952",\N
"4472","beātus","30398",\N,"4841",\N
"4473","abdūcō","30518",\N,"51",\N
"4474","addūcō","30520",\N,"711",\N
"4475","bis","31067",\N,"5142",\N
"4476","bīnī","31158",\N,"5110",\N
"4477","affabrē","31261",\N,"1378",\N
"4478","abdōmen","31543",\N,"50",\N
"4479","ad","31577",\N,"635",\N
"4480","affatim","31578",\N,"1382",\N
"4481","adagiō","34428",\N,"647",\N
"4482","adagium","34429",\N,"648",\N
"4483","axāmenta","34431",\N,"4503",\N
"4484","alnus","35061",\N,"1883",\N
"4485","alcēs","35143",\N,"1672",\N
"4486","alcē","35144",\N,"1668",\N
"4487","alcēdo","35193",\N,"1670",\N
"4488","alga","35217",\N,"1727",\N
"4489","aper","36181",\N,"2841",\N
"4490","aprugnus","36186",\N,"3087",\N
"4491","ariēs","36347",\N,"3452",\N
"4492","arduus","37000",\N,"3335",\N
"4493","arbor","37005",\N,"3214",\N
"4494","absēns","37189",\N,"198",\N
"4495","ambūrō","37516",\N,"2101",\N
"4496","alienigena","39032",\N,"1752",\N
"4497","benignus","39053",\N,"4947",\N
"4498","agnitus","39148",\N,"1526",\N
