index_token,index_sentence,string,pos,lemma,stem,dependency_relation,governor,features,category,syllables,phonetic_transcription,book_num,chapter_num,line_num
0,322,tum,coordinating_conjunction,tum,tum,cc,1,\N,{F: [pos]},['tum'],[t̪ũː],2,\N,P4
1,322,ego,pronoun,ego,ego,root,-1,"{Case: [nominative], InflClass: [lat_anom], Number: [singular], Person: [first], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}","['e', 'go']",[ɛgɔ],2,\N,P4
2,322,:,punctuation,:,:,punct,1,\N,\N,[':'],\N,2,\N,P4
0,323,uera,adjective,uerus,uer,root,-1,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['u', 'e', 'ra']",[wɛra],2,\N,P4
1,323,",",punctuation,",",",",punct,2,\N,\N,"[',']",\N,2,\N,P4
2,323,inquam,verb,inquam,inqu,conj,0,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['in', 'quam']",[ɪŋkʷãː],2,\N,P4
3,323,",",punctuation,",",",",punct,4,\N,\N,"[',']",\N,2,\N,P4
4,323,commemoras,verb,commedo,commemor,ccomp,2,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['com', 'me', 'mo', 'ras']",[kɔmmɛmɔras],2,\N,P4
5,323,",",punctuation,",",",",punct,6,\N,\N,"[',']",\N,2,\N,P4
6,323,o,verb,o,o,conj,4,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}",['o'],[ɔ],2,\N,P4
7,323,uirtutum,noun,uirtus,uirtut,nmod,9,"{Case: [genitive], Gender: [feminine], InflClass: [ind_eur_x], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['u', 'ir', 'tu', 'tum']",[wɪrt̪ʊt̪ũː],2,\N,P4
8,323,omnium,determiner,omnis,omni,det,7,"{Case: [genitive], Gender: [feminine], InflClass: [ind_eur_i], Number: [plural], PronominalType: [total]}","{F: [pos], N: [pos], V: [neg]}","['om', 'ni', 'um']",[ɔmn̪ɪ̣jũː],2,\N,P4
9,323,nutrix,noun,nutrix,nutrix,nsubj,4,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['nu', 'trix']",[n̪ʊt̪rɪks],2,\N,P4
10,323,",",punctuation,",",",",punct,13,\N,\N,"[',']",\N,2,\N,P4
11,323,nec,coordinating_conjunction,nec,nec,cc,13,\N,{F: [pos]},['nec'],[n̪ɛk],2,\N,P4
12,323,infitiari,verb,infitio,infitiar,xcomp,13,"{Aspect: [imperfective], InflClass: [lat_a], VerbForm: [infinitive], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['in', 'fi', 'ti', 'a', 'ri']",[iːn̪fɪt̪ɪ̣jarɪ],2,\N,P4
13,323,possum,verb,possum,possum,conj,0,"{Aspect: [imperfective], InflClass: [lat_anom], Mood: [indicative], Number: [singular], Person: [first], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['pos', 'sum']",[pɔssũː],2,\N,P4
14,323,prosperitatis,noun,prosperitas,prosperitat,nmod,17,"{Case: [genitive], Gender: [feminine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['pros', 'pe', 'ri', 'ta', 'tis']",[prɔspɛrɪt̪at̪ɪs],2,\N,P4
15,323,meae,determiner,meus,me,det,14,"{Case: [genitive], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular, psor], Person: [psor], Possessive: [pos], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}","['me', 'ae']",[mɛ̣jaj],2,\N,P4
16,323,uelocissimum,adjective,uelox,uelocissim,amod,17,"{Case: [accusative], Degree: [absolute_superlative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['u', 'e', 'lo', 'cis', 'si', 'mum']",[wɛlɔkɪssɪmũː],2,\N,P4
17,323,cursum,noun,cursus,curs,obj,12,"{Case: [accusative], Gender: [masculine], InflClass: [ind_eur_u], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['cur', 'sum']",[kʊrsũː],2,\N,P4
18,323,.,punctuation,.,.,punct,0,\N,\N,['.'],\N,2,\N,P4
0,324,sed,coordinating_conjunction,sed,sed,cc,2,\N,{F: [pos]},['sed'],[sɛd̪],2,\N,P4
1,324,hoc,determiner,hic,hoc,nsubj,2,"{Case: [nominative], Gender: [neuter], InflClass: [lat_pron], Number: [singular], PronominalType: [demonstrative]}","{F: [pos], N: [pos], V: [neg]}",['hoc'],[hɔk],2,\N,P4
2,324,est,auxiliary,sum,est,root,-1,"{Aspect: [imperfective], InflClass: [lat_anom], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite]}","{F: [pos], N: [neg], V: [pos]}",['est'],[ɛst̪],2,\N,P4
3,324,quod,subordinating_conjunction,quod,quod,mark,6,\N,{F: [pos]},['quod'],[kʷɔd̪],2,\N,P4
4,324,recolentem,verb,recolo,recolent,ccomp,6,"{Aspect: [imperfective], Case: [accusative], Gender: [feminine], InflClass: [lat_x, nominal], Number: [singular], VerbForm: [participle], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['re', 'co', 'len', 'tem']",[rɛkɔlɛn̪t̪ẽː],2,\N,P4
5,324,uehementius,adverb,uehementer,uehement,advmod,6,{Degree: [comparative]},"{F: [neg], N: [pos], V: [pos]}","['u', 'e', 'he', 'men', 'ti', 'us']",[wɛhɛmɛn̪t̪ɪ̣jʊs],2,\N,P4
6,324,coquit,verb,coqo,coqui,acl,1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['co', 'quit']",[kɔkʷɪt̪],2,\N,P4
7,324,;,punctuation,;,;,punct,2,\N,\N,[';'],\N,2,\N,P4
0,325,nam,particle,nam,nam,discourse,5,\N,{F: [pos]},['nam'],[n̪ãː],2,\N,P4
1,325,in,adposition,in,in,case,3,\N,"{F: [pos], N: [neg], V: [neg]}",['in'],[ɪn̪],2,\N,P4
2,325,omni,determiner,omnis,omn,det,3,"{Case: [ablative], Gender: [feminine], InflClass: [ind_eur_i], Number: [singular], PronominalType: [total]}","{F: [pos], N: [pos], V: [neg]}","['om', 'ni']",[ɔmn̪ɪ],2,\N,P4
3,325,aduersitate,noun,aduersitas,aduersitat,obl,5,"{Case: [ablative], Gender: [feminine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['a', 'du', 'er', 'si', 'ta', 'te']",[ad̪ʊjɛrsɪt̪at̪ɛ],2,\N,P4
4,325,fortunae,noun,fortuna,fortun,nmod,3,"{Case: [genitive], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['for', 'tu', 'nae']",[fɔrt̪ʊn̪aj],2,\N,P4
5,325,infelicissimum,adjective,infelicus,infelicissim,root,-1,"{Case: [nominative], Degree: [absolute_superlative], Gender: [neuter], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['in', 'fe', 'li', 'cis', 'si', 'mum']",[iːn̪fɛlɪkɪssɪmũː],2,\N,P4
6,325,est,auxiliary,sum,est,cop,5,"{Aspect: [imperfective], InflClass: [lat_anom], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite]}","{F: [pos], N: [neg], V: [pos]}",['est'],[ɛst̪],2,\N,P4
7,325,genus,noun,genus,gen,nsubj,10,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ge', 'nus']",[gɛn̪ʊs],2,\N,P4
8,325,infortunii,adjective,infortunius,infortuni,nmod,7,"{Case: [genitive], Gender: [neuter], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['in', 'for', 'tu', 'ni', 'i']",[iːn̪fɔrt̪ʊn̪ɪ̣jɪ],2,\N,P4
9,325,fuisse,auxiliary,sum,fuiss,cop,10,"{Aspect: [perfective], InflClass: [lat_anom], VerbForm: [infinitive]}","{F: [pos], N: [neg], V: [pos]}","['fu', 'is', 'se']",[fujssɛ],2,\N,P4
10,325,felicem,adjective,felix,felic,csubj,5,"{Case: [accusative], Gender: [masculine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['fe', 'li', 'cem']",[fɛlɪkẽː],2,\N,P4
11,325,.,punctuation,.,.,punct,5,\N,\N,['.'],\N,2,\N,P4
0,326,--,verb,-o,--,obl,17,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}",['--'],[--],2,\N,P4
1,326,sed,coordinating_conjunction,sed,sed,cc,17,\N,{F: [pos]},['sed'],[sɛd̪],2,\N,P4
2,326,quod,subordinating_conjunction,quod,quod,mark,17,\N,{F: [pos]},['quod'],[kʷɔd̪],2,\N,P4
3,326,tu,pronoun,tu,tu,nsubj,17,"{Case: [nominative], InflClass: [lat_anom], Number: [singular], Person: [second], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}",['tu'],[t̪ʊ],2,\N,P4
4,326,",",punctuation,",",",",punct,3,\N,\N,"[',']",\N,2,\N,P4
