index_token,index_sentence,string,pos,lemma,stem,dependency_relation,governor,features,category,syllables,phonetic_transcription,book_num,chapter_num,line_num
0,0,carmina,noun,carmen,carmin,nsubj,10,"{Case: [nominative], Gender: [neuter], InflClass: [ind_eur_x], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['car', 'mi', 'na']",[karmɪn̪a],1,\N,M1
1,0,qui,pronoun,qui,qui,nsubj,5,"{Case: [nominative], Gender: [masculine], InflClass: [lat_pron], Number: [plural], PronominalType: [relative]}","{F: [pos], N: [pos], V: [neg]}",['qui'],[kʷɪ],1,\N,M1
2,0,quondam,adposition,quondam,quond,case,3,\N,"{F: [pos], N: [neg], V: [neg]}","['quon', 'dam']",[kʷɔn̪d̪ãː],1,\N,M1
3,0,studio,noun,studium,studi,obl,5,"{Case: [ablative], Gender: [neuter], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['stu', 'di', 'o']",[st̪ʊd̪ɪ̣jɔ],1,\N,M1
4,0,florente,verb,floreo,florent,acl,3,"{Aspect: [imperfective], Case: [ablative], Gender: [masculine], InflClass: [lat_x, nominal], Number: [singular], VerbForm: [participle], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['flo', 'ren', 'te']",[flɔrɛn̪t̪ɛ],1,\N,M1
5,0,peregi,verb,perego,pereg,acl:relcl,0,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['pe', 're', 'gi']",[pɛrɛgɪ],1,\N,M1
6,0,",",punctuation,",",",",punct,0,\N,\N,"[',']",\N,1,\N,M1
7,0,flebilis,adjective,flebilis,flebil,xcomp,8,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['fle', 'bi', 'lis']",[flɛbɪlɪs],1,\N,M1
8,0,heu,verb,heor,he,advcl,10,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}",['heu'],[hew],1,\N,M1
9,0,maestos,adjective,maestus,maest,obj,8,"{Case: [accusative], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [pos]}","['maes', 'tos']",[majst̪ɔs],1,\N,M1
10,0,cogor,verb,cogor,cogo,root,-1,"{Aspect: [imperfective], InflClass: [lat_anom], Mood: [indicative], Number: [singular], Person: [first], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['co', 'gor']",[kɔgɔr],1,\N,M1
11,0,inire,verb,ineo,inir,xcomp,10,"{Aspect: [imperfective], InflClass: [lat_x], VerbForm: [infinitive], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['in', 'i', 're']",[ɪn̪ɪrɛ],1,\N,M1
12,0,modos,noun,modus,mod,obj,11,"{Case: [accusative], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['mo', 'dos']",[mɔd̪ɔs],1,\N,M1
13,0,.,punctuation,.,.,punct,10,\N,\N,['.'],\N,1,\N,M1
0,1,ecce,particle,ecce,ecc,discourse,3,{PronominalType: [demonstrative]},{F: [pos]},"['ec', 'ce']",[ɛkkɛ],1,\N,M1
1,1,mihi,pronoun,ego,mih,obl:arg,3,"{Case: [dative], InflClass: [lat_anom], Number: [singular], Person: [first], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}","['mi', 'hi']",[mɪhɪ],1,\N,M1
2,1,lacerae,noun,lacera,lacer,nsubj,3,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['la', 'ce', 'rae']",[lakɛraj],1,\N,M1
3,1,dictant,verb,dicto,dicta,root,-1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [plural], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['dic', 'tant']",[d̪ɪkt̪an̪t̪],1,\N,M1
4,1,scribenda,verb,scribo,scribend,xcomp,3,"{Aspect: [prospective], Case: [accusative], Gender: [neuter], InflClass: [lat_x, nominal], Number: [plural], VerbForm: [participle], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['scri', 'ben', 'da']",[skrɪbɛn̪d̪a],1,\N,M1
5,1,Camenae,noun,camena,Camen,nsubj,3,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['ca', 'me', 'nae']",[kamɛn̪aj],1,\N,M1
6,1,et,coordinating_conjunction,et,et,cc,8,\N,{F: [pos]},['et'],[ɛt̪],1,\N,M1
7,1,ueris,adjective,uerus,uer,obl:arg,8,"{Case: [dative], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [pos]}","['u', 'e', 'ris']",[wɛrɪs],1,\N,M1
8,1,elegi,verb,eligo,eleg,conj,3,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [first], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['e', 'le', 'gi']",[ɛlɛgɪ],1,\N,M1
9,1,fletibus,noun,fletus,flet,obl,8,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_u], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['fle', 'ti', 'bus']",[flɛt̪ɪbʊs],1,\N,M1
10,1,ora,noun,ora,or,obj,11,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['o', 'ra']",[ɔra],1,\N,M1
11,1,rigant,verb,rigo,riga,conj,8,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [subjunctive], Number: [plural], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['ri', 'gant']",[rɪgan̪t̪],1,\N,M1
12,1,.,punctuation,.,.,punct,3,\N,\N,['.'],\N,1,\N,M1
0,2,has,determiner,hic,h,obj,3,"{Case: [accusative], Gender: [feminine], InflClass: [lat_pron], Number: [plural], PronominalType: [demonstrative]}","{F: [pos], N: [pos], V: [neg]}",['has'],[has],1,\N,M1
1,2,saltem,adverb,saltem,salt,advmod:emph,3,\N,"{F: [neg], N: [pos], V: [pos]}","['sal', 'tem']",[saɫt̪ẽː],1,\N,M1
2,2,nullus,determiner,nullus,null,nsubj,3,"{Case: [nominative], Gender: [masculine], InflClass: [lat_pron], Number: [singular], Polarity: [neg], PronominalType: [indefinite]}","{F: [pos], N: [pos], V: [neg]}","['nul', 'lus']",[n̪ʊɫlʊs],1,\N,M1
3,2,potuit,verb,possum,potui,root,-1,"{Aspect: [perfective], InflClass: [lat_anom], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['po', 'tu', 'it']",[pɔt̪ujt̪],1,\N,M1
4,2,peruincere,verb,peruinco,peruincer,xcomp,3,"{Aspect: [imperfective], InflClass: [lat_x], VerbForm: [infinitive], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['pe', 'ru', 'in', 'ce', 're']",[pɛrujŋkɛrɛ],1,\N,M1
5,2,terror,noun,terror,terro,nsubj,3,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ter', 'ror']",[t̪ɛrrɔr],1,\N,M1
6,2,",",punctuation,",",",",punct,10,\N,\N,"[',']",\N,1,\N,M1
7,2,ne,subordinating_conjunction,ne,ne,mark,10,\N,{F: [pos]},['ne'],[n̪ɛ],1,\N,M1
8,2,nostrum,determiner,noster,nostr,det,9,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular, psor], Person: [psor], Possessive: [pos], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}","['nos', 'trum']",[n̪ɔst̪rũː],1,\N,M1
9,2,comites,noun,comis,comit,nsubj,10,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_x], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['co', 'mi', 'tes']",[kɔmɪt̪ɛs],1,\N,M1
10,2,prosequerentur,verb,prosequor,prosequere,advcl,3,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [subjunctive], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['pro', 'se', 'que', 'ren', 'tur']",[prɔsɛkʷɛrɛn̪t̪ʊr],1,\N,M1
11,2,iter,noun,iter,ite,obj,10,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['i', 'ter']",[ɪt̪ɛr],1,\N,M1
12,2,.,punctuation,.,.,punct,3,\N,\N,['.'],\N,1,\N,M1
0,3,gloria,noun,gloria,glor,nsubj:pass,6,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['glo', 'ri', 'a']",[glɔrɪ̣ja],1,\N,M1
1,3,felicis,proper_noun,felix,felic,nmod,0,"{Case: [genitive], Gender: [masculine], InflClass: [ind_eur_i], NameType: [person_given_name], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['fe', 'li', 'cis']",[fɛlɪkɪs],1,\N,M1
2,3,olim,punctuation,olim,oli,punct,3,\N,\N,"['o', 'lim']",[ɔɫĩː],1,\N,M1
3,3,uiridisque,noun,uiridus,uirid,conj,0,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['u', 'i', 'ri', 'dis', 'que']",[wɪrɪd̪ɪskʷɛ],1,\N,M1
4,3,iuuentae,adjective,iuuentus,iuuent,nmod,3,"{Case: [genitive], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['iu', 'u', 'en', 'tae']",[jʊwɛn̪t̪aj],1,\N,M1
5,3,",",punctuation,",",",",punct,6,\N,\N,"[',']",\N,1,\N,M1
6,3,solantur,verb,solo,sola,root,-1,"{Aspect: [imperfective], InflClass: [lat_a], Mood: [indicative], Number: [plural], Person: [third], Tense: [present], VerbForm: [finite], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['so', 'lan', 'tur']",[sɔlan̪t̪ʊr],1,\N,M1
7,3,maesti,noun,maestus,maest,nsubj:pass,6,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['maes', 'ti']",[majst̪ɪ],1,\N,M1
8,3,nunc,adverb,nunc,nunc,advmod:tmod,6,{AdverbialType: [time]},"{F: [neg], N: [pos], V: [pos]}",['nunc'],[n̪ʊŋk],1,\N,M1
9,3,mea,determiner,meus,me,det,10,"{Case: [nominative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural, psor], Person: [psor], Possessive: [pos], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}","['me', 'a']",[mɛ̣ja],1,\N,M1
10,3,fata,noun,fatum,fat,nsubj:pass,6,"{Case: [nominative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['fa', 'ta']",[fat̪a],1,\N,M1
11,3,senis,noun,senes,sen,nmod,10,"{Case: [genitive], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['se', 'nis']",[sɛn̪ɪs],1,\N,M1
12,3,.,punctuation,.,.,punct,6,\N,\N,['.'],\N,1,\N,M1
0,4,uenit,verb,uenio,ueni,root,-1,"{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['u', 'e', 'nit']",[wɛn̪ɪt̪],1,\N,M1
1,4,enim,particle,enim,enim,discourse,0,\N,{F: [pos]},"['e', 'nim']",[ɛn̪ĩː],1,\N,M1
2,4,properata,verb,propero,properat,csubj,0,"{Aspect: [perfective], Case: [nominative], Gender: [feminine], InflClass: [lat_a, nominal], Number: [singular], VerbForm: [participle], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['pro', 'pe', 'ra', 'ta']",[prɔpɛrat̪a],1,\N,M1
3,4,malis,noun,malus,mal,obl:arg,2,"{Case: [ablative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['ma', 'lis']",[malɪs],1,\N,M1
4,4,inopina,adjective,inopinus,inopin,amod,5,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['in', 'o', 'pi', 'na']",[ɪn̪ɔpɪn̪a],1,\N,M1
5,4,senectus,noun,senectus,senect,nsubj,0,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['se', 'nec', 'tus']",[sɛn̪ɛkt̪ʊs],1,\N,M1
6,4,et,coordinating_conjunction,et,et,cc,7,\N,{F: [pos]},['et'],[ɛt̪],1,\N,M1
7,4,dolor,noun,dolor,dolo,conj,5,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['do', 'lor']",[d̪ɔlɔr],1,\N,M1
8,4,aetatem,noun,aetas,aetat,obj,10,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ae', 'ta', 'tem']",[ajt̪at̪ẽː],1,\N,M1
9,4,iussit,verb,iusso,iussi,conj,0,"{Aspect: [perfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['ius', 'sit']",[jʊssɪt̪],1,\N,M1
10,4,inesse,verb,insum,iness,xcomp,9,"{Aspect: [imperfective], InflClass: [lat_anom], VerbForm: [infinitive], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['in', 'es', 'se']",[ɪn̪ɛssɛ],1,\N,M1
11,4,suam,determiner,suus,su,det,8,"{Case: [accusative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular], Person: [psor], Possessive: [pos], PronominalType: [personal], Reflexive: [pos]}","{F: [pos], N: [pos], V: [neg]}","['su', 'am']",[sʊjãː],1,\N,M1
12,4,.,punctuation,.,.,punct,0,\N,\N,['.'],\N,1,\N,M1
0,5,intempestiui,adjective,intempestiuus,intempestiu,nsubj:pass,1,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [pos]}","['in', 'tem', 'pes', 'ti', 'u', 'i']",[ɪn̪t̪ɛmpɛst̪ɪwɪ],1,\N,M1
1,5,funduntur,verb,fundo,fundi,root,-1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [plural], Person: [third], Tense: [present], VerbForm: [finite], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['fun', 'dun', 'tur']",[fʊn̪d̪ʊn̪t̪ʊr],1,\N,M1
2,5,uertice,noun,uertex,uertic,obl,1,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['u', 'er', 'ti', 'ce']",[wɛrt̪ɪkɛ],1,\N,M1
3,5,cani,noun,canis,can,nmod,2,"{Case: [genitive], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ca', 'ni']",[kan̪ɪ],1,\N,M1
4,5,et,coordinating_conjunction,et,et,cc,5,\N,{F: [pos]},['et'],[ɛt̪],1,\N,M1
5,5,tremit,verb,tremo,tremi,conj,1,"{Aspect: [imperfective], InflClass: [lat_e], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['tre', 'mit']",[t̪rɛmɪt̪],1,\N,M1
6,5,effeto,adposition,effeto,effet,case,7,\N,"{F: [pos], N: [neg], V: [neg]}","['ef', 'fe', 'to']",[ɛffɛt̪ɔ],1,\N,M1
7,5,corpore,noun,corpus,corpor,obl,5,"{Case: [ablative], Gender: [neuter], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['cor', 'po', 're']",[kɔrpɔrɛ],1,\N,M1
8,5,laxa,adjective,laxus,lax,amod,9,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['la', 'xa']",[laksa],1,\N,M1
9,5,cutis,noun,cuta,cut,nsubj,5,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['cu', 'tis']",[kʊt̪ɪs],1,\N,M1
10,5,.,punctuation,.,.,punct,1,\N,\N,['.'],\N,1,\N,M1
0,6,mors,noun,mors,mor,nsubj,2,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}",['mors'],[mɔrs],1,\N,M1
1,6,hominum,noun,homo,homin,nmod,0,"{Case: [genitive], Gender: [masculine], InflClass: [ind_eur_x], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['ho', 'mi', 'num']",[hɔmɪn̪ũː],1,\N,M1
2,6,felix,adjective,felix,felix,root,-1,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['fe', 'lix']",[fɛlɪks],1,\N,M1
3,6,",",punctuation,",",",",punct,9,\N,\N,"[',']",\N,1,\N,M1
4,6,quae,pronoun,qui,quae,nsubj,9,"{Case: [nominative], Gender: [feminine], InflClass: [lat_pron], Number: [singular], PronominalType: [relative]}","{F: [pos], N: [pos], V: [neg]}",['quae'],[kʷaj],1,\N,M1
5,6,se,pronoun,sui,s,obj,9,"{Case: [accusative], InflClass: [lat_anom], Person: [third], PronominalType: [personal], Reflexive: [pos]}","{F: [pos], N: [pos], V: [neg]}",['se'],[sɛ],1,\N,M1
6,6,nec,coordinating_conjunction,nec,nec,cc,7,\N,{F: [pos]},['nec'],[n̪ɛk],1,\N,M1
7,6,dulcibus,noun,dulcus,dulc,conj,8,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_i], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['dul', 'ci', 'bus']",[d̪ʊɫkɪbʊs],1,\N,M1
8,6,annis,noun,annus,ann,obl,9,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['an', 'nis']",[an̪n̪ɪs],1,\N,M1
9,6,inserit,verb,insero,inseri,acl:relcl,0,"{Aspect: [imperfective], InflClass: [lat_anom], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['in', 'se', 'rit']",[iːn̪sɛrɪt̪],1,\N,M1
10,6,et,coordinating_conjunction,et,et,cc,14,\N,{F: [pos]},['et'],[ɛt̪],1,\N,M1
11,6,maestis,noun,maestus,maest,obl:arg,14,"{Case: [dative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['maes', 'tis']",[majst̪ɪs],1,\N,M1
12,6,saepe,adverb,saepe,saep,advmod:emph,13,\N,"{F: [neg], N: [pos], V: [pos]}","['sae', 'pe']",[sajpɛ],1,\N,M1
13,6,uocata,verb,uoco,uocat,ccomp,14,"{Aspect: [perfective], Case: [accusative], Gender: [neuter], InflClass: [lat_a, nominal], Number: [plural], VerbForm: [participle], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['u', 'o', 'ca', 'ta']",[wɔkat̪a],1,\N,M1
14,6,uenit,verb,uenio,ueni,conj,9,"{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['u', 'e', 'nit']",[wɛn̪ɪt̪],1,\N,M1
15,6,.,punctuation,.,.,punct,2,\N,\N,['.'],\N,1,\N,M1
0,7,eheu,verb,ehio,ehe,root,-1,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['e', 'heu']",[ɛhew],1,\N,M1
1,7,",",punctuation,",",",",punct,5,\N,\N,"[',']",\N,1,\N,M1
2,7,quam,pronoun,qui,quam,obj,5,"{Case: [accusative], Gender: [feminine], InflClass: [lat_pron], Number: [singular], PronominalType: [relative]}","{F: [pos], N: [pos], V: [neg]}",['quam'],[kʷãː],1,\N,M1
3,7,surda,noun,surdus,surd,nsubj:pass,5,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['sur', 'da']",[sʊrd̪a],1,\N,M1
4,7,miseros,adjective,miser,miser,amod,3,"{Case: [accusative], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [pos]}","['mi', 'se', 'ros']",[mɪsɛrɔs],1,\N,M1
5,7,auertitur,verb,auerto,auerti,ccomp:relcl,0,"{Aspect: [imperfective], InflClass: [lat_x], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['au', 'er', 'ti', 'tur']",[awɛrt̪ɪt̪ʊr],1,\N,M1
6,7,aure,noun,auris,aur,obl,5,"{Case: [ablative], Gender: [feminine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['au', 're']",[awrɛ],1,\N,M1
7,7,et,coordinating_conjunction,et,et,cc,8,\N,{F: [pos]},['et'],[ɛt̪],1,\N,M1
8,7,flentes,verb,fleo,flent,conj,10,"{Aspect: [imperfective], Case: [nominative], Gender: [masculine], InflClass: [lat_x, nominal], Number: [plural], VerbForm: [participle], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['flen', 'tes']",[flɛn̪t̪ɛs],1,\N,M1
9,7,oculos,noun,oculus,ocul,obj,10,"{Case: [accusative], Gender: [masculine], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['o', 'cu', 'los']",[ɔkʊlɔs],1,\N,M1
10,7,claudere,verb,claudo,clauder,xcomp,12,"{Aspect: [imperfective], InflClass: [lat_x], VerbForm: [infinitive], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['clau', 'de', 're']",[klawd̪ɛrɛ],1,\N,M1
11,7,saeua,adjective,saeuus,saeu,obj,10,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [pos]}","['saeu', 'a']",[sewa],1,\N,M1
12,7,negat,verb,nego,nega,conj,0,"{Aspect: [imperfective], InflClass: [lat_a], Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['ne', 'gat']",[n̪ɛgat̪],1,\N,M1
13,7,!,punctuation,!,!,punct,20,\N,\N,['!'],\N,1,\N,M1
14,7,dum,subordinating_conjunction,dum,dum,mark,20,\N,{F: [pos]},['dum'],[d̪ũː],1,\N,M1
15,7,leuibus,adjective,leuis,leu,obl:arg,20,"{Case: [dative], Gender: [masculine], InflClass: [ind_eur_i], Number: [plural]}","{F: [neg], N: [pos], V: [pos]}","['leu', 'i', 'bus']",[ɫewɪbʊs],1,\N,M1
16,7,male,adverb,male,mal,advmod,20,\N,"{F: [neg], N: [pos], V: [pos]}","['ma', 'le']",[malɛ],1,\N,M1
17,7,fida,adjective,fidus,fid,xcomp,20,"{Case: [nominative], Gender: [neuter], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['fi', 'da']",[fɪd̪a],1,\N,M1
18,7,bonis,noun,bonum,bon,obl,20,"{Case: [ablative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['bo', 'nis']",[bɔn̪ɪs],1,\N,M1
19,7,fortuna,noun,fortuna,fortun,nsubj,20,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['for', 'tu', 'na']",[fɔrt̪ʊn̪a],1,\N,M1
20,7,faueret,verb,faueo,fauere,advcl,12,"{Aspect: [imperfective], InflClass: [lat_e], Mood: [subjunctive], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['fau', 'e', 'ret']",[fawɛrɛt̪],1,\N,M1
21,7,paene,coordinating_conjunction,paene,paen,cc,24,\N,{F: [pos]},"['pae', 'ne']",[pajn̪ɛ],1,\N,M1
22,7,caput,noun,caput,capu,obj,24,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_x], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ca', 'put']",[kapʊt̪],1,\N,M1
23,7,tristis,adjective,tristis,trist,amod,22,"{Case: [nominative], Gender: [masculine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['tris', 'tis']",[t̪rɪst̪ɪs],1,\N,M1
24,7,merserat,verb,merero,mersera,conj,20,"{Aspect: [perfective], InflClass: [lat_a], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['mer', 'se', 'rat']",[mɛrsɛrat̪],1,\N,M1
25,7,hora,noun,hora,hor,nsubj,24,"{Case: [nominative], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['ho', 'ra']",[hɔra],1,\N,M1
26,7,meum,determiner,meus,me,det,25,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_o], Number: [singular, psor], Person: [psor], Possessive: [pos], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}",['meum'],[mewm],1,\N,M1
27,7,;,punctuation,;,;,punct,0,\N,\N,[';'],\N,1,\N,M1
0,8,nunc,adverb,nunc,nunc,advmod:tmod,6,{AdverbialType: [time]},"{F: [neg], N: [pos], V: [pos]}",['nunc'],[n̪ʊŋk],1,\N,M1
1,8,quia,subordinating_conjunction,quia,quia,mark,3,\N,{F: [pos]},['quia'],[kʷɪ̣ja],1,\N,M1
2,8,fallacem,adjective,fallaxis,fallac,obj,3,"{Case: [accusative], Gender: [masculine], InflClass: [ind_eur_i], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['fal', 'la', 'cem']",[faɫlakẽː],1,\N,M1
3,8,mutauit,verb,muto,mutaui,advcl,6,"{Aspect: [perfective], InflClass: [lat_a], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['mu', 'tau', 'it']",[mʊt̪awɪt̪],1,\N,M1
4,8,nubila,noun,nubila,nubil,obj,3,"{Case: [accusative], Gender: [neuter], InflClass: [ind_eur_o], Number: [plural]}","{F: [neg], N: [pos], V: [neg]}","['nu', 'bi', 'la']",[n̪ʊbɪla],1,\N,M1
